"Name","Height","Weight","Season"
"Al Montoya",74,201,2016
"Alex Stalock",72,191,2016
"Anders Lindback",78,215,2016
"Anders Nilsson",78,229,2016
"Andrei Vasilevskiy",75,207,2016
"Andrew Hammond",74,215,2016
"Anton Forsberg",75,192,2016
"Anton Khudobin",71,195,2016
"Antti Niemi",74,215,2016
"Antti Raanta",72,195,2016
"Ben Bishop",79,225,2016
"Ben Scrivens",74,181,2016
"Braden Holtby",74,211,2016
"Brian Elliott",74,209,2016
"Calvin Pickard",73,200,2016
"Cam Talbot",76,200,2016
"Cam Ward",73,185,2016
"Carey Price",75,215,2016
"Carter Hutton",73,202,2016
"Chad Johnson",75,197,2016
"Charlie Lindgren",73,182,2016
"Chris Driedger",76,205,2016
"Christopher Gibson",73,188,2016
"Connor Hellebuyck",76,207,2016
"Corey Crawford",74,216,2016
"Cory Schneider",75,200,2016
"Craig Anderson",74,185,2016
"Curtis McElhinney",74,200,2016
"Darcy Kuemper",77,215,2016
"Devan Dubnyk",78,218,2016
"Dustin Tokarski",72,204,2016
"Eddie Lack",76,187,2016
"Frederik Andersen",76,230,2016
"Garret Sparks",74,195,2016
"Henrik Lundqvist",73,180,2016
"J-F Berube",73,177,2016
"Jacob Markstrom",78,196,2016
"Jake Allen",74,203,2016
"James Reimer",74,217,2016
"Jaroslav Halak",71,183,2016
"Jason Kasdorf",76,205,2016
"Jeff Zatkoff",74,186,2016
"Jhonas Enroth",70,175,2016
"Jimmy Howard",73,218,2016
"John Gibson",75,223,2016
"Jonas Gustavsson",76,201,2016
"Jonas Hiller",74,191,2016
"Jonathan Bernier",72,184,2016
"Jonathan Quick",73,218,2016
"Joni Ortio",73,190,2016
"Joonas Korpisalo",75,182,2016
"Jordan Binnington",73,174,2016
"Juuse Saros",71,180,2016
"Kari Lehtonen",76,209,2016
"Karri Ramo",74,206,2016
"Keith Kinkaid",75,195,2016
"Kristers Gudlevskis",75,214,2016
"Laurent Brossoit",75,204,2016
"Linus Ullmark",76,221,2016
"Louis Domingue",75,210,2016
"Magnus Hellberg",78,209,2016
"Marc-Andre Fleury",74,180,2016
"Martin Jones",76,195,2016
"Matt Murray",76,178,2016
"Matthew O'Connor",78,205,2016
"Michael Hutchinson",75,202,2016
"Michael Leighton",75,186,2016
"Michal Neuvirth",73,209,2016
"Mike Condon",74,195,2016
"Mike Smith",76,215,2016
"Niklas Backstrom",74,192,2016
"Niklas Treutle",74,185,2016
"Ondrej Pavelec",75,212,2016
"Pekka Rinne",77,217,2016
"Peter Budaj",73,196,2016
"Petr Mrazek",74,181,2016
"Pheonix Copley",76,200,2016
"Philipp Grubauer",73,191,2016
"Reto Berra",76,218,2016
"Richard Bachman",70,183,2016
"Roberto Luongo",75,217,2016
"Robin Lehner",76,245,2016
"Roman Will",73,195,2016
"Ryan Miller",75,173,2016
"Scott Darling",78,232,2016
"Scott Wedgewood",74,195,2016
"Semyon Varlamov",74,209,2016
"Sergei Bobrovsky",74,182,2016
"Steve Mason",76,210,2016
"Thomas Greiss",73,227,2016
"Tuukka Rask",75,176,2016
"Yann Danis",71,180,2016
