"Name","Height","Weight","Position","Season"
"Aaron Ekblad",76,216,"D",2015
"Aaron Volpatti",72,215,"L",2015
"Adam Burish",73,195,"R",2015
"Adam Clendening",72,196,"D",2015
"Adam Cracknell",74,218,"R",2015
"Adam Henrique",72,195,"C",2015
"Adam Larsson",75,210,"D",2015
"Adam Lowry",77,210,"C",2015
"Adam McQuaid",76,212,"D",2015
"Adam Pardy",76,227,"D",2015
"Alec Martinez",73,208,"D",2015
"Aleksander Barkov",75,213,"C",2015
"Ales Hemsky",72,177,"R",2015
"Alex Biega",70,193,"D",2015
"Alex Chiasson",76,208,"R",2015
"Alex Galchenyuk",73,207,"L",2015
"Alex Goligoski",71,185,"D",2015
"Alex Khokhlachev",70,181,"C",2015
"Alex Killorn",73,196,"L",2015
"Alex Ovechkin",75,235,"L",2015
"Alex Pietrangelo",75,210,"D",2015
"Alex Tanguay",73,194,"L",2015
"Alexander Edler",75,214,"D",2015
"Alexander Petrovic",76,206,"D",2015
"Alexander Semin",74,211,"R",2015
"Alexander Steen",72,211,"L",2015
"Alexander Wennberg",74,196,"C",2015
"Alexandre Bolduc",75,200,"C",2015
"Alexandre Burrows",73,197,"R",2015
"Alexei Emelin",74,218,"D",2015
"Alexey Marchenko",75,210,"D",2015
"Anders Lee",75,231,"L",2015
"Andre Benoit",71,190,"D",2015
"Andre Burakovsky",75,201,"L",2015
"Andrei Markov",72,200,"D",2015
"Andrej Meszaros",74,223,"D",2015
"Andrej Nestrasil",75,200,"C",2015
"Andrej Sekera",72,200,"D",2015
"Andrej Sustr",79,220,"D",2015
"Andrew Agozzino",70,187,"L",2015
"Andrew Campbell",76,205,"D",2015
"Andrew Cogliano",70,177,"L",2015
"Andrew Copp",73,206,"C",2015
"Andrew Desjardins",73,195,"L",2015
"Andrew Ebbett",69,174,"C",2015
"Andrew Ference",71,182,"D",2015
"Andrew Ladd",75,192,"L",2015
"Andrew MacDonald",73,204,"D",2015
"Andrew MacWilliam",74,223,"D",2015
"Andrew Miller",70,181,"C",2015
