"Name","Height","Weight","Season"
"Al Montoya",74,201,2012
"Alex Auld",76,215,2012
"Allen York",75,188,2012
"Anders Lindback",78,215,2012
"Anders Nilsson",78,229,2012
"Andrew Raycroft",73,180,2012
"Anton Khudobin",71,195,2012
"Antti Niemi",74,215,2012
"Ben Bishop",79,225,2012
"Ben Scrivens",74,181,2012
"Brad Thiessen",72,180,2012
"Braden Holtby",74,211,2012
"Brent Johnson",75,199,2012
"Brian Boucher",74,200,2012
"Brian Elliott",74,209,2012
"Brian Foster",74,185,2012
"Cam Ward",73,185,2012
"Carey Price",75,215,2012
"Chris Mason",72,198,2012
"Corey Crawford",74,216,2012
"Cory Schneider",75,200,2012
"Craig Anderson",74,185,2012
"Curtis McElhinney",74,200,2012
"Curtis Sanford",71,187,2012
"Dan Ellis",73,195,2012
"Devan Dubnyk",78,218,2012
"Drew MacIntyre",73,190,2012
"Dustin Tokarski",72,204,2012
"Dwayne Roloson",73,170,2012
"Evgeni Nabokov",72,202,2012
"Henrik Karlsson",78,209,2012
"Henrik Lundqvist",73,180,2012
"Iiro Tarkki",74,190,2012
"Ilya Bryzgalov",75,213,2012
"Jacob Markstrom",78,196,2012
"James Reimer",74,217,2012
"Jaroslav Halak",71,183,2012
"Jason LaBarbera",75,232,2012
"Jean-Sebastien Giguere",73,202,2012
"Jeff Deslauriers",76,203,2012
"Jhonas Enroth",70,175,2012
"Jimmy Howard",73,218,2012
"Joey MacDonald",72,197,2012
"Johan Hedberg",72,190,2012
"Jonas Gustavsson",76,201,2012
"Jonas Hiller",74,191,2012
"Jonathan Bernier",72,184,2012
"Jonathan Quick",73,218,2012
"Jose Theodore",71,172,2012
"Josh Harding",74,194,2012
"Jussi Rynnas",77,210,2012
"Justin Peters",73,210,2012
"Kari Lehtonen",76,209,2012
"Kevin Poulin",74,206,2012
"Leland Irving",72,177,2012
"Marc-Andre Fleury",74,180,2012
"Martin Biron",74,186,2012
"Martin Brodeur",74,220,2012
"Marty Turco",71,184,2012
"Mathieu Garon",73,198,2012
"Matt Hackett",74,179,2012
"Michal Neuvirth",73,209,2012
"Miikka Kiprusoff",73,185,2012
"Mike Murphy",71,172,2012
"Mike Smith",76,215,2012
"Niklas Backstrom",74,192,2012
"Nikolai Khabibulin",73,208,2012
"Ondrej Pavelec",75,212,2012
"Pekka Rinne",77,217,2012
"Peter Budaj",73,196,2012
"Peter Mannino",73,195,2012
"Ray Emery",74,196,2012
"Richard Bachman",70,183,2012
"Rick DiPietro",72,185,2012
"Roberto Luongo",75,217,2012
"Robin Lehner",76,245,2012
"Ryan Miller",75,173,2012
"Scott Clemmensen",74,200,2012
"Sebastien Caron",73,170,2012
"Semyon Varlamov",74,209,2012
"Sergei Bobrovsky",74,182,2012
"Shawn Hunwick",67,166,2012
"Steve Mason",76,210,2012
"Thomas Greiss",73,227,2012
"Tim Thomas",71,201,2012
"Tomas Vokoun",73,210,2012
"Tuukka Rask",75,176,2012
"Ty Conklin",73,185,2012
"Yann Danis",71,180,2012
