"Name","Height","Weight","Position","Season"
"Aaron Ness",70,184,"D",2014
"Aaron Palushaj",72,187,"R",2014
"Aaron Rome",73,220,"D",2014
"Aaron Volpatti",72,215,"L",2014
"Adam Almquist",71,174,"D",2014
"Adam Burish",73,195,"R",2014
"Adam Cracknell",74,218,"R",2014
"Adam Hall",74,212,"R",2014
"Adam Henrique",72,195,"C",2014
"Adam Larsson",75,210,"D",2014
"Adam McQuaid",76,212,"D",2014
"Adam Pardy",76,227,"D",2014
"Adam Payerl",75,218,"C",2014
"Alec Martinez",73,208,"D",2014
"Aleksander Barkov",75,213,"C",2014
"Ales Hemsky",72,177,"R",2014
"Alex Chiasson",76,208,"R",2014
"Alex Galchenyuk",73,207,"L",2014
"Alex Goligoski",71,185,"D",2014
"Alex Grant",75,210,"D",2014
"Alex Khokhlachev",70,181,"C",2014
"Alex Killorn",73,196,"L",2014
"Alex Ovechkin",75,235,"L",2014
"Alex Pietrangelo",75,210,"D",2014
"Alex Tanguay",73,194,"L",2014
"Alexander Edler",75,214,"D",2014
"Alexander Petrovic",76,206,"D",2014
"Alexander Semin",74,211,"R",2014
"Alexander Steen",72,211,"L",2014
"Alexander Sulzer",73,198,"D",2014
"Alexander Urbom",76,215,"D",2014
"Alexandre Burrows",73,197,"R",2014
"Alexei Emelin",74,218,"D",2014
"Alexey Marchenko",75,210,"D",2014
"Anders Lee",75,231,"L",2014
"Andre Benoit",71,190,"D",2014
"Andrei Loktionov",71,190,"C",2014
"Andrei Markov",72,200,"D",2014
"Andrej Meszaros",74,223,"D",2014
"Andrej Sekera",72,200,"D",2014
"Andrej Sustr",79,220,"D",2014
"Andrew Alberts",77,218,"D",2014
"Andrew Campbell",76,205,"D",2014
"Andrew Cogliano",70,177,"L",2014
"Andrew Desjardins",73,195,"L",2014
"Andrew Ebbett",69,174,"C",2014
"Andrew Ference",71,182,"D",2014
"Andrew Ladd",75,192,"L",2014
"Andrew MacDonald",73,204,"D",2014
"Andrew Shaw",71,182,"R",2014
"Andy Greene",71,190,"D",2014
"Andy Miele",67,169,"C",2014
"Anthony Peluso",75,225,"R",2014
"Antoine Roussel",71,195,"L",2014
"Antoine Vermette",73,197,"C",2014
"Anton Belov",76,218,"D",2014
"Anton Lander",72,184,"C",2014
"Anton Stralman",71,190,"D",2014
"Anton Volchenkov",73,220,"D",2014
"Anze Kopitar",75,224,"C",2014
"Arron Asham",71,210,"R",2014
"Artem Anisimov",76,198,"C",2014
"B.J. Crombeen",74,209,"R",2014
"Barret Jackman",72,203,"D",2014
"Beau Bennett",74,195,"R",2014
"Ben Chiarot",75,219,"D",2014
"Ben Eager",74,226,"L",2014
"Ben Hanowski",74,210,"R",2014
"Ben Lovejoy",73,205,"D",2014
"Ben Smith",71,203,"R",2014
"Ben Street",71,200,"C",2014
"Benn Ferriero",71,195,"R",2014
"Benoit Pouliot",75,200,"L",2014
"Bill Arnold",72,193,"C",2014
"Blair Jones",74,216,"C",2014
"Blake Comeau",73,202,"L",2014
"Blake Wheeler",77,225,"R",2014
"Bobby Butler",72,189,"R",2014
"Bobby Ryan",74,209,"R",2014
"Boone Jenner",74,206,"C",2014
"Boyd Gordon",72,200,"C",2014
"Bracken Kearns",72,200,"C",2014
"Brad Boyes",72,199,"R",2014
"Brad Hunt",69,187,"D",2014
"Brad Malone",73,213,"C",2014
"Brad Marchand",69,181,"L",2014
"Brad Mills",72,195,"C",2014
"Brad Richards",72,199,"C",2014
"Brad Richardson",72,190,"C",2014
"Brad Stuart",74,215,"D",2014
"Brandon Bollig",74,220,"L",2014
"Brandon Dubinsky",74,205,"C",2014
"Brandon Gormley",74,196,"D",2014
"Brandon Mashinter",76,212,"L",2014
"Brandon McMillan",71,190,"L",2014
"Brandon Pirri",72,186,"C",2014
"Brandon Prust",72,195,"L",2014
"Brandon Saad",73,206,"L",2014
"Brandon Sutter",75,191,"C",2014
"Brandon Yip",73,198,"R",2014
"Brayden McNabb",76,212,"D",2014
"Brayden Schenn",73,200,"C",2014
"Braydon Coburn",77,223,"D",2014
"Brendan Gallagher",69,181,"R",2014
"Brendan Smith",74,211,"D",2014
"Brenden Dillon",76,225,"D",2014
"Brenden Morrow",71,212,"L",2014
"Brent Burns",77,230,"D",2014
"Brent Seabrook",75,220,"D",2014
"Brett Bellemore",76,225,"D",2014
"Brett Bulmer",76,212,"R",2014
"Brett Connolly",75,195,"R",2014
"Brett Gallant",72,191,"L",2014
"Brett Sutter",72,200,"L",2014
"Brian Boyle",78,245,"C",2014
"Brian Campbell",70,192,"D",2014
"Brian Dumoulin",76,207,"D",2014
"Brian Flynn",73,183,"C",2014
"Brian Gibbons",68,175,"L",2014
"Brian Gionta",67,178,"R",2014
"Brian Lashoff",75,219,"D",2014
"Brian McGrattan",76,235,"R",2014
"Brian Strait",73,206,"D",2014
"Brock Nelson",75,212,"C",2014
"Brooks Laich",74,200,"C",2014
"Brooks Orpik",75,217,"D",2014
"Bryan Allen",77,223,"D",2014
"Bryan Bickell",76,223,"L",2014
"Bryan Little",72,191,"C",2014
"Bryce Salvador",75,215,"D",2014
"Bryce Van Brabant",75,207,"L",2014
"Cal Clutterbuck",71,216,"R",2014
"Calle Jarnkrok",71,186,"C",2014
"Calvin de Haan",73,198,"D",2014
"Cam Atkinson",68,179,"R",2014
"Cam Fowler",73,215,"D",2014
"Cam Janssen",72,215,"R",2014
"Cameron Gaunce",74,204,"D",2014
"Cameron Schilling",74,182,"D",2014
"Carl Gunnarsson",74,198,"D",2014
"Carl Hagelin",71,186,"L",2014
"Carl Klingberg",75,205,"L",2014
"Carl Soderberg",75,210,"C",2014
"Carlo Colaiacovo",73,202,"D",2014
"Carson McMillan",73,196,"R",2014
"Carter Ashton",75,215,"R",2014
"Casey Cizikas",71,200,"C",2014
"Casey Wellman",72,173,"C",2014
"Cedric Paquette",73,198,"C",2014
"Chad Billins",70,180,"D",2014
"Chad Ruhwedel",71,191,"D",2014
"Charlie Coyle",75,221,"C",2014
"Chris Breen",79,226,"D",2014
"Chris Brown",74,208,"R",2014
"Chris Butler",73,196,"D",2014
"Chris Conner",67,181,"R",2014
"Chris Higgins",72,205,"L",2014
"Chris Kelly",72,190,"C",2014
"Chris Kreider",75,224,"L",2014
"Chris Kunitz",72,195,"L",2014
"Chris Mueller",71,196,"C",2014
"Chris Neil",73,209,"R",2014
"Chris Phillips",75,219,"D",2014
"Chris Porter",73,206,"L",2014
"Chris Stewart",74,242,"R",2014
"Chris Summers",74,207,"D",2014
"Chris Terry",70,191,"L",2014
"Chris Thorburn",75,235,"R",2014
"Chris VandeVelde",74,190,"C",2014
"Christian Ehrhoff",74,201,"D",2014
"Christian Folin",75,204,"D",2014
"Christian Thomas",69,175,"L",2014
"Christopher Tanev",74,195,"D",2014
"Chuck Kobasew",72,192,"R",2014
"Clarke MacArthur",72,192,"L",2014
"Claude Giroux",71,185,"C",2014
"Clayton Stoner",76,216,"D",2014
"Cody Bass",72,205,"C",2014
"Cody Ceci",74,209,"D",2014
"Cody Eakin",72,190,"C",2014
"Cody Franson",77,224,"D",2014
"Cody Goloubef",73,200,"D",2014
"Cody Hodgson",72,191,"C",2014
"Cody Kunyk",71,195,"R",2014
"Cody McCormick",74,222,"C",2014
"Cody McLeod",74,210,"L",2014
"Colby Robak",75,194,"D",2014
"Colin Fraser",73,190,"C",2014
"Colin Greening",74,210,"C",2014
"Colin McDonald",74,219,"R",2014
"Colin Wilson",73,221,"C",2014
"Colton Orr",75,222,"R",2014
"Colton Sceviour",72,195,"C",2014
"Colton Sissons",73,200,"C",2014
"Connor Carrick",70,192,"D",2014
"Connor Murphy",76,212,"D",2014
"Conor Allen",73,210,"D",2014
"Corban Knight",74,195,"C",2014
"Corey Perry",75,213,"R",2014
"Corey Potter",75,204,"D",2014
"Corey Tropp",72,186,"R",2014
"Cory Conacher",68,180,"C",2014
"Cory Emmerton",72,191,"C",2014
"Cory Sarich",76,207,"D",2014
"Craig Adams",72,200,"R",2014
"Craig Cunningham",70,184,"L",2014
"Craig Smith",73,208,"R",2014
"Curtis Glencross",73,197,"L",2014
"Dainius Zubrus",77,225,"C",2014
"Dale Weise",74,206,"R",2014
"Dalton Prout",75,230,"D",2014
"Damien Brunner",71,185,"R",2014
"Dan Boyle",71,194,"D",2014
"Dan Girardi",73,212,"D",2014
"Dan Hamhuis",73,204,"D",2014
"Dana Tyrell",70,192,"C",2014
"Daniel Alfredsson",71,203,"R",2014
"Daniel Briere",69,174,"C",2014
"Daniel Carcillo",72,200,"L",2014
"Daniel Cleary",73,205,"R",2014
"Daniel Paille",73,200,"L",2014
"Daniel Sedin",73,190,"L",2014
"Daniel Winnik",74,210,"L",2014
"Danny DeKeyser",75,192,"D",2014
"Dany Heatley",75,212,"L",2014
"Darren Archibald",75,210,"R",2014
"Darren Helm",72,196,"L",2014
"Darroll Powe",71,212,"C",2014
"Dave Bolland",72,184,"C",2014
"David Backes",75,221,"R",2014
"David Booth",72,212,"L",2014
"David Broll",74,235,"L",2014
"David Clarkson",72,207,"R",2014
"David Desharnais",67,180,"C",2014
"David Jones",75,208,"R",2014
"David Krejci",72,188,"C",2014
"David Legwand",74,207,"C",2014
"David Moss",76,210,"R",2014
"David Perron",72,200,"L",2014
"David Rundblad",74,187,"D",2014
"David Savard",74,227,"D",2014
"David Schlemko",73,189,"D",2014
"David Steckel",78,215,"C",2014
"David Van Der Gulik",70,173,"L",2014
"David Warsofsky",69,170,"D",2014
"Denis Grebeshkov",72,206,"D",2014
"Dennis Seidenberg",72,199,"D",2014
"Dennis Wideman",72,202,"D",2014
"Derek Dorsett",72,192,"R",2014
"Derek Grant",75,215,"C",2014
"Derek MacKenzie",71,181,"C",2014
"Derek Morris",72,210,"D",2014
