"Name","Height","Weight","Season"
"Al Montoya",74,201,2014
"Alex Stalock",72,191,2014
"Anders Lindback",78,215,2014
"Anders Nilsson",78,229,2014
"Andrew Hammond",74,215,2014
"Anton Khudobin",71,195,2014
"Antti Niemi",74,215,2014
"Antti Raanta",72,195,2014
"Ben Bishop",79,225,2014
"Ben Scrivens",74,181,2014
"Braden Holtby",74,211,2014
"Brian Elliott",74,209,2014
"Calvin Heeter",76,195,2014
"Cam Talbot",76,200,2014
"Cam Ward",73,185,2014
"Carey Price",75,215,2014
"Carter Hutton",73,202,2014
"Cedrick Desjardins",72,192,2014
"Chad Johnson",75,197,2014
"Connor Knapp",78,206,2014
"Corey Crawford",74,216,2014
"Cory Schneider",75,200,2014
"Craig Anderson",74,185,2014
"Cristopher Nilstorp",75,190,2014
"Curtis McElhinney",74,200,2014
"Dan Ellis",73,195,2014
"Darcy Kuemper",77,215,2014
"Devan Dubnyk",78,218,2014
"Drew MacIntyre",73,190,2014
"Dustin Tokarski",72,204,2014
"Eddie Lack",76,187,2014
"Evgeni Nabokov",72,202,2014
"Frederik Andersen",76,230,2014
"Henrik Lundqvist",73,180,2014
"Ilya Bryzgalov",75,213,2014
"Jack Campbell",74,197,2014
"Jacob Markstrom",78,196,2014
"James Reimer",74,217,2014
"Jaroslav Halak",71,183,2014
"Jason LaBarbera",75,232,2014
"Jean-Sebastien Giguere",73,202,2014
"Jeff Zatkoff",74,186,2014
"Jhonas Enroth",70,175,2014
"Jimmy Howard",73,218,2014
"Joacim Eriksson",73,189,2014
"Joey MacDonald",72,197,2014
"John Curry",71,185,2014
"John Gibson",75,223,2014
"Jonas Gustavsson",76,201,2014
"Jonas Hiller",74,191,2014
"Jonathan Bernier",72,184,2014
"Jonathan Quick",73,218,2014
"Joni Ortio",73,190,2014
"Josh Harding",74,194,2014
"Justin Peters",73,210,2014
"Kari Lehtonen",76,209,2014
"Karri Ramo",74,206,2014
"Kent Simpson",74,209,2014
"Kevin Poulin",74,206,2014
"Kristers Gudlevskis",75,214,2014
"Magnus Hellberg",78,209,2014
"Marc-Andre Fleury",74,180,2014
"Marek Mazanec",76,187,2014
"Mark Visentin",74,201,2014
"Martin Biron",74,186,2014
"Martin Brodeur",74,220,2014
"Martin Jones",76,195,2014
"Matt Hackett",74,179,2014
"Michael Hutchinson",75,202,2014
"Michal Neuvirth",73,209,2014
"Mike McKenna",74,183,2014
"Mike Smith",76,215,2014
"Nathan Lawson",74,198,2014
"Nathan Lieuwen",77,189,2014
"Niklas Backstrom",74,192,2014
"Niklas Svedberg",73,163,2014
"Nikolai Khabibulin",73,208,2014
"Ondrej Pavelec",75,212,2014
"Pekka Rinne",77,217,2014
"Peter Budaj",73,196,2014
"Petr Mrazek",74,181,2014
"Philipp Grubauer",73,191,2014
"Ray Emery",74,196,2014
"Reto Berra",76,218,2014
"Richard Bachman",70,183,2014
"Roberto Luongo",75,217,2014
"Robin Lehner",76,245,2014
"Ryan Miller",75,173,2014
"Sami Aittokallio",73,185,2014
"Scott Clemmensen",74,200,2014
"Semyon Varlamov",74,209,2014
"Sergei Bobrovsky",74,182,2014
"Steve Mason",76,210,2014
"Thomas Greiss",73,227,2014
"Tim Thomas",71,201,2014
"Tuukka Rask",75,176,2014
"Viktor Fasth",72,181,2014
