"Name","Height","Weight","Position","Season"
"Aaron Ekblad",76,216,"D",2016
"Aaron Ness",70,184,"D",2016
"Adam Clendening",72,196,"D",2016
"Adam Cracknell",74,218,"R",2016
"Adam Henrique",72,195,"C",2016
"Adam Larsson",75,210,"D",2016
"Adam Lowry",77,210,"C",2016
"Adam McQuaid",76,212,"D",2016
"Adam Pardy",76,227,"D",2016
"Adam Pelech",75,217,"D",2016
"Alan Quine",72,203,"C",2016
"Alec Martinez",73,208,"D",2016
"Aleksander Barkov",75,213,"C",2016
"Ales Hemsky",72,177,"R",2016
"Alex Biega",70,193,"D",2016
"Alex Chiasson",76,208,"R",2016
"Alex Friesen",69,186,"C",2016
"Alex Galchenyuk",73,207,"L",2016
"Alex Goligoski",71,185,"D",2016
"Alex Grant",75,210,"D",2016
"Alex Khokhlachev",70,181,"C",2016
"Alex Killorn",73,196,"L",2016
"Alex Ovechkin",75,235,"L",2016
"Alex Pietrangelo",75,210,"D",2016
"Alex Tanguay",73,194,"L",2016
"Alexander Burmistrov",73,180,"C",2016
"Alexander Edler",75,214,"D",2016
"Alexander Petrovic",76,206,"D",2016
"Alexander Semin",74,211,"R",2016
"Alexander Steen",72,211,"L",2016
"Alexander Wennberg",74,196,"C",2016
"Alexandre Burrows",73,197,"R",2016
"Alexandre Grenier",77,200,"R",2016
"Alexei Emelin",74,218,"D",2016
"Alexey Marchenko",75,210,"D",2016
"Anders Lee",75,231,"L",2016
"Andre Benoit",71,190,"D",2016
"Andre Burakovsky",75,201,"L",2016
"Andreas Athanasiou",74,188,"L",2016
"Andreas Martinsen",75,229,"L",2016
"Andrei Markov",72,200,"D",2016
"Andrej Nestrasil",75,200,"C",2016
"Andrej Sekera",72,200,"D",2016
"Andrej Sustr",79,220,"D",2016
"Andrew Agozzino",70,187,"L",2016
"Andrew Bodnarchuk",71,195,"D",2016
"Andrew Campbell",76,205,"D",2016
"Andrew Cogliano",70,177,"L",2016
"Andrew Copp",73,206,"C",2016
"Andrew Desjardins",73,195,"L",2016
"Andrew Ference",71,182,"D",2016
"Andrew Ladd",75,192,"L",2016
"Andrew MacDonald",73,204,"D",2016
"Andrew Miller",70,181,"C",2016
"Andrew Shaw",71,182,"R",2016
"Andrey Pedan",77,213,"D",2016
"Andy Andreoff",73,203,"L",2016
"Andy Greene",71,190,"D",2016
"Anthony Bitetto",73,210,"D",2016
"Anthony Duclair",71,191,"L",2016
"Anthony Mantha",77,225,"R",2016
"Anthony Peluso",75,225,"R",2016
"Antoine Roussel",71,195,"L",2016
"Antoine Vermette",73,197,"C",2016
"Anton Lander",72,184,"C",2016
"Anton Slepyshev",74,221,"L",2016
"Anton Stralman",71,190,"D",2016
"Anze Kopitar",75,224,"C",2016
"Artem Anisimov",76,198,"C",2016
"Artemi Panarin",71,168,"L",2016
"Austin Watson",76,204,"L",2016
"Barclay Goodrow",74,210,"R",2016
"Barret Jackman",72,203,"D",2016
"Beau Bennett",74,195,"R",2016
"Ben Chiarot",75,219,"D",2016
"Ben Harpur",78,222,"D",2016
"Ben Hutton",74,207,"D",2016
"Ben Lovejoy",73,205,"D",2016
"Ben Smith",71,203,"R",2016
