"Name","Height","Weight","Season"
"Aaron Dell",72,200,2018
"Adam Wilcox",72,189,2018
"Adin Hill",78,202,2018
"Al Montoya",74,201,2018
"Alex Lyon",73,201,2018
"Alex Stalock",72,191,2018
"Alexandar Georgiev",73,180,2018
"Anders Nilsson",78,229,2018
"Andrei Vasilevskiy",75,207,2018
"Andrew Hammond",74,215,2018
"Anton Forsberg",75,192,2018
"Anton Khudobin",71,195,2018
"Antti Niemi",74,215,2018
"Antti Raanta",72,195,2018
"Ben Bishop",79,225,2018
"Braden Holtby",74,211,2018
"Brandon Halverson",76,209,2018
"Brian Elliott",74,209,2018
"Calvin Pickard",73,200,2018
"Cam Talbot",76,200,2018
"Cam Ward",73,185,2018
"Carey Price",75,215,2018
"Carter Hutton",73,202,2018
"Casey DeSmith",72,181,2018
"Chad Johnson",75,197,2018
"Charlie Lindgren",73,182,2018
"Christopher Gibson",73,188,2018
"Collin Delia",74,200,2018
"Connor Hellebuyck",76,207,2018
"Corey Crawford",74,216,2018
"Cory Schneider",75,200,2018
"Craig Anderson",74,185,2018
"Curtis McElhinney",74,200,2018
"Daniel Taylor",72,198,2018
"Darcy Kuemper",77,215,2018
"David Rittich",75,202,2018
"Devan Dubnyk",78,218,2018
"Dylan Ferguson",73,189,2018
"Eddie Lack",76,187,2018
"Eric Comrie",73,175,2018
"Frederik Andersen",76,230,2018
"Harri Sateri",73,205,2018
"Henrik Lundqvist",73,180,2018
"J-F Berube",73,177,2018
"Jack Campbell",74,197,2018
"Jacob Markstrom",78,196,2018
"Jake Allen",74,203,2018
"James Reimer",74,217,2018
"Jared Coreau",78,220,2018
"Jaroslav Halak",71,183,2018
"Jeff Glass",75,206,2018
"Jimmy Howard",73,218,2018
"John Gibson",75,223,2018
"Jon Gillies",78,223,2018
"Jonathan Bernier",72,184,2018
"Jonathan Quick",73,218,2018
"Joonas Korpisalo",75,182,2018
"Juuse Saros",71,180,2018
"Kari Lehtonen",76,209,2018
"Keith Kinkaid",75,195,2018
"Ken Appleby",76,210,2018
"Laurent Brossoit",75,204,2018
"Linus Ullmark",76,221,2018
"Louis Domingue",75,210,2018
"Malcolm Subban",74,200,2018
"Marc-Andre Fleury",74,180,2018
"Marek Langhamer",74,190,2018
"Martin Jones",76,195,2018
"Matt Murray",76,178,2018
"Maxime Lagace",74,190,2018
"Michael Hutchinson",75,202,2018
"Michal Neuvirth",73,209,2018
"Mike Condon",74,195,2018
"Mike McKenna",74,183,2018
"Mike Smith",76,215,2018
"Ondrej Pavelec",75,212,2018
"Oscar Dansk",75,195,2018
"Pekka Rinne",77,217,2018
"Peter Budaj",73,196,2018
"Petr Mrazek",74,181,2018
"Philipp Grubauer",73,191,2018
"Reto Berra",76,218,2018
"Roberto Luongo",75,217,2018
"Robin Lehner",76,245,2018
"Ryan Miller",75,173,2018
"Scott Darling",78,232,2018
"Scott Foster",NA,NA,2018
"Scott Wedgewood",74,195,2018
"Semyon Varlamov",74,209,2018
"Sergei Bobrovsky",74,182,2018
"Steve Mason",76,210,2018
"Thatcher Demko",76,192,2018
"Thomas Greiss",73,227,2018
"Tristan Jarry",74,194,2018
"Tuukka Rask",75,176,2018
