"Name","Height","Weight","Position","Season"
"A.J. Greer",75,204,"L",2017
"Aaron Ekblad",76,216,"D",2017
"Aaron Ness",70,184,"D",2017
"Adam Clendening",72,196,"D",2017
"Adam Cracknell",74,218,"R",2017
"Adam Erne",73,214,"L",2017
"Adam Henrique",72,195,"C",2017
"Adam Larsson",75,210,"D",2017
"Adam Lowry",77,210,"C",2017
"Adam McQuaid",76,212,"D",2017
"Adam Pardy",76,227,"D",2017
"Adam Pelech",75,217,"D",2017
"Adrian Kempe",74,195,"L",2017
"Alan Quine",72,203,"C",2017
"Alec Martinez",73,208,"D",2017
"Aleksander Barkov",75,213,"C",2017
"Ales Hemsky",72,177,"R",2017
"Alex Biega",70,193,"D",2017
"Alex Chiasson",76,208,"R",2017
"Alex Galchenyuk",73,207,"L",2017
"Alex Goligoski",71,185,"D",2017
"Alex Killorn",73,196,"L",2017
"Alex Ovechkin",75,235,"L",2017
"Alex Pietrangelo",75,210,"D",2017
"Alex Tuch",76,222,"R",2017
"Alexander Burmistrov",73,180,"C",2017
"Alexander Edler",75,214,"D",2017
"Alexander Nylander",73,192,"R",2017
"Alexander Petrovic",76,206,"D",2017
"Alexander Radulov",73,201,"R",2017
"Alexander Steen",72,211,"L",2017
"Alexander Wennberg",74,196,"C",2017
"Alexandre Burrows",73,197,"R",2017
"Alexandre Carrier",71,174,"D",2017
"Alexandre Grenier",77,200,"R",2017
"Alexei Emelin",74,218,"D",2017
"Alexey Marchenko",75,210,"D",2017
"Anders Lee",75,231,"L",2017
"Andre Burakovsky",75,201,"L",2017
"Andreas Athanasiou",74,188,"L",2017
"Andreas Englund",75,189,"D",2017
"Andreas Martinsen",75,229,"L",2017
"Andrei Markov",72,200,"D",2017
"Andrej Nestrasil",75,200,"C",2017
"Andrej Sekera",72,200,"D",2017
"Andrej Sustr",79,220,"D",2017
"Andrew Cogliano",70,177,"L",2017
"Andrew Copp",73,206,"C",2017
"Andrew Desjardins",73,195,"L",2017
"Andrew Ladd",75,192,"L",2017
"Andrew MacDonald",73,204,"D",2017
"Andrew Poturalski",70,180,"C",2017
"Andrew Shaw",71,182,"R",2017
"Andy Andreoff",73,203,"L",2017
"Andy Greene",71,190,"D",2017
"Anthony Beauvillier",71,182,"C",2017
"Anthony Bitetto",73,210,"D",2017
"Anthony Duclair",71,191,"L",2017
"Anthony Mantha",77,225,"R",2017
"Antoine Roussel",71,195,"L",2017
"Antoine Vermette",73,197,"C",2017
"Anton Blidh",72,201,"L",2017
"Anton Lander",72,184,"C",2017
"Anton Lindholm",71,191,"D",2017
"Anton Rodin",71,185,"R",2017
"Anton Slepyshev",74,221,"L",2017
"Anton Stralman",71,190,"D",2017
"Anze Kopitar",75,224,"C",2017
"Artem Anisimov",76,198,"C",2017
"Artemi Panarin",71,168,"L",2017
"Artturi Lehkonen",72,183,"L",2017
"Austin Czarnik",69,160,"C",2017
"Austin Watson",76,204,"L",2017
"Auston Matthews",75,216,"C",2017
"Barclay Goodrow",74,210,"R",2017
"Beau Bennett",74,195,"R",2017
"Ben Chiarot",75,219,"D",2017
"Ben Harpur",78,222,"D",2017
"Ben Hutton",74,207,"D",2017
"Ben Lovejoy",73,205,"D",2017
"Ben Smith",71,203,"R",2017
"Ben Street",71,200,"C",2017
"Ben Thomson",75,205,"L",2017
"Benoit Pouliot",75,200,"L",2017
"Blake Coleman",71,200,"C",2017
"Blake Comeau",73,202,"L",2017
"Blake Pietila",71,200,"L",2017
"Blake Speers",71,185,"C",2017
"Blake Wheeler",77,225,"R",2017
"Bo Horvat",72,223,"C",2017
"Bobby Farnham",70,190,"R",2017
"Bobby Ryan",74,209,"R",2017
"Boo Nieves",75,212,"C",2017
"Boone Jenner",74,206,"C",2017
"Borna Rendulic",74,200,"R",2017
"Boyd Gordon",72,200,"C",2017
"Bracken Kearns",72,200,"C",2017
"Brad Hunt",69,187,"D",2017
"Brad Marchand",69,181,"L",2017
"Brad Richardson",72,190,"C",2017
"Brady Austin",76,230,"D",2017
"Brady Skjei",75,211,"D",2017
"Brandon Carlo",77,208,"D",2017
"Brandon Davidson",74,208,"D",2017
"Brandon Dubinsky",74,205,"C",2017
"Brandon Manning",73,205,"D",2017
"Brandon Montour",72,192,"D",2017
"Brandon Pirri",72,186,"C",2017
"Brandon Saad",73,206,"L",2017
"Brandon Sutter",75,191,"C",2017
"Brandon Tanev",72,180,"L",2017
"Brayden McNabb",76,212,"D",2017
"Brayden Point",70,166,"C",2017
"Brayden Schenn",73,200,"C",2017
"Braydon Coburn",77,223,"D",2017
"Brendan Gallagher",69,181,"R",2017
"Brendan Gaunce",74,217,"C",2017
"Brendan Guhle",74,196,"D",2017
"Brendan Perlini",75,211,"L",2017
"Brendan Smith",74,211,"D",2017
"Brenden Dillon",76,225,"D",2017
"Brent Burns",77,230,"D",2017
"Brent Seabrook",75,220,"D",2017
"Brett Connolly",75,195,"R",2017
"Brett Kulak",74,187,"D",2017
"Brett Lernout",76,214,"D",2017
"Brett Pesce",75,200,"D",2017
"Brett Ritchie",75,217,"R",2017
"Brian Boyle",78,245,"C",2017
"Brian Campbell",70,192,"D",2017
"Brian Dumoulin",76,207,"D",2017
"Brian Flynn",73,183,"C",2017
"Brian Gionta",67,178,"R",2017
"Brian Lashoff",75,219,"D",2017
"Brian Strait",73,206,"D",2017
"Brock Boeser",73,191,"R",2017
"Brock McGinn",72,185,"L",2017
"Brock Nelson",75,212,"C",2017
"Brooks Orpik",75,217,"D",2017
"Bryan Bickell",76,223,"L",2017
"Bryan Little",72,191,"C",2017
"Bryan Rust",71,192,"R",2017
"Buddy Robinson",78,232,"R",2017
"Byron Froese",73,202,"C",2017
"C.J. Smith",71,181,"L",2017
"Cal Clutterbuck",71,216,"R",2017
"Cal O'Reilly",72,188,"C",2017
"Calle Jarnkrok",71,186,"C",2017
"Calvin de Haan",73,198,"D",2017
"Cam Atkinson",68,179,"R",2017
"Cam Fowler",73,215,"D",2017
"Cameron Gaunce",74,204,"D",2017
"Carl Gunnarsson",74,198,"D",2017
"Carl Hagelin",71,186,"L",2017
"Carl Soderberg",75,210,"C",2017
"Carter Rowney",74,200,"R",2017
"Casey Bailey",75,195,"R",2017
"Casey Cizikas",71,200,"C",2017
"Casey Nelson",73,185,"D",2017
"Cedric Paquette",73,198,"C",2017
"Chad Ruhwedel",71,191,"D",2017
"Chandler Stephenson",72,203,"C",2017
"Charles Hudon",70,188,"L",2017
"Charlie Coyle",75,221,"C",2017
"Chris Butler",73,196,"D",2017
"Chris Kelly",72,190,"C",2017
"Chris Kreider",75,224,"L",2017
"Chris Kunitz",72,195,"L",2017
"Chris Neil",73,209,"R",2017
"Chris Stewart",74,242,"R",2017
"Chris Terry",70,191,"L",2017
"Chris Thorburn",75,235,"R",2017
"Chris Tierney",73,195,"C",2017
"Chris VandeVelde",74,190,"C",2017
"Chris Wagner",72,198,"R",2017
"Chris Wideman",70,183,"D",2017
"Christian Dvorak",72,195,"C",2017
"Christian Fischer",74,214,"R",2017
"Christian Folin",75,204,"D",2017
"Christoph Bertschy",70,185,"C",2017
"Christopher DiDomenico",71,174,"L",2017
"Christopher Tanev",74,195,"D",2017
"Clarke MacArthur",72,192,"L",2017
"Claude Giroux",71,185,"C",2017
"Clayton Keller",70,170,"C",2017
"Clayton Stoner",76,216,"D",2017
"Cody Bass",72,205,"C",2017
"Cody Ceci",74,209,"D",2017
"Cody Eakin",72,190,"C",2017
"Cody Franson",77,224,"D",2017
"Cody Goloubef",73,200,"D",2017
"Cody McLeod",74,210,"L",2017
"Cole Schneider",73,203,"L",2017
"Colin McDonald",74,219,"R",2017
"Colin Miller",73,196,"D",2017
"Colin White",72,183,"C",2017
"Colin Wilson",73,221,"C",2017
"Colton Parayko",78,230,"D",2017
"Colton Sceviour",72,195,"C",2017
"Colton Sissons",73,200,"C",2017
"Connor Brown",72,185,"R",2017
"Connor Carrick",70,192,"D",2017
"Connor Jones",69,182,"C",2017
"Connor McDavid",73,192,"C",2017
"Connor Murphy",76,212,"D",2017
"Conor Sheary",68,175,"L",2017
"Corey Perry",75,213,"R",2017
"Corey Tropp",72,186,"R",2017
"Cory Conacher",68,180,"C",2017
"Craig Smith",73,208,"R",2017
"Curtis Lazar",72,209,"C",2017
"Curtis McKenzie",74,205,"L",2017
"Dale Weise",74,206,"R",2017
"Dalton Prout",75,230,"D",2017
"Damon Severson",74,205,"D",2017
"Dan Girardi",73,212,"D",2017
"Dan Hamhuis",73,204,"D",2017
"Dan Renouf",74,205,"D",2017
"Daniel Carr",72,193,"L",2017
"Daniel Sedin",73,190,"L",2017
"Daniel Winnik",74,210,"L",2017
"Danny DeKeyser",75,192,"D",2017
"Danny O'Regan",70,185,"C",2017
"Danton Heinen",73,185,"C",2017
"Darnell Nurse",76,221,"D",2017
"Darren Helm",72,196,"L",2017
"David Backes",75,221,"R",2017
"David Desharnais",67,180,"C",2017
"David Krejci",72,188,"C",2017
"David Pastrnak",72,188,"R",2017
"David Perron",72,200,"L",2017
"David Savard",74,227,"D",2017
"David Schlemko",73,189,"D",2017
"David Warsofsky",69,170,"D",2017
"Denis Gurianov",75,200,"R",2017
"Denis Malgin",69,177,"C",2017
"Dennis Rasmussen",75,192,"C",2017
"Dennis Seidenberg",72,199,"D",2017
"Dennis Wideman",72,202,"D",2017
"Derek Dorsett",72,192,"R",2017
"Derek Forbort",76,215,"D",2017
"Derek Grant",75,215,"C",2017
"Derek MacKenzie",71,181,"C",2017
"Derek Ryan",71,170,"C",2017
"Derek Stepan",72,196,"C",2017
"Derick Brassard",73,202,"C",2017
"Derrick Pouliot",72,208,"D",2017
"Deryk Engelland",74,214,"D",2017
"Devante Smith-Pelly",72,223,"R",2017
"Devin Setoguchi",72,205,"R",2017
"Devin Shore",72,205,"C",2017
"Dillon Simpson",74,204,"D",2017
"Dion Phaneuf",76,225,"D",2017
"Dmitrij Jaskin",74,216,"R",2017
"Dmitry Kulikov",73,204,"D",2017
"Dmitry Orlov",71,212,"D",2017
"Dominic Moore",72,192,"C",2017
"Dominik Simon",71,176,"C",2017
"Dougie Hamilton",78,210,"D",2017
"Drake Caggiula",70,185,"L",2017
"Drew Doughty",73,200,"D",2017
"Drew Miller",74,183,"L",2017
"Drew Shore",75,205,"C",2017
"Drew Stafford",74,215,"R",2017
"Duncan Keith",73,192,"D",2017
"Duncan Siemens",75,210,"D",2017
"Dustin Brown",72,216,"R",2017
"Dustin Byfuglien",77,260,"D",2017
"Dwight King",76,229,"L",2017
"Dylan DeMelo",73,195,"D",2017
"Dylan Larkin",73,198,"C",2017
"Dylan McIlrath",77,236,"D",2017
"Dylan Strome",75,200,"C",2017
"Elias Lindholm",73,192,"C",2017
"Emerson Etem",73,212,"R",2017
"Eric Fehr",76,208,"C",2017
"Eric Gelinas",76,215,"D",2017
"Eric Gryba",76,222,"D",2017
"Eric Staal",76,209,"C",2017
"Erik Burgdoerfer",73,207,"D",2017
"Erik Condra",71,188,"R",2017
"Erik Gudbranson",77,220,"D",2017
"Erik Haula",72,193,"L",2017
"Erik Johnson",76,225,"D",2017
"Erik Karlsson",72,191,"D",2017
"Esa Lindell",75,213,"D",2017
"Evan McEneny",74,203,"D",2017
"Evan Rodrigues",71,182,"L",2017
"Evander Kane",74,212,"L",2017
"Evgeni Malkin",75,195,"C",2017
"Evgeny Kuznetsov",74,204,"C",2017
"Evgeny Svechnikov",75,212,"R",2017
"Fedor Tyutin",74,221,"D",2017
"Filip Forsberg",73,205,"L",2017
"Francois Beauchemin",71,208,"D",2017
"Frank Corrado",72,205,"D",2017
"Frank Vatrano",69,201,"C",2017
"Frans Nielsen",73,188,"C",2017
"Freddie Hamilton",73,195,"C",2017
"Frederick Gaudreau",72,179,"C",2017
"Frederik Gauthier",77,232,"C",2017
"Fredrik Claesson",73,200,"D",2017
"Gabriel Bourque",70,206,"L",2017
"Gabriel Carlsson",77,192,"D",2017
"Gabriel Dumont",70,190,"C",2017
"Gabriel Landeskog",73,215,"L",2017
"Garnet Hathaway",74,208,"R",2017
"Garrett Mitchell",71,198,"R",2017
"Gemel Smith",70,190,"C",2017
"Greg McKegg",72,191,"C",2017
"Greg Pateryn",75,224,"D",2017
"Griffen Molino",71,171,"C",2017
"Gustav Forsling",72,186,"D",2017
"Gustav Nyquist",71,184,"R",2017
"Gustav Olofsson",75,196,"D",2017
"Hampus Lindholm",75,208,"D",2017
"Harry Zolnierczyk",71,180,"L",2017
"Henrik Sedin",74,183,"C",2017
"Henrik Zetterberg",72,197,"C",2017
"Hudson Fasching",75,204,"R",2017
"Hunter Shinkaruk",70,181,"C",2017
"Ian Cole",73,219,"D",2017
"Ian McCoshen",75,217,"D",2017
"Iiro Pakarinen",73,212,"R",2017
"Ivan Barbashev",72,187,"C",2017
"Ivan Provorov",73,201,"D",2017
"J.T. Brown",70,169,"R",2017
"J.T. Compher",72,193,"L",2017
"J.T. Miller",73,218,"C",2017
"Jaccob Slavin",75,205,"D",2017
"Jack Eichel",74,206,"C",2017
"Jack Johnson",73,227,"D",2017
"Jack Roslovic",73,187,"C",2017
"Jack Skille",73,216,"R",2017
"Jacob de la Rose",75,210,"L",2017
"Jacob Josefson",72,196,"C",2017
"Jacob Larsson",74,195,"D",2017
"Jacob Trouba",75,202,"D",2017
"Jaden Schwartz",70,190,"L",2017
"Jake Dotchin",75,210,"D",2017
"Jake Gardiner",74,200,"D",2017
"Jake Guentzel",71,180,"C",2017
"Jake McCabe",73,210,"D",2017
"Jake Muzzin",75,213,"D",2017
"Jake Virtanen",73,229,"R",2017
"Jakob Chychrun",74,210,"D",2017
"Jakob Forsbacka Karlsson",73,184,"C",2017
"Jakob Silfverberg",74,202,"R",2017
"Jakub Kindl",75,199,"D",2017
"Jakub Nakladal",74,212,"D",2017
"Jakub Voracek",74,214,"R",2017
"Jakub Vrana",72,197,"L",2017
"James Neal",74,221,"L",2017
"James van Riemsdyk",75,217,"L",2017
"Jamie Benn",74,209,"L",2017
"Jamie McBain",73,180,"D",2017
"Jamie McGinn",73,205,"L",2017
"Jamie Oleksiak",79,255,"D",2017
"Jannik Hansen",73,198,"R",2017
"Jared Boll",75,206,"R",2017
"Jared McCann",73,198,"C",2017
"Jared Spurgeon",69,168,"D",2017
"Jarome Iginla",73,210,"R",2017
"Jaromir Jagr",75,230,"R",2017
"Jason Chimera",75,215,"L",2017
"Jason Demers",73,195,"D",2017
"Jason Dickinson",74,205,"C",2017
"Jason Garrison",73,218,"D",2017
"Jason Pominville",72,180,"R",2017
"Jason Spezza",75,214,"C",2017
"Jason Zucker",71,187,"L",2017
"Jay Beagle",75,218,"C",2017
"Jay Bouwmeester",76,206,"D",2017
"Jay McClement",73,205,"C",2017
"Jaycob Megna",78,219,"D",2017
"Jayson Megna",73,195,"C",2017
"Jean-Gabriel Pageau",70,184,"C",2017
"Jean-Sebastien Dea",71,175,"C",2017
"Jeff Carter",75,217,"C",2017
"Jeff Petry",75,208,"D",2017
"Jeff Skinner",71,200,"L",2017
"Jesper Fast",72,191,"R",2017
"Jesse Puljujarvi",76,211,"R",2017
"Jimmy Hayes",77,215,"R",2017
"Jimmy Vesey",75,206,"L",2017
"Jiri Hudler",70,190,"R",2017
"Joakim Nordstrom",73,189,"L",2017
"Joe Colborne",77,221,"C",2017
"Joe Morrow",72,196,"D",2017
"Joe Pavelski",71,195,"C",2017
"Joe Thornton",76,220,"C",2017
"Joel Armia",75,205,"R",2017
"Joel Edmundson",76,215,"D",2017
"Joel Eriksson Ek",73,206,"C",2017
"Joel Hanley",71,191,"D",2017
"Joel Vermin",71,192,"R",2017
"Joel Ward",73,225,"R",2017
"Johan Larsson",71,198,"C",2017
"John-Michael Liles",70,185,"D",2017
"John Carlson",75,218,"D",2017
"John Hayden",75,223,"R",2017
"John Klingberg",74,177,"D",2017
"John Mitchell",73,204,"C",2017
"John Moore",74,210,"D",2017
"John Quenneville",73,195,"C",2017
"John Tavares",73,208,"C",2017
"Johnny Boychuk",74,227,"D",2017
"Johnny Gaudreau",69,157,"L",2017
"Johnny Oduya",72,191,"D",2017
"Jon Merrill",75,205,"D",2017
"Jonas Brodin",73,194,"D",2017
"Jonathan Drouin",72,203,"C",2017
"Jonathan Ericsson",76,220,"D",2017
"Jonathan Huberdeau",73,188,"L",2017
"Jonathan Marchessault",69,174,"C",2017
"Jonathan Toews",74,201,"C",2017
"Jonny Brodzinski",73,217,"C",2017
"Joonas Donskoi",72,190,"R",2017
"Jordan Eberle",71,187,"C",2017
"Jordan Martinook",72,204,"L",2017
