"Name","Height","Weight","Season"
"Al Montoya",74,201,2011
"Alex Auld",76,215,2011
"Alex Stalock",72,191,2011
"Anders Lindback",78,215,2011
"Andrew Raycroft",73,180,2011
"Antero Niittymaki",73,195,2011
"Anton Khudobin",71,195,2011
"Antti Niemi",74,215,2011
"Ben Bishop",79,225,2011
"Braden Holtby",74,211,2011
"Brent Johnson",75,199,2011
"Brian Boucher",74,200,2011
"Brian Elliott",74,209,2011
"Cam Ward",73,185,2011
"Carey Price",75,215,2011
"Cedrick Desjardins",72,192,2011
"Chad Johnson",75,197,2011
"Chris Mason",72,198,2011
"Chris Osgood",70,180,2011
"Corey Crawford",74,216,2011
"Cory Schneider",75,200,2011
"Craig Anderson",74,185,2011
"Curtis McElhinney",74,200,2011
"Dan Ellis",73,195,2011
"David Leneveu",73,190,2011
"Devan Dubnyk",78,218,2011
"Dwayne Roloson",73,170,2011
"Henrik Karlsson",78,209,2011
"Henrik Lundqvist",73,180,2011
"Ilya Bryzgalov",75,213,2011
"Jacob Markstrom",78,196,2011
"James Reimer",74,217,2011
"Jaroslav Halak",71,183,2011
"Jason LaBarbera",75,232,2011
"Jean-Sebastien Giguere",73,202,2011
"Jhonas Enroth",70,175,2011
"Jimmy Howard",73,218,2011
"Joey MacDonald",72,197,2011
"Johan Hedberg",72,190,2011
"Jonas Gustavsson",76,201,2011
"Jonas Hiller",74,191,2011
"Jonathan Bernier",72,184,2011
"Jonathan Quick",73,218,2011
"Jose Theodore",71,172,2011
"Justin Peters",73,210,2011
"Kari Lehtonen",76,209,2011
"Kevin Poulin",74,206,2011
"Marc-Andre Fleury",74,180,2011
"Mark Dekanich",74,185,2011
"Martin Biron",74,186,2011
"Martin Brodeur",74,220,2011
"Martin Gerber",72,205,2011
"Marty Turco",71,184,2011
"Mathieu Garon",73,198,2011
"Matt Climie",75,194,2011
"Michael Leighton",75,186,2011
"Michal Neuvirth",73,209,2011
"Miikka Kiprusoff",73,185,2011
"Mike Brodeur",74,185,2011
"Mike McKenna",74,183,2011
"Mike Smith",76,215,2011
"Mikko Koskinen",78,205,2011
"Nathan Lawson",74,198,2011
"Niklas Backstrom",74,192,2011
"Nikolai Khabibulin",73,208,2011
"Ondrej Pavelec",75,212,2011
"Pascal Leclaire",74,202,2011
"Patrick Lalime",75,192,2011
"Pekka Rinne",77,217,2011
"Peter Budaj",73,196,2011
"Peter Mannino",73,195,2011
"Ray Emery",74,196,2011
"Richard Bachman",70,183,2011
"Rick DiPietro",72,185,2011
"Roberto Luongo",75,217,2011
"Robin Lehner",76,245,2011
"Ryan Miller",75,173,2011
"Scott Clemmensen",74,200,2011
"Semyon Varlamov",74,209,2011
"Sergei Bobrovsky",74,182,2011
"Steve Mason",76,210,2011
"Tim Thomas",71,201,2011
"Timo Pielmeier",71,175,2011
"Tom McCollum",74,220,2011
"Tomas Vokoun",73,210,2011
"Tuukka Rask",75,176,2011
"Ty Conklin",73,185,2011
