"Name","Height","Weight","Position","Season"
"Aaron Gagnon",71,186,"C",2011
"Aaron Palushaj",72,187,"R",2011
"Aaron Rome",73,220,"D",2011
"Aaron Volpatti",72,215,"L",2011
"Aaron Voros",74,210,"L",2011
"Adam Burish",73,195,"R",2011
"Adam Cracknell",74,218,"R",2011
"Adam Foote",74,220,"D",2011
"Adam Hall",74,212,"R",2011
"Adam Henrique",72,195,"C",2011
"Adam Mair",73,208,"C",2011
"Adam McQuaid",76,212,"D",2011
"Adam Pardy",76,227,"D",2011
"Adrian Aucoin",74,215,"D",2011
"Alec Martinez",73,208,"D",2011
"Ales Hemsky",72,177,"R",2011
"Ales Kotalik",73,225,"R",2011
"Alex Frolov",74,210,"L",2011
"Alex Goligoski",71,185,"D",2011
"Alex Kovalev",74,222,"R",2011
"Alex Ovechkin",75,235,"L",2011
"Alex Pietrangelo",75,210,"D",2011
"Alex Plante",76,230,"D",2011
"Alex Tanguay",73,194,"L",2011
"Alexander Burmistrov",73,180,"C",2011
"Alexander Edler",75,214,"D",2011
"Alexander Semin",74,211,"R",2011
"Alexander Steen",72,211,"L",2011
"Alexander Sulzer",73,198,"D",2011
"Alexander Urbom",76,215,"D",2011
"Alexander Vasyunov",73,210,"L",2011
"Alexandre Bolduc",75,200,"C",2011
"Alexandre Burrows",73,197,"R",2011
"Alexandre Giroux",75,208,"L",2011
"Alexandre Picard",75,215,"D",2011
"Alexei Ponikarovsky",76,225,"L",2011
"Andre Benoit",71,190,"D",2011
"Andreas Engqvist",76,199,"C",2011
"Andreas Lilja",75,220,"D",2011
"Andreas Nodl",73,196,"R",2011
"Andreas Thuresson",73,206,"R",2011
"Andrei Kostitsyn",72,214,"L",2011
"Andrei Loktionov",71,190,"C",2011
"Andrei Markov",72,200,"D",2011
"Andrej Meszaros",74,223,"D",2011
"Andrej Sekera",72,200,"D",2011
"Andrew Alberts",77,218,"D",2011
"Andrew Brunette",73,215,"L",2011
"Andrew Cogliano",70,177,"L",2011
"Andrew Desjardins",73,195,"L",2011
"Andrew Ebbett",69,174,"C",2011
"Andrew Ference",71,182,"D",2011
"Andrew Gordon",72,194,"R",2011
"Andrew Hutchinson",74,195,"D",2011
"Andrew Ladd",75,192,"L",2011
"Andrew MacDonald",73,204,"D",2011
"Andrew Murray",74,210,"C",2011
"Andrey Zubarev",73,210,"D",2011
"Andy Greene",71,190,"D",2011
"Andy McDonald",70,175,"L",2011
"Andy Sutton",78,245,"D",2011
"Anssi Salmela",73,200,"D",2011
"Anthony Stewart",75,230,"R",2011
"Antoine Vermette",73,197,"C",2011
"Anton Babchuk",77,200,"D",2011
"Anton Stralman",71,190,"D",2011
"Anton Volchenkov",73,220,"D",2011
"Antti Miettinen",72,190,"R",2011
"Anze Kopitar",75,224,"C",2011
"Arron Asham",71,210,"R",2011
"Artem Anisimov",76,198,"C",2011
"Arturs Kulda",74,215,"D",2011
"B.J. Crombeen",74,209,"R",2011
"Barret Jackman",72,203,"D",2011
"Ben Eager",74,226,"L",2011
