"Name","Height","Weight","Position","Season"
"Aaron Gagnon",71,186,"C",2012
"Aaron Johnson",73,204,"D",2012
"Aaron Ness",70,184,"D",2012
"Aaron Palushaj",72,187,"R",2012
"Aaron Rome",73,220,"D",2012
"Aaron Volpatti",72,215,"L",2012
"Adam Burish",73,195,"R",2012
"Adam Cracknell",74,218,"R",2012
"Adam Hall",74,212,"R",2012
"Adam Henrique",72,195,"C",2012
"Adam Larsson",75,210,"D",2012
"Adam McQuaid",76,212,"D",2012
"Adam Pardy",76,227,"D",2012
"Adrian Aucoin",74,215,"D",2012
"Akim Aliu",76,225,"R",2012
"Alec Martinez",73,208,"D",2012
"Ales Hemsky",72,177,"R",2012
"Alex Goligoski",71,185,"D",2012
"Alex Ovechkin",75,235,"L",2012
"Alex Pietrangelo",75,210,"D",2012
"Alex Plante",76,230,"D",2012
"Alex Tanguay",73,194,"L",2012
"Alexander Burmistrov",73,180,"C",2012
"Alexander Edler",75,214,"D",2012
"Alexander Radulov",73,201,"R",2012
"Alexander Semin",74,211,"R",2012
"Alexander Steen",72,211,"L",2012
"Alexander Sulzer",73,198,"D",2012
"Alexander Urbom",76,215,"D",2012
"Alexandre Bolduc",75,200,"C",2012
"Alexandre Burrows",73,197,"R",2012
"Alexandre Giroux",75,208,"L",2012
"Alexandre Picard",75,215,"D",2012
"Alexei Emelin",74,218,"D",2012
"Alexei Ponikarovsky",76,225,"L",2012
"Andre Deveaux",75,239,"C",2012
"Andre Petersson",69,175,"R",2012
"Andreas Engqvist",76,199,"C",2012
"Andreas Lilja",75,220,"D",2012
"Andreas Nodl",73,196,"R",2012
"Andrei Kostitsyn",72,214,"L",2012
"Andrei Loktionov",71,190,"C",2012
"Andrei Markov",72,200,"D",2012
"Andrej Meszaros",74,223,"D",2012
"Andrej Sekera",72,200,"D",2012
"Andrew Alberts",77,218,"D",2012
"Andrew Brunette",73,215,"L",2012
"Andrew Cogliano",70,177,"L",2012
"Andrew Desjardins",73,195,"L",2012
"Andrew Ebbett",69,174,"C",2012
"Andrew Ference",71,182,"D",2012
"Andrew Gordon",72,194,"R",2012
"Andrew Joudrey",70,185,"C",2012
"Andrew Ladd",75,192,"L",2012
"Andrew MacDonald",73,204,"D",2012
"Andrew Murray",74,210,"C",2012
"Andrew Shaw",71,182,"R",2012
"Andy Greene",71,190,"D",2012
"Andy McDonald",70,175,"L",2012
"Andy Miele",67,169,"C",2012
"Andy Sutton",78,245,"D",2012
"Anthony Stewart",75,230,"R",2012
"Antoine Vermette",73,197,"C",2012
"Anton Babchuk",77,200,"D",2012
"Anton Lander",72,184,"C",2012
"Anton Stralman",71,190,"D",2012
"Anton Volchenkov",73,220,"D",2012
"Antti Miettinen",72,190,"R",2012
"Anze Kopitar",75,224,"C",2012
"Arron Asham",71,210,"R",2012
"Artem Anisimov",76,198,"C",2012
"Arturs Kulda",74,215,"D",2012
"B.J. Crombeen",74,209,"R",2012
"Barret Jackman",72,203,"D",2012
"Ben Eager",74,226,"L",2012
"Ben Holmstrom",73,203,"C",2012
"Ben Lovejoy",73,205,"D",2012
"Ben Maxwell",73,195,"C",2012
"Ben Smith",71,203,"R",2012
"Benn Ferriero",71,195,"R",2012
"Benoit Pouliot",75,200,"L",2012
"Bill Sweatt",72,190,"L",2012
"Bill Thomas",73,185,"R",2012
"Blair Jones",74,216,"C",2012
"Blake Comeau",73,202,"L",2012
"Blake Geoffrion",73,190,"C",2012
"Blake Wheeler",77,225,"R",2012
"Bobby Butler",72,189,"R",2012
"Bobby Ryan",74,209,"R",2012
"Bobby Sanguinetti",75,188,"D",2012
"Boyd Gordon",72,200,"C",2012
"Bracken Kearns",72,200,"C",2012
"Brad Boyes",72,199,"R",2012
"Brad Malone",73,213,"C",2012
"Brad Marchand",69,181,"L",2012
"Brad Mills",72,195,"C",2012
"Brad Richards",72,199,"C",2012
"Brad Richardson",72,190,"C",2012
"Brad Staubitz",73,207,"R",2012
"Brad Stuart",74,215,"D",2012
"Brad Winchester",77,230,"L",2012
"Brandon Bollig",74,220,"L",2012
