"Name","Height","Weight","Position","Season"
"Aaron Gagnon",71,186,"C",2010
"Aaron Johnson",73,204,"D",2010
"Aaron Rome",73,220,"D",2010
"Aaron Voros",74,210,"L",2010
"Aaron Ward",74,209,"D",2010
"Adam Burish",73,195,"R",2010
"Adam Foote",74,220,"D",2010
"Adam Mair",73,208,"C",2010
"Adam McQuaid",76,212,"D",2010
"Adam Pardy",76,227,"D",2010
"Adrian Aucoin",74,215,"D",2010
"Alec Martinez",73,208,"D",2010
"Ales Hemsky",72,177,"R",2010
"Ales Kotalik",73,225,"R",2010
"Alex Frolov",74,210,"L",2010
"Alex Goligoski",71,185,"D",2010
"Alex Kovalev",74,222,"R",2010
"Alex Ovechkin",75,235,"L",2010
"Alex Pietrangelo",75,210,"D",2010
"Alex Plante",76,230,"D",2010
"Alex Tanguay",73,194,"L",2010
"Alexander Edler",75,214,"D",2010
"Alexander Semin",74,211,"R",2010
"Alexander Steen",72,211,"L",2010
"Alexander Sulzer",73,198,"D",2010
"Alexandre Bolduc",75,200,"C",2010
"Alexandre Burrows",73,197,"R",2010
"Alexandre Giroux",75,208,"L",2010
"Alexandre Picard",75,215,"D",2010
"Alexandre Picard",74,206,"L",2010
"Alexei Ponikarovsky",76,225,"L",2010
"Anders Eriksson",75,224,"D",2010
"Andre Deveaux",75,239,"C",2010
"Andreas Lilja",75,220,"D",2010
"Andreas Nodl",73,196,"R",2010
"Andreas Thuresson",73,206,"R",2010
"Andrei Kostitsyn",72,214,"L",2010
"Andrei Loktionov",71,190,"C",2010
"Andrei Markov",72,200,"D",2010
"Andrej Meszaros",74,223,"D",2010
"Andrej Sekera",72,200,"D",2010
"Andrew Alberts",77,218,"D",2010
"Andrew Bodnarchuk",71,195,"D",2010
"Andrew Brunette",73,215,"L",2010
"Andrew Cogliano",70,177,"L",2010
"Andrew Ebbett",69,174,"C",2010
"Andrew Ference",71,182,"D",2010
"Andrew Gordon",72,194,"R",2010
"Andrew Ladd",75,192,"L",2010
"Andrew MacDonald",73,204,"D",2010
"Andrew Murray",74,210,"C",2010
"Andrew Peters",76,240,"L",2010
"Andy Greene",71,190,"D",2010
"Andy Hilbert",70,188,"L",2010
"Andy McDonald",70,175,"L",2010
"Andy Sutton",78,245,"D",2010
"Andy Wozniewski",77,225,"D",2010
"Anssi Salmela",73,200,"D",2010
"Antoine Vermette",73,197,"C",2010
"Anton Klementyev",73,198,"D",2010
"Anton Stralman",71,190,"D",2010
"Anton Volchenkov",73,220,"D",2010
"Antti Miettinen",72,190,"R",2010
"Anze Kopitar",75,224,"C",2010
"Arron Asham",71,210,"R",2010
"Artem Anisimov",76,198,"C",2010
"Arturs Kulda",74,215,"D",2010
"B.J. Crombeen",74,209,"R",2010
"Barret Jackman",72,203,"D",2010
"Ben Eager",74,226,"L",2010
"Ben Guite",73,210,"R",2010
"Ben Lovejoy",73,205,"D",2010
"Ben Maxwell",73,195,"C",2010
"Ben Walter",73,190,"C",2010
"Benn Ferriero",71,195,"R",2010
"Benoit Pouliot",75,200,"L",2010
"Bill Guerin",74,220,"R",2010
"Blair Betts",75,210,"C",2010
"Blair Jones",74,216,"C",2010
"Blake Comeau",73,202,"L",2010
"Blake Wheeler",77,225,"R",2010
"Bobby Butler",72,189,"R",2010
"Bobby Ryan",74,209,"R",2010
"Bobby Sanguinetti",75,188,"D",2010
"Boris Valabik",79,255,"D",2010
"Boyd Gordon",72,200,"C",2010
"Boyd Kane",74,229,"L",2010
"Brad Boyes",72,199,"R",2010
"Brad Lukowich",73,191,"D",2010
"Brad Marchand",69,181,"L",2010
"Brad May",73,213,"L",2010
"Brad Richards",72,199,"C",2010
"Brad Richardson",72,190,"C",2010
"Brad Staubitz",73,207,"R",2010
"Brad Stuart",74,215,"D",2010
"Brad Winchester",77,230,"L",2010
"Brandon Bochenski",73,195,"R",2010
"Brandon Dubinsky",74,205,"C",2010
"Brandon Prust",72,195,"L",2010
"Brandon Segal",74,215,"R",2010
"Brandon Sutter",75,191,"C",2010
"Brandon Yip",73,198,"R",2010
"Brayden Irwin",77,215,"C",2010
"Brayden Schenn",73,200,"C",2010
"Braydon Coburn",77,223,"D",2010
"Brendan Mikkelson",75,210,"D",2010
"Brendan Morrison",71,176,"C",2010
"Brendan Witt",74,223,"D",2010
"Brenden Morrow",71,212,"L",2010
"Brent Burns",77,230,"D",2010
"Brent Seabrook",75,220,"D",2010
"Brent Sopel",74,205,"D",2010
"Brett Carson",76,210,"D",2010
"Brett Clark",72,194,"D",2010
"Brett Festerling",73,210,"D",2010
"Brett Lebda",69,195,"D",2010
"Brett Sutter",72,200,"L",2010
"Brian Boyle",78,245,"C",2010
"Brian Campbell",70,192,"D",2010
"Brian Gionta",67,178,"R",2010
"Brian Lee",75,200,"D",2010
"Brian McGrattan",76,235,"R",2010
"Brian Pothier",72,204,"D",2010
"Brian Rafalski",70,194,"D",2010
"Brian Rolston",74,215,"R",2010
"Brian Sutherby",74,208,"C",2010
"Brian Willsie",73,202,"R",2010
"Brock Trotter",70,180,"L",2010
"Brooks Laich",74,200,"C",2010
"Brooks Orpik",75,217,"D",2010
"Bruno Gervais",73,200,"D",2010
"Bryan Allen",77,223,"D",2010
"Bryan Bickell",76,223,"L",2010
"Bryan Little",72,191,"C",2010
"Bryan McCabe",74,223,"D",2010
"Bryan Rodney",72,195,"D",2010
"Bryce Salvador",75,215,"D",2010
"Byron Bitz",77,215,"R",2010
"Cal Clutterbuck",71,216,"R",2010
"Cal O'Reilly",72,188,"C",2010
"Cam Barker",75,223,"D",2010
"Cam Janssen",72,215,"R",2010
"Carl Gunnarsson",74,198,"D",2010
"Carlo Colaiacovo",73,202,"D",2010
"Casey Borer",74,205,"D",2010
"Casey Wellman",72,173,"C",2010
"Chad Kolarik",71,178,"C",2010
"Chad LaRose",70,181,"R",2010
"Charles Linglet",74,205,"L",2010
"Chris Bourque",68,174,"L",2010
"Chris Butler",73,196,"D",2010
"Chris Campoli",72,200,"D",2010
"Chris Chelios",72,191,"D",2010
"Chris Clark",72,191,"R",2010
"Chris Conner",67,181,"R",2010
"Chris Drury",70,191,"C",2010
"Chris Durno",76,223,"L",2010
"Chris Higgins",72,205,"L",2010
"Chris Kelly",72,190,"C",2010
"Chris Kunitz",72,195,"L",2010
"Chris Minard",73,190,"L",2010
"Chris Neil",73,209,"R",2010
"Chris Phillips",75,219,"D",2010
"Chris Pronger",78,220,"D",2010
"Chris Stewart",74,242,"R",2010
"Chris Thorburn",75,235,"R",2010
"Christian Ehrhoff",74,201,"D",2010
"Christian Hanson",76,228,"C",2010
"Christoph Schubert",75,230,"D",2010
"Chuck Kobasew",72,192,"R",2010
"Clarke MacArthur",72,192,"L",2010
"Claude Giroux",71,185,"C",2010
"Clay Wilson",72,195,"D",2010
"Clayton Stoner",76,216,"D",2010
"Cody Almond",74,199,"C",2010
"Cody Franson",77,224,"D",2010
"Cody McLeod",74,210,"L",2010
"Colby Armstrong",74,185,"R",2010
"Colin Fraser",73,190,"C",2010
"Colin McDonald",74,219,"R",2010
"Colin White",76,215,"D",2010
"Colin Wilson",73,221,"C",2010
"Colton Orr",75,222,"R",2010
"Corey Elkins",74,214,"C",2010
"Corey Locke",69,175,"C",2010
"Corey Perry",75,213,"R",2010
"Corey Potter",75,204,"D",2010
"Cory Murphy",69,175,"D",2010
"Cory Sarich",76,207,"D",2010
"Cory Stillman",72,193,"L",2010
"Craig Adams",72,200,"R",2010
"Craig Conroy",74,193,"C",2010
"Craig Rivet",74,207,"D",2010
"Curtis Glencross",73,197,"L",2010
"Dainius Zubrus",77,225,"C",2010
"Dan Boyle",71,194,"D",2010
"Dan Girardi",73,212,"D",2010
"Dan Hamhuis",73,204,"D",2010
"Dan Sexton",69,180,"R",2010
"Dane Byers",75,204,"L",2010
"Daniel Alfredsson",71,203,"R",2010
"Daniel Briere",69,174,"C",2010
"Daniel Carcillo",72,200,"L",2010
"Daniel Cleary",73,205,"R",2010
"Daniel Paille",73,200,"L",2010
"Daniel Sedin",73,190,"L",2010
"Daniel Winnik",74,210,"L",2010
"Danny Irmen",72,182,"C",2010
"Danny Syvret",72,205,"D",2010
"Dany Heatley",75,212,"L",2010
"Darcy Hordichuk",73,215,"L",2010
"Darcy Tucker",70,178,"R",2010
"Darren Haydar",69,170,"R",2010
"Darren Helm",72,196,"L",2010
"Darroll Powe",71,212,"C",2010
"Darryl Sydor",73,211,"D",2010
"Dave Bolland",72,184,"C",2010
