"Name","Height","Weight","Season"
"Al Montoya",74,201,2015
"Alex Stalock",72,191,2015
"Anders Lindback",78,215,2015
"Andrei Vasilevskiy",75,207,2015
"Andrew Hammond",74,215,2015
"Andrey Makarov",74,194,2015
"Anton Forsberg",75,192,2015
"Anton Khudobin",71,195,2015
"Antti Niemi",74,215,2015
"Antti Raanta",72,195,2015
"Ben Bishop",79,225,2015
"Ben Scrivens",74,181,2015
"Braden Holtby",74,211,2015
"Brian Elliott",74,209,2015
"Calvin Pickard",73,200,2015
"Cam Talbot",76,200,2015
"Cam Ward",73,185,2015
"Carey Price",75,215,2015
"Carter Hutton",73,202,2015
"Chad Johnson",75,197,2015
"Chris Driedger",76,205,2015
"Corey Crawford",74,216,2015
"Cory Schneider",75,200,2015
"Craig Anderson",74,185,2015
"Curtis McElhinney",74,200,2015
"Dan Ellis",73,195,2015
"Darcy Kuemper",77,215,2015
"Devan Dubnyk",78,218,2015
"Dustin Tokarski",72,204,2015
"Eddie Lack",76,187,2015
"Evgeni Nabokov",72,202,2015
"Frederik Andersen",76,230,2015
"Henrik Lundqvist",73,180,2015
"Ilya Bryzgalov",75,213,2015
"Jacob Markstrom",78,196,2015
"Jake Allen",74,203,2015
"James Reimer",74,217,2015
"Jaroslav Halak",71,183,2015
"Jason LaBarbera",75,232,2015
"Jeff Zatkoff",74,186,2015
"Jhonas Enroth",70,175,2015
"Jimmy Howard",73,218,2015
"John Curry",71,185,2015
"John Gibson",75,223,2015
"Jonas Gustavsson",76,201,2015
"Jonas Hiller",74,191,2015
"Jonathan Bernier",72,184,2015
"Jonathan Quick",73,218,2015
"Joni Ortio",73,190,2015
"Jussi Rynnas",77,210,2015
"Justin Peters",73,210,2015
"Kari Lehtonen",76,209,2015
"Karri Ramo",74,206,2015
"Keith Kinkaid",75,195,2015
"Kevin Poulin",74,206,2015
"Laurent Brossoit",75,204,2015
"Louis Domingue",75,210,2015
"Mackenzie Skapski",75,197,2015
"Malcolm Subban",74,200,2015
"Marc-Andre Fleury",74,180,2015
"Marek Mazanec",76,187,2015
"Martin Brodeur",74,220,2015
"Martin Jones",76,195,2015
"Matt Hackett",74,179,2015
"Michael Hutchinson",75,202,2015
"Michal Neuvirth",73,209,2015
"Mike McKenna",74,183,2015
"Mike Smith",76,215,2015
"Niklas Backstrom",74,192,2015
"Niklas Svedberg",73,163,2015
"Ondrej Pavelec",75,212,2015
"Pekka Rinne",77,217,2015
"Petr Mrazek",74,181,2015
"Philipp Grubauer",73,191,2015
"Ray Emery",74,196,2015
"Reto Berra",76,218,2015
"Richard Bachman",70,183,2015
"Rob Zepp",74,198,2015
"Roberto Luongo",75,217,2015
"Robin Lehner",76,245,2015
"Ryan Miller",75,173,2015
"Scott Clemmensen",74,200,2015
"Scott Darling",78,232,2015
"Semyon Varlamov",74,209,2015
"Sergei Bobrovsky",74,182,2015
"Steve Mason",76,210,2015
"Thomas Greiss",73,227,2015
"Tom McCollum",74,220,2015
"Troy Grosenick",73,185,2015
"Tuukka Rask",75,176,2015
"Tyler Bunz",73,205,2015
"Viktor Fasth",72,181,2015
