"Name","Height","Weight","Position","Season"
"Aaron Gagnon",71,186,"C",2013
"Aaron Johnson",73,204,"D",2013
"Aaron Palushaj",72,187,"R",2013
"Aaron Rome",73,220,"D",2013
"Aaron Volpatti",72,215,"L",2013
"Adam Burish",73,195,"R",2013
"Adam Cracknell",74,218,"R",2013
"Adam Hall",74,212,"R",2013
"Adam Henrique",72,195,"C",2013
"Adam Larsson",75,210,"D",2013
"Adam McQuaid",76,212,"D",2013
"Adam Pardy",76,227,"D",2013
"Adrian Aucoin",74,215,"D",2013
"Akim Aliu",76,225,"R",2013
"Alec Martinez",73,208,"D",2013
"Ales Hemsky",72,177,"R",2013
"Alex Chiasson",76,208,"R",2013
"Alex Galchenyuk",73,207,"L",2013
"Alex Goligoski",71,185,"D",2013
"Alex Killorn",73,196,"L",2013
"Alex Kovalev",74,222,"R",2013
"Alex Ovechkin",75,235,"L",2013
"Alex Pietrangelo",75,210,"D",2013
"Alex Tanguay",73,194,"L",2013
"Alexander Burmistrov",73,180,"C",2013
"Alexander Edler",75,214,"D",2013
"Alexander Petrovic",76,206,"D",2013
"Alexander Semin",74,211,"R",2013
"Alexander Steen",72,211,"L",2013
"Alexander Sulzer",73,198,"D",2013
"Alexander Urbom",76,215,"D",2013
"Alexandre Bolduc",75,200,"C",2013
"Alexandre Burrows",73,197,"R",2013
"Alexei Emelin",74,218,"D",2013
"Alexei Ponikarovsky",76,225,"L",2013
"Anders Lee",75,231,"L",2013
"Andre Benoit",71,190,"D",2013
"Andreas Lilja",75,220,"D",2013
"Andreas Nodl",73,196,"R",2013
"Andrei Loktionov",71,190,"C",2013
"Andrei Markov",72,200,"D",2013
"Andrej Meszaros",74,223,"D",2013
"Andrej Sekera",72,200,"D",2013
"Andrej Sustr",79,220,"D",2013
"Andrew Alberts",77,218,"D",2013
"Andrew Cogliano",70,177,"L",2013
"Andrew Desjardins",73,195,"L",2013
"Andrew Ebbett",69,174,"C",2013
"Andrew Ference",71,182,"D",2013
"Andrew Gordon",72,194,"R",2013
