"Name","Height","Weight","Season"
"Alex Auld",76,215,2010
"Alexander Pechurskiy",72,187,2010
"Alexander Salak",73,189,2010
"Andrew Raycroft",73,180,2010
"Antero Niittymaki",73,195,2010
"Anton Khudobin",71,195,2010
"Antti Niemi",74,215,2010
"Brent Johnson",75,199,2010
"Brian Boucher",74,200,2010
"Brian Elliott",74,209,2010
"Cam Ward",73,185,2010
"Carey Price",75,215,2010
"Chad Johnson",75,197,2010
"Chris Mason",72,198,2010
"Chris Osgood",70,180,2010
"Corey Crawford",74,216,2010
"Cory Schneider",75,200,2010
"Craig Anderson",74,185,2010
"Cristobal Huet",73,205,2010
"Curtis McElhinney",74,200,2010
"Dan Ellis",73,195,2010
"Devan Dubnyk",78,218,2010
"Dustin Tokarski",72,204,2010
"Dwayne Roloson",73,170,2010
"Erik Ersberg",72,165,2010
"Evgeni Nabokov",72,202,2010
"Henrik Lundqvist",73,180,2010
"Ilya Bryzgalov",75,213,2010
"Jaroslav Halak",71,183,2010
"Jason LaBarbera",75,232,2010
"Jean-Sebastien Giguere",73,202,2010
"Jeff Deslauriers",76,203,2010
"Jeremy Duchesne",72,201,2010
"Jhonas Enroth",70,175,2010
"Jimmy Howard",73,218,2010
"Joey MacDonald",72,197,2010
"Johan Backlund",74,198,2010
"Johan Hedberg",72,190,2010
"John Curry",71,185,2010
"Jonas Gustavsson",76,201,2010
"Jonas Hiller",74,191,2010
"Jonathan Bernier",72,184,2010
"Jonathan Quick",73,218,2010
"Jose Theodore",71,172,2010
"Josh Harding",74,194,2010
"Justin Peters",73,210,2010
"Kari Lehtonen",76,209,2010
"Manny Legace",70,200,2010
"Marc-Andre Fleury",74,180,2010
"Martin Biron",74,186,2010
"Martin Brodeur",74,220,2010
"Marty Turco",71,184,2010
"Mathieu Garon",73,198,2010
"Matt Climie",75,194,2010
"Matt Zaba",73,190,2010
"Michael Leighton",75,186,2010
"Michal Neuvirth",73,209,2010
"Miikka Kiprusoff",73,185,2010
"Mike Brodeur",74,185,2010
"Mike Smith",76,215,2010
"Niklas Backstrom",74,192,2010
"Nikolai Khabibulin",73,208,2010
"Ondrej Pavelec",75,212,2010
"Pascal Leclaire",74,202,2010
"Patrick Lalime",75,192,2010
"Pekka Rinne",77,217,2010
"Peter Budaj",73,196,2010
"Ray Emery",74,196,2010
"Rick DiPietro",72,185,2010
"Roberto Luongo",75,217,2010
"Ryan Miller",75,173,2010
"Scott Clemmensen",74,200,2010
"Semyon Varlamov",74,209,2010
"Steve Mason",76,210,2010
"Steve Valiquette",78,210,2010
"Thomas Greiss",73,227,2010
"Tim Thomas",71,201,2010
"Tomas Vokoun",73,210,2010
"Tuukka Rask",75,176,2010
"Ty Conklin",73,185,2010
"Vesa Toskala",70,198,2010
"Wade Dubielewicz",70,185,2010
"Yann Danis",71,180,2010
