"Name","Height","Weight","Season"
"Aaron Dell",72,200,2017
"Al Montoya",74,201,2017
"Alex Nedeljkovic",72,198,2017
"Alex Stalock",72,191,2017
"Anders Nilsson",78,229,2017
"Andrei Vasilevskiy",75,207,2017
"Andrew Hammond",74,215,2017
"Anthony Stolarz",78,210,2017
"Antoine Bibeau",75,213,2017
"Anton Forsberg",75,192,2017
"Anton Khudobin",71,195,2017
"Antti Niemi",74,215,2017
"Antti Raanta",72,195,2017
"Ben Bishop",79,225,2017
"Braden Holtby",74,211,2017
"Brian Elliott",74,209,2017
"Calvin Pickard",73,200,2017
"Cam Talbot",76,200,2017
"Cam Ward",73,185,2017
"Carey Price",75,215,2017
"Carter Hutton",73,202,2017
"Chad Johnson",75,197,2017
"Charlie Lindgren",73,182,2017
"Chris Driedger",76,205,2017
"Connor Hellebuyck",76,207,2017
"Corey Crawford",74,216,2017
"Cory Schneider",75,200,2017
"Craig Anderson",74,185,2017
"Curtis McElhinney",74,200,2017
"Darcy Kuemper",77,215,2017
"David Rittich",75,202,2017
"Devan Dubnyk",78,218,2017
"Dustin Tokarski",72,204,2017
"Eddie Lack",76,187,2017
"Eric Comrie",73,175,2017
"Frederik Andersen",76,230,2017
"Henrik Lundqvist",73,180,2017
"J-F Berube",73,177,2017
"Jack Campbell",74,197,2017
"Jacob Markstrom",78,196,2017
"Jake Allen",74,203,2017
"James Reimer",74,217,2017
"Jared Coreau",78,220,2017
"Jaroslav Halak",71,183,2017
"Jeff Zatkoff",74,186,2017
"Jeremy Smith",72,177,2017
"Jhonas Enroth",70,175,2017
"Jimmy Howard",73,218,2017
"John Gibson",75,223,2017
"Jon Gillies",78,223,2017
"Jonas Gustavsson",76,201,2017
"Jonathan Bernier",72,184,2017
"Jonathan Quick",73,218,2017
"Joonas Korpisalo",75,182,2017
"Jorge Alves",69,185,2017
"Justin Peters",73,210,2017
"Juuse Saros",71,180,2017
"Kari Lehtonen",76,209,2017
"Keith Kinkaid",75,195,2017
"Kristers Gudlevskis",75,214,2017
"Laurent Brossoit",75,204,2017
"Linus Ullmark",76,221,2017
"Louis Domingue",75,210,2017
"Magnus Hellberg",78,209,2017
"Malcolm Subban",74,200,2017
"Marc-Andre Fleury",74,180,2017
"Marek Langhamer",74,190,2017
"Marek Mazanec",76,187,2017
"Martin Jones",76,195,2017
"Matt Murray",76,178,2017
"Michael Hutchinson",75,202,2017
"Michael Leighton",75,186,2017
"Michal Neuvirth",73,209,2017
"Mike Condon",74,195,2017
"Mike Smith",76,215,2017
"Ondrej Pavelec",75,212,2017
"Pekka Rinne",77,217,2017
"Peter Budaj",73,196,2017
"Petr Mrazek",74,181,2017
"Pheonix Copley",76,200,2017
"Philipp Grubauer",73,191,2017
"Reto Berra",76,218,2017
"Richard Bachman",70,183,2017
"Roberto Luongo",75,217,2017
"Robin Lehner",76,245,2017
"Ryan Miller",75,173,2017
"Scott Darling",78,232,2017
"Semyon Varlamov",74,209,2017
"Sergei Bobrovsky",74,182,2017
"Spencer Martin",75,210,2017
"Steve Mason",76,210,2017
"Thomas Greiss",73,227,2017
"Tristan Jarry",74,194,2017
"Tuukka Rask",75,176,2017
"Zane McIntyre",74,206,2017
