"Season","Away","AwayScore","at","Home","HomeScore","OT","Notes","Date","GameType"
"20162017","Simon Fraser",1,"@","Alaska-Anchorage",6,"","","9/30/2016","EX"
"20162017","Alabama-Huntsville",2,"@","(20) Ferris State",1,"","","10/1/2016","WC"
"20162017","Army West Point",2,"@","Colgate",2,"OT","","10/1/2016","NC"
"20162017","(17) Michigan Tech",0,"@","(6) Minnesota-Duluth",6,"","","10/1/2016","NC"
"20162017","Windsor",2,"@","(14) Bowling Green",3,"","","10/1/2016","EX"
"20162017","Prince Edward Island",2,"@","(4) Boston University",10,"","","10/1/2016","EX"
"20162017","Québec à Trois-Rivières",4,"@","Clarkson",3,"","","10/1/2016","EX"
"20162017","QC Trois Rivieres",4,"@","Clarkson",3,"","","10/1/2016","EX"
"20162017","Mount Royal",1,"@","(3) Denver",4,"","","10/1/2016","EX"
"20162017","Carleton",5,"@","Holy Cross",7,"","","10/1/2016","EX"
"20162017","Carleton (ON)",5,"@","Holy Cross",7,"","","10/1/2016","EX"
"20162017","New Brunswick",3,"@","Merrimack",5,"","","10/1/2016","EX"
"20162017","Guelph",6,"@","Mercyhurst",2,"","","10/1/2016","EX"
"20162017","Regina",3,"@","(19) Minnesota State",5,"","","10/1/2016","EX"
"20162017","Waterloo",1,"@","Miami",8,"","","10/1/2016","EX"
"20162017","Western Ontario",2,"@","Niagara",1,"","","10/1/2016","EX"
"20162017","Acadia",1,"@","(15) Northeastern",3,"","","10/1/2016","EX"
"20162017","McGill",1,"@","(2) Quinnipiac",2,"","","10/1/2016","EX"
"20162017","Brock",0,"@","RIT",3,"","","10/1/2016","EX"
"20162017","Queen's",2,"@","Robert Morris",2,"OT","","10/1/2016","EX"
"20162017","St. Francis Xavier",4,"@","Connecticut",3,"","","10/1/2016","EX"
"20162017","Dalhousie",5,"@","Massachusetts",7,"","","10/1/2016","EX"
"20162017","Manitoba",1,"@","(1) North Dakota",5,"","","10/1/2016","EX"
"20162017","Concordia (QC)",3,"@","Vermont",2,"","","10/1/2016","EX"
"20162017","Victoria",1,"@","Wisconsin",10,"","","10/1/2016","EX"
"20162017","Toronto",4,"@","Western Michigan",3,"","","10/1/2016","EX"
"20162017","Alabama-Huntsville",4,"@","(20) Ferris State",3,"","","10/2/2016","WC"
"20162017","(17) Michigan Tech",3,"@","(6) Minnesota-Duluth",4,"","","10/2/2016","NC"
"20162017","Carleton",3,"@","(5) Boston College",4,"","","10/2/2016","EX"
"20162017","Carleton (ON)",3,"@","(5) Boston College",4,"","","10/2/2016","EX"
"20162017","Guelph",6,"@","Canisius",2,"","","10/2/2016","EX"
"20162017","Mount Royal",0,"@","Colorado College",3,"","","10/2/2016","EX"
"20162017","Laurentian",3,"@","Lake Superior",3,"OT","","10/2/2016","EX"
"20162017","St. Francis Xavier",6,"@","Maine",5,"","","10/2/2016","EX"
"20162017","Toronto",2,"@","Michigan State",2,"OT","","10/2/2016","EX"
"20162017","USA Under-18 Team",1,"@","(9) Notre Dame",5,"","","10/2/2016","EX"
"20162017","Victoria",1,"@","Northern Michigan",10,"","","10/2/2016","EX"
"20162017","Wilfrid Laurier",2,"@","Ohio State",9,"","","10/2/2016","EX"
"20162017","Acadia",0,"@","(10) Providence",3,"","","10/2/2016","EX"
"20162017","Queen's",0,"@","Penn State",8,"","","10/2/2016","EX"
"20162017","McGill",0,"@","Rensselaer",3,"","","10/2/2016","EX"
