Season,Away,AwayScore,at,Home,HomeScore,OT,Notes,Date,GameType,HomeWin,AwayWin,Tournament,ConfTournament,NCAA,HomeConference,AwayConference
20142015,North Dakota,3,@,Colorado College,1,,,10/17/2014,NT,Loss,Win,No,No,No,NCHC,NCHC
20142015,Nebraska-Omaha,5,@,Western Michigan,2,,,10/17/2014,NT,Loss,Win,No,No,No,NCHC,NCHC
20142015,Bowling Green,5,@,Alabama-Huntsville,0,,,10/17/2014,WC,Loss,Win,No,No,No,WCHA,WCHA
20142015,Northeastern,0,@,Colgate,3,,,10/17/2014,NC,Win,Loss,No,No,No,ECAC,Hockey East
20142015,Rensselaer,0,@,Denver,3,,,10/17/2014,NC,Win,Loss,No,No,No,NCHC,ECAC
20142015,Union,3,@,Maine,0,,,10/17/2014,NC,Loss,Win,No,No,No,Hockey East,ECAC
20142015,Massachusetts,3,@,Michigan State,5,,,10/17/2014,NC,Win,Loss,No,No,No,Big Ten,Hockey East
20142015,Lake Superior,3,@,Notre Dame,5,,,10/17/2014,NC,Win,Loss,No,No,No,Hockey East,WCHA
20142015,Wisconsin,0,vs.,Northern Michigan,2,,,10/17/2014,NC,Win,Loss,No,No,No,WCHA,Big Ten
20142015,Miami,5,@,Ohio State,1,,,10/17/2014,NC,Loss,Win,No,No,No,Big Ten,NCHC
20142015,Ferris State,3,@,St. Lawrence,2,OT,,10/17/2014,NC,Loss,Win,No,No,No,ECAC,WCHA
20142015,New Hampshire,5,@,Michigan,1,,,10/17/2014,NC,Loss,Win,No,No,No,Big Ten,Hockey East
20142015,Minnesota State,5,@,Minnesota-Duluth,4,OT,,10/17/2014,NC,Loss,Win,No,No,No,NCHC,WCHA
20142015,Quinnipiac,3,@,Massachusetts-Lowell,6,,,10/17/2014,NC,Win,Loss,No,No,No,Hockey East,ECAC
20142015,Clarkson,1,@,Vermont,2,,,10/17/2014,NC,Win,Loss,No,No,No,Hockey East,ECAC
20142015,Penn State,3,vs.,Alaska-Anchorage,3,OT,Alaska Goal Rush,10/17/2014,NC,Tie,Tie,Yes,No,No,WCHA,Big Ten
20142015,Air Force,3,@,Alaska,4,,Alaska Goal Rush,10/17/2014,NC,Win,Loss,Yes,No,No,WCHA,Atlantic Hockey
20142015,Canisius,0,@,Army,3,,,10/18/2014,AH,Win,Loss,No,No,No,Atlantic Hockey,Atlantic Hockey
20142015,Sacred Heart,6,@,Bentley,3,,,10/18/2014,AH,Loss,Win,No,No,No,Atlantic Hockey,Atlantic Hockey
20142015,American International,2,@,Holy Cross,3,,,10/18/2014,AH,Win,Loss,No,No,No,Atlantic Hockey,Atlantic Hockey
20142015,Robert Morris,4,@,Niagara,1,,,10/18/2014,AH,Loss,Win,No,No,No,Atlantic Hockey,Atlantic Hockey
20142015,Connecticut,1,@,Merrimack,2,OT,,10/18/2014,HE,Win,Loss,No,No,No,Hockey East,Hockey East
20142015,North Dakota,7,@,Colorado College,2,,,10/18/2014,NT,Loss,Win,No,No,No,NCHC,NCHC
20142015,Nebraska-Omaha,3,@,Western Michigan,0,,,10/18/2014,NT,Loss,Win,No,No,No,NCHC,NCHC
20142015,Bowling Green,4,@,Alabama-Huntsville,1,,,10/18/2014,WC,Loss,Win,No,No,No,WCHA,WCHA
20142015,Vermont,3,@,Clarkson,0,,,10/18/2014,NC,Loss,Win,No,No,No,ECAC,Hockey East
20142015,Northeastern,0,@,Colgate,3,,,10/18/2014,NC,Win,Loss,No,No,No,ECAC,Hockey East
20142015,Rensselaer,1,@,Denver,4,,,10/18/2014,NC,Win,Loss,No,No,No,NCHC,ECAC
20142015,Union,5,@,Maine,2,,,10/18/2014,NC,Loss,Win,No,No,No,Hockey East,ECAC
20142015,Minnesota-Duluth,6,@,Minnesota State,2,,,10/18/2014,NC,Loss,Win,No,No,No,WCHA,NCHC
20142015,Massachusetts,4,@,Michigan State,3,,,10/18/2014,NC,Loss,Win,No,No,No,Big Ten,Hockey East
20142015,Ohio State,1,@,Miami,2,,,10/18/2014,NC,Win,Loss,No,No,No,NCHC,Big Ten
20142015,Lake Superior,1,@,Notre Dame,5,,,10/18/2014,NC,Win,Loss,No,No,No,Hockey East,WCHA
20142015,Wisconsin,1,vs.,Northern Michigan,4,,,10/18/2014,NC,Win,Loss,No,No,No,WCHA,Big Ten
20142015,Massachusetts-Lowell,3,@,Quinnipiac,3,OT,,10/18/2014,NC,Tie,Tie,No,No,No,ECAC,Hockey East
20142015,Boston College,6,@,RIT,2,,,10/18/2014,NC,Loss,Win,No,No,No,Atlantic Hockey,Hockey East
20142015,Ferris State,0,@,St. Lawrence,2,,,10/18/2014,NC,Win,Loss,No,No,No,ECAC,WCHA
20142015,New Hampshire,1,@,Michigan,2,,,10/18/2014,NC,Win,Loss,No,No,No,Big Ten,Hockey East
20142015,Air Force,1,vs.,Alaska-Anchorage,4,,Alaska Goal Rush,10/18/2014,NC,Win,Loss,Yes,No,No,WCHA,Atlantic Hockey
20142015,Penn State,3,@,Alaska,4,,Alaska Goal Rush,10/18/2014,NC,Win,Loss,Yes,No,No,WCHA,Big Ten
20142015,Connecticut,4,@,Quinnipiac,1,,,10/21/2014,NC,Loss,Win,No,No,No,ECAC,Hockey East
20142015,RIT,5,@,Air Force,1,,,10/24/2014,AH,Loss,Win,No,No,No,Atlantic Hockey,Atlantic Hockey
20142015,Canisius,3,@,American International,1,,,10/24/2014,AH,Loss,Win,No,No,No,Atlantic Hockey,Atlantic Hockey
20142015,Robert Morris,3,@,Army,0,,,10/24/2014,AH,Loss,Win,No,No,No,Atlantic Hockey,Atlantic Hockey
20142015,Massachusetts,3,@,Northeastern,2,,,10/24/2014,HE,Loss,Win,No,No,No,Hockey East,Hockey East
20142015,Denver,3,@,Minnesota-Duluth,1,,,10/24/2014,NT,Loss,Win,No,No,No,NCHC,NCHC
20142015,Michigan Tech,1,@,Ferris State,0,,,10/24/2014,WC,Loss,Win,No,No,No,WCHA,WCHA
20142015,Northern Michigan,4,@,Lake Superior,2,,,10/24/2014,WC,Loss,Win,No,No,No,WCHA,WCHA
20142015,Alabama-Huntsville,1,@,Minnesota State,3,,,10/24/2014,WC,Win,Loss,No,No,No,WCHA,WCHA
20142015,Colorado College,2,@,Boston College,6,,,10/24/2014,NC,Win,Loss,No,No,No,Hockey East,NCHC
20142015,Michigan State,0,@,Boston University,1,,,10/24/2014,NC,Win,Loss,No,No,No,Hockey East,Big Ten
20142015,Bowling Green,2,@,Clarkson,2,OT,,10/24/2014,NC,Tie,Tie,No,No,No,ECAC,WCHA
20142015,Alaska-Anchorage,1,@,Maine,3,,,10/24/2014,NC,Win,Loss,No,No,No,Hockey East,WCHA
20142015,Merrimack,5,@,Mercyhurst,4,OT,,10/24/2014,NC,Loss,Win,No,No,No,Atlantic Hockey,Hockey East
20142015,St. Lawrence,5,@,Miami,4,,,10/24/2014,NC,Loss,Win,No,No,No,NCHC,ECAC
20142015,Niagara,3,@,Notre Dame,6,,,10/24/2014,NC,Win,Loss,No,No,No,Hockey East,Atlantic Hockey
20142015,Holy Cross,1,@,Penn State,3,,,10/24/2014,NC,Win,Loss,No,No,No,Big Ten,Atlantic Hockey
20142015,Bentley,5,@,Rensselaer,2,,,10/24/2014,NC,Loss,Win,No,No,No,ECAC,Atlantic Hockey
20142015,Colgate,5,@,Sacred Heart,2,,,10/24/2014,NC,Loss,Win,No,No,No,Atlantic Hockey,ECAC
20142015,St. Cloud State,1,@,Union,5,,,10/24/2014,NC,Win,Loss,No,No,No,ECAC,NCHC
20142015,Michigan,8,@,Massachusetts-Lowell,4,,,10/24/2014,NC,Loss,Win,No,No,No,Hockey East,Big Ten
20142015,Bemidji State,2,@,Minnesota,5,,,10/24/2014,NC,Win,Loss,No,No,No,Big Ten,WCHA
20142015,Providence,1,@,North Dakota,6,,,10/24/2014,NC,Win,Loss,No,No,No,NCHC,Hockey East
20142015,Alaska,1,@,Western Michigan,0,,,10/24/2014,NC,Loss,Win,No,No,No,NCHC,WCHA
20142015,RIT,3,@,Air Force,4,OT,,10/25/2014,AH,Win,Loss,No,No,No,Atlantic Hockey,Atlantic Hockey
20142015,Canisius,4,@,American International,2,,,10/25/2014,AH,Loss,Win,No,No,No,Atlantic Hockey,Atlantic Hockey
20142015,Robert Morris,3,@,Army,3,OT,,10/25/2014,AH,Tie,Tie,No,No,No,Atlantic Hockey,Atlantic Hockey
