"Season","Away","AwayScore","at","Home","HomeScore","OT","Notes","Date","GameType","HomeWin","AwayWin","Tournament","ConfTournament","NCAA","HomeConference","AwayConference"
20062007,"Colorado College",2,"@","Air Force",1,"","",2006-10-06,"NC","Loss","Win","No","No","No","Atlantic Hockey","WCHA"
20062007,"Niagara",3,"@","Clarkson",7,"","",2006-10-06,"NC","Win","Loss","No","No","No","ECAC","College Hockey America"
20062007,"Union",2,"@","Ferris State",0,"","",2006-10-06,"NC","Loss","Win","No","No","No","CCHA","ECAC"
20062007,"Minnesota",1,"vs.","Maine",3,"","",2006-10-06,"NC","Win","Loss","No","No","No","Hockey East","WCHA"
20062007,"Wisconsin",3,"@","Northern Michigan",0,"","",2006-10-06,"NC","Loss","Win","No","No","No","CCHA","WCHA"
20062007,"RIT",3,"@","St. Lawrence",4,"","",2006-10-06,"NC","Win","Loss","No","No","No","ECAC","Atlantic Hockey"
20062007,"Quinnipiac",1,"@","North Dakota",6,"","",2006-10-06,"NC","Win","Loss","No","No","No","WCHA","ECAC"
20062007,"Vermont",6,"vs.","Colgate",0,"","IceBreaker",2006-10-06,"NC","Loss","Win","Yes","No","No","ECAC","Hockey East"
20062007,"Denver",2,"@","Miami",5,"","IceBreaker",2006-10-06,"NC","Win","Loss","Yes","No","No","CCHA","WCHA"
20062007,"Robert Morris",4,"@","Canisius",2,"","",2006-10-07,"NC","Loss","Win","No","No","No","Atlantic Hockey","College Hockey America"
20062007,"Alabama-Huntsville",1,"@","Colorado College",8,"","",2006-10-07,"NC","Win","Loss","No","No","No","WCHA","College Hockey America"
20062007,"RIT",2,"@","Clarkson",4,"","",2006-10-07,"NC","Win","Loss","No","No","No","ECAC","Atlantic Hockey"
20062007,"Union",6,"@","Ferris State",5,"","",2006-10-07,"NC","Loss","Win","No","No","No","CCHA","ECAC"
20062007,"Wisconsin",3,"@","Northern Michigan",3,"OT","",2006-10-07,"NC","Tie","Tie","No","No","No","CCHA","WCHA"
20062007,"Niagara",4,"@","St. Lawrence",3,"","",2006-10-07,"NC","Loss","Win","No","No","No","ECAC","College Hockey America"
20062007,"Quinnipiac",2,"@","North Dakota",4,"","",2006-10-07,"NC","Win","Loss","No","No","No","WCHA","ECAC"
20062007,"Colgate",2,"vs.","Denver",3,"","IceBreaker",2006-10-07,"NC","Win","Loss","Yes","No","No","WCHA","ECAC"
20062007,"Vermont",4,"@","Miami",1,"","IceBreaker",2006-10-07,"NC","Loss","Win","Yes","No","No","CCHA","Hockey East"
20062007,"Alabama-Huntsville",3,"@","Air Force",4,"","",2006-10-08,"NC","Win","Loss","No","No","No","Atlantic Hockey","College Hockey America"
20062007,"Northeastern",2,"@","Boston College",5,"","",2006-10-10,"HE","Win","Loss","No","No","No","Hockey East","Hockey East"
20062007,"Minnesota State",1,"@","Notre Dame",6,"","",2006-10-12,"NC","Win","Loss","No","No","No","CCHA","WCHA"
20062007,"Colgate",2,"vs.","Niagara",1,"","",2006-10-12,"NC","Loss","Win","No","No","No","College Hockey America","ECAC"
20062007,"American International",0,"@","Army",2,"","",2006-10-13,"AH","Win","Loss","No","No","No","Atlantic Hockey","Atlantic Hockey"
20062007,"Western Michigan",1,"@","Michigan State",4,"","",2006-10-13,"CC","Win","Loss","No","No","No","CCHA","CCHA"
20062007,"Lake Superior",0,"@","Ohio State",1,"","",2006-10-13,"CC","Win","Loss","No","No","No","CCHA","CCHA"
20062007,"Denver",4,"@","St. Cloud State",3,"OT","",2006-10-13,"WC","Loss","Win","No","No","No","WCHA","WCHA"
20062007,"North Dakota",3,"@","Wisconsin",2,"OT","",2006-10-13,"WC","Loss","Win","No","No","No","WCHA","WCHA"
20062007,"Connecticut",1,"@","Bowling Green",2,"OT","",2006-10-13,"NC","Win","Loss","No","No","No","CCHA","Atlantic Hockey"
20062007,"Mercyhurst",1,"@","Ferris State",7,"","",2006-10-13,"NC","Win","Loss","No","No","No","CCHA","Atlantic Hockey"
20062007,"Bemidji State",1,"@","Maine",7,"","",2006-10-13,"NC","Win","Loss","No","No","No","Hockey East","College Hockey America"
20062007,"Northern Michigan",1,"@","Michigan Tech",2,"","",2006-10-13,"NC","Win","Loss","No","No","No","WCHA","CCHA"
20062007,"Canisius",1,"@","Miami",5,"","",2006-10-13,"NC","Win","Loss","No","No","No","CCHA","Atlantic Hockey"
20062007,"Clarkson",6,"@","Providence",1,"","",2006-10-13,"NC","Loss","Win","No","No","No","Hockey East","ECAC"
20062007,"Robert Morris",1,"@","Quinnipiac",3,"","",2006-10-13,"NC","Win","Loss","No","No","No","ECAC","College Hockey America"
20062007,"Air Force",0,"@","Alaska",3,"","",2006-10-13,"NC","Win","Loss","No","No","No","CCHA","Atlantic Hockey"
20062007,"Alabama-Huntsville",1,"@","Michigan",8,"","",2006-10-13,"NC","Win","Loss","No","No","No","CCHA","College Hockey America"
20062007,"Sacred Heart",2,"@","Massachusetts",3,"","",2006-10-13,"NC","Win","Loss","No","No","No","Hockey East","Atlantic Hockey"
20062007,"Massachusetts-Lowell",3,"@","Minnesota-Duluth",3,"OT","",2006-10-13,"NC","Tie","Tie","No","No","No","WCHA","Hockey East"
20062007,"Wayne State",1,"@","Minnesota",7,"","",2006-10-13,"NC","Win","Loss","No","No","No","WCHA","College Hockey America"
20062007,"Nebraska-Omaha",2,"vs.","Colorado College",2,"OT","Nye Frontier Classic",2006-10-13,"NC","Tie","Tie","Yes","No","No","WCHA","CCHA"
20062007,"Merrimack",2,"@","Alaska-Anchorage",6,"","Nye Frontier Classic",2006-10-13,"NC","Win","Loss","Yes","No","No","WCHA","Hockey East"
