"Season","Away","AwayScore","at","Home","HomeScore","OT","Notes","Date","GameType"
"20092010","So. Albert IT",0,"vs.","Alaska-Anchorage",9,"","","10/2/2009","EX"
"20092010","Wilfrid Laurier",3,"@","Bowling Green",7,"","","10/3/2009","EX"
"20092010","St. Francis Xavier",2,"@","(1) Boston University",2,"OT","","10/3/2009","EX"
"20092010","Calgary",2,"@","Colorado College",4,"","","10/3/2009","EX"
"20092010","Toronto",1,"@","Clarkson",6,"","","10/3/2009","EX"
"20092010","Waterloo",3,"@","Colgate",6,"","","10/3/2009","EX"
"20092010","Nipissing",1,"@","Lake Superior",7,"","","10/3/2009","EX"
"20092010","Lethbridge",3,"@","Minnesota State",4,"OT","","10/3/2009","EX"
"20092010","Ryerson",1,"@","Michigan Tech",3,"","","10/3/2009","EX"
"20092010","Windsor",2,"@","(13) Miami",6,"","","10/3/2009","EX"
"20092010","York",2,"@","Niagara",5,"","","10/3/2009","EX"
"20092010","St. Thomas (NB)",5,"@","(6) Northeastern",7,"","","10/3/2009","EX"
"20092010","PEI",3,"@","Rensselaer",3,"OT","","10/3/2009","EX"
"20092010","So. Alberta IT",1,"@","Alaska",6,"","","10/3/2009","EX"
"20092010","Royal Military Col",2,"@","Connecticut",7,"","","10/3/2009","EX"
"20092010","US Under-18 Team",2,"@","(3) Michigan",4,"","","10/3/2009","EX"
"20092010","New Brunswick",3,"@","Massachusetts",2,"","","10/3/2009","EX"
"20092010","British Columbia",0,"@","(8) Minnesota-Duluth",4,"","","10/3/2009","EX"
"20092010","Acadia",1,"@","(12) New Hampshire",8,"","","10/3/2009","EX"
"20092010","St. Francis Xavier",1,"@","(20) Boston College",4,"","","10/4/2009","EX"
"20092010","Calgary",2,"@","(4) Denver",3,"","","10/4/2009","EX"
"20092010","Wilfrid Laurier",3,"@","Ferris State",1,"","","10/4/2009","EX"
"20092010","Royal Military Col",3,"@","Holy Cross",12,"","","10/4/2009","EX"
"20092010","Ontario IT",2,"@","Mercyhurst",3,"","","10/4/2009","EX"
"20092010","Ryerson",2,"@","Northern Michigan",11,"","","10/4/2009","EX"
"20092010","Western Ontario",3,"@","(14) Ohio State",2,"OT","","10/4/2009","EX"
"20092010","PEI",3,"@","Quinnipiac",4,"","","10/4/2009","EX"
"20092010","York",2,"@","RIT",3,"","","10/4/2009","EX"
"20092010","Lethbridge",3,"@","St. Cloud State",4,"","","10/4/2009","EX"
"20092010","St. Thomas (PQ)",5,"@","Sacred Heart",3,"","","10/4/2009","EX"
"20092010","Toronto",1,"@","(15) St. Lawrence",2,"","","10/4/2009","EX"
"20092010","Windsor",2,"@","(3) Michigan",6,"","","10/4/2009","EX"
"20092010","Acadia",0,"@","(16) Massachusetts-Lowell",3,"","","10/4/2009","EX"
"20092010","British Columbia",1,"@","(19) Minnesota",6,"","","10/4/2009","EX"
"20092010","Manitoba",1,"@","(7) North Dakota",7,"","","10/4/2009","EX"
"20092010","New Brunswick",3,"@","(11) Vermont",2,"OT","","10/4/2009","EX"
"20092010","Calgary",1,"@","(19) Air Force",3,"","","10/5/2009","EX"
"20092010","Western Ontario",2,"@","Michigan State",5,"","","10/5/2009","EX"
"20092010","Lethbridge",1,"@","Nebraska-Omaha",2,"","","10/5/2009","EX"
"20092010","Quinnipiac",4,"@","(17) Ohio State",2,"","","10/8/2009","NC"
"20092010","Rensselaer",2,"@","Massachusetts",5,"","","10/8/2009","NC"
"20092010","(19) Air Force",1,"@","Bemidji State",3,"","","10/9/2009","NC"
"20092010","Ferris State",5,"@","Canisius",1,"","","10/9/2009","NC"
"20092010","(20) Northeastern",2,"@","Colorado College",4,"","","10/9/2009","NC"
"20092010","(14) Vermont",4,"@","(1) Denver",5,"","","10/9/2009","NC"
"20092010","Bowling Green",2,"@","Minnesota State",3,"","","10/9/2009","NC"
"20092010","Clarkson",1,"@","Michigan State",6,"","","10/9/2009","NC"
"20092010","(15) St. Cloud State",2,"@","(4) Miami",3,"OT","","10/9/2009","NC"
"20092010","Alabama-Huntsville",3,"@","(5) Notre Dame",2,"","","10/9/2009","NC"
"20092010","Colgate",4,"@","Niagara",4,"OT","","10/9/2009","NC"
"20092010","Quinnipiac",3,"@","(17) Ohio State",1,"","","10/9/2009","NC"
"20092010","Maine",1,"@","Union",4,"","","10/9/2009","NC"
"20092010","Merrimack",2,"@","(6) North Dakota",5,"","","10/9/2009","NC"
"20092010","(11) Massachusetts-Lowell",3,"vs.","St. Lawrence",0,"","IceBreaker","10/9/2009","NC"
"20092010","Army West Point",4,"@","Nebraska-Omaha",6,"","IceBreaker","10/9/2009","NC"
"20092010","Northern Michigan",3,"@","Michigan Tech",5,"","Superior Showcase","10/9/2009","NC"
"20092010","Lake Superior",3,"@","(18) Minnesota-Duluth",4,"","Superior Showcase","10/9/2009","NC"
"20092010","Mercyhurst",3,"@","Alaska-Anchorage",5,"","Kendall Hockey Classic","10/9/2009","NC"
"20092010","(3) Michigan",0,"vs.","Alaska",2,"","Kendall Hockey Classic","10/9/2009","NC"
"20092010","US Under-18 Team",3,"@","(12) Boston College",6,"","","10/9/2009","EX"
"20092010","New Brunswick",6,"@","Providence",3,"","","10/9/2009","EX"
"20092010","Queens",4,"@","Robert Morris",8,"","","10/9/2009","EX"
"20092010","(19) Air Force",3,"@","Bemidji State",7,"","","10/10/2009","NC"
"20092010","Ferris State",0,"@","Canisius",1,"","","10/10/2009","NC"
"20092010","(20) Northeastern",4,"@","Colorado College",3,"","","10/10/2009","NC"
"20092010","(14) Vermont",6,"@","(1) Denver",4,"","","10/10/2009","NC"
"20092010","Bowling Green",1,"@","Minnesota State",4,"","","10/10/2009","NC"
"20092010","Clarkson",3,"@","Michigan State",4,"","","10/10/2009","NC"
"20092010","(15) St. Cloud State",0,"@","(4) Miami",2,"","","10/10/2009","NC"
"20092010","Alabama-Huntsville",1,"@","(5) Notre Dame",3,"","","10/10/2009","NC"
"20092010","Holy Cross",1,"@","Providence",2,"","","10/10/2009","NC"
"20092010","Colgate",3,"@","RIT",2,"","","10/10/2009","NC"
"20092010","(16) New Hampshire",1,"@","Rensselaer",3,"","","10/10/2009","NC"
"20092010","Maine",3,"@","Union",6,"","","10/10/2009","NC"
"20092010","Merrimack",2,"@","(6) North Dakota",3,"","","10/10/2009","NC"
"20092010","St. Lawrence",5,"vs.","Army West Point",2,"","IceBreaker","10/10/2009","NC"
"20092010","(11) Massachusetts-Lowell",3,"@","Nebraska-Omaha",4,"","IceBreaker","10/10/2009","NC"
"20092010","(3) Michigan",6,"@","Alaska-Anchorage",1,"","Kendall Hockey Classic","10/10/2009","NC"
"20092010","Mercyhurst",1,"vs.","Alaska",5,"","Kendall Hockey Classic","10/10/2009","NC"
"20092010","US Under-18 Team",2,"@","(2) Boston University",3,"","","10/10/2009","EX"
"20092010","Queens",2,"@","Robert Morris",3,"","","10/10/2009","EX"
"20092010","Lake Superior",3,"@","Michigan Tech",1,"","Superior Showcase","10/11/2009","NC"
"20092010","Northern Michigan",3,"@","(18) Minnesota-Duluth",1,"","Superior Showcase","10/11/2009","NC"
"20092010","Providence",3,"@","(7) Notre Dame",2,"","","10/15/2009","NC"
"20092010","(3) Denver",2,"@","Ohio State",0,"","","10/15/2009","NC"
"20092010","(2) Boston University",2,"@","Massachusetts",3,"","","10/16/2009","HE"
"20092010","Minnesota State",2,"@","Minnesota-Duluth",5,"","","10/16/2009","WC"
"20092010","(9) Minnesota",0,"@","(4) North Dakota",4,"","","10/16/2009","WC"
"20092010","Colorado College",3,"@","(13) Wisconsin",2,"","","10/16/2009","WC"
"20092010","Alabama-Huntsville",4,"@","Air Force",2,"","","10/16/2009","NC"
"20092010","Niagara",3,"@","Clarkson",4,"OT","","10/16/2009","NC"
"20092010","(16) Nebraska-Omaha",1,"@","Colgate",1,"OT","","10/16/2009","NC"
"20092010","Connecticut",1,"@","Ferris State",2,"","","10/16/2009","NC"
"20092010","Canisius",4,"@","Lake Superior",5,"","","10/16/2009","NC"
"20092010","Holy Cross",1,"@","Merrimack",3,"","","10/16/2009","NC"
"20092010","Michigan State",5,"@","Maine",3,"","","10/16/2009","NC"
