"Game","Season","Team","Goals","Conference","Status","Win","Opponent","OpponentGoals","OpponentConference"
1,"20152016","Mercyhurst",2,"Atlantic Hockey","Home","Loss","Colgate",5,"ECAC"
1,"20152016","Colgate",5,"ECAC","Away","Win","Mercyhurst",2,"Atlantic Hockey"
2,"20152016","Mercyhurst",9,"Atlantic Hockey","Home","Win","Colgate",7,"ECAC"
2,"20152016","Colgate",7,"ECAC","Away","Loss","Mercyhurst",9,"Atlantic Hockey"
3,"20152016","Bentley",1,"Atlantic Hockey","Home","Loss","Mercyhurst",3,"Atlantic Hockey"
3,"20152016","Mercyhurst",3,"Atlantic Hockey","Away","Win","Bentley",1,"Atlantic Hockey"
4,"20152016","Air Force",5,"Atlantic Hockey","Home","Win","Denver",4,"NCHC"
4,"20152016","Denver",4,"NCHC","Away","Loss","Air Force",5,"Atlantic Hockey"
5,"20152016","Army",1,"Atlantic Hockey","Home","Loss","Boston College",5,"Hockey East"
5,"20152016","Boston College",5,"Hockey East","Away","Win","Army",1,"Atlantic Hockey"
6,"20152016","Colorado College",3,"NCHC","Home","Loss","Massachusetts",6,"Hockey East"
6,"20152016","Massachusetts",6,"Hockey East","Away","Win","Colorado College",3,"NCHC"
7,"20152016","Clarkson",6,"ECAC","Home","Win","RIT",0,"Atlantic Hockey"
7,"20152016","RIT",0,"Atlantic Hockey","Away","Loss","Clarkson",6,"ECAC"
8,"20152016","Holy Cross",3,"Atlantic Hockey","Home","Loss","Quinnipiac",5,"ECAC"
8,"20152016","Quinnipiac",5,"ECAC","Away","Win","Holy Cross",3,"Atlantic Hockey"
9,"20152016","Minnesota State",2,"WCHA","Home","Loss","Nebraska-Omaha",3,"NCHC"
9,"20152016","Nebraska-Omaha",3,"NCHC","Away","Win","Minnesota State",2,"WCHA"
10,"20152016","Miami",3,"NCHC","Home","Loss","Providence",7,"Hockey East"
10,"20152016","Providence",7,"Hockey East","Away","Win","Miami",3,"NCHC"
11,"20152016","Ohio State",3,"Big Ten","Home","Loss","Bowling Green",6,"WCHA"
11,"20152016","Bowling Green",6,"WCHA","Away","Win","Ohio State",3,"Big Ten"
12,"20152016","St. Lawrence",5,"ECAC","Home","Win","Niagara",2,"Atlantic Hockey"
12,"20152016","Niagara",2,"Atlantic Hockey","Away","Loss","St. Lawrence",5,"ECAC"
13,"20152016","Alabama-Huntsville",2,"WCHA","Home","Loss","Connecticut",5,"Hockey East"
13,"20152016","Connecticut",5,"Hockey East","Away","Win","Alabama-Huntsville",2,"WCHA"
14,"20152016","Union",1,"ECAC","Home","Tie","Sacred Heart",1,"Atlantic Hockey"
14,"20152016","Sacred Heart",1,"Atlantic Hockey","Away","Tie","Union",1,"ECAC"
15,"20152016","Massachusetts-Lowell",3,"Hockey East","Home","Win","Rensselaer",0,"ECAC"
15,"20152016","Rensselaer",0,"ECAC","Away","Loss","Massachusetts-Lowell",3,"Hockey East"
16,"20152016","Wisconsin",2,"Big Ten","Home","Tie","Northern Michigan",2,"WCHA"
16,"20152016","Northern Michigan",2,"WCHA","Away","Tie","Wisconsin",2,"Big Ten"
17,"20152016","Western Michigan",3,"NCHC","Home","Win","Ferris State",2,"WCHA"
17,"20152016","Ferris State",2,"WCHA","Away","Loss","Western Michigan",3,"NCHC"
18,"20152016","Maine",3,"Hockey East","Neutral","Tie","Michigan State",3,"Big Ten"
18,"20152016","Michigan State",3,"Big Ten","Neutral","Tie","Maine",3,"Hockey East"
19,"20152016","North Dakota",5,"NCHC","Neutral","Win","Lake Superior",2,"WCHA"
19,"20152016","Lake Superior",2,"WCHA","Neutral","Loss","North Dakota",5,"NCHC"
20,"20152016","Alaska-Anchorage",3,"WCHA","Home","Win","Arizona State",2,"Independent"
20,"20152016","Arizona State",2,"Independent","Away","Loss","Alaska-Anchorage",3,"WCHA"
21,"20152016","Alaska",0,"WCHA","Neutral","Loss","St. Cloud State",3,"NCHC"
21,"20152016","St. Cloud State",3,"NCHC","Neutral","Win","Alaska",0,"WCHA"
22,"20152016","Bentley",2,"Atlantic Hockey","Home","Loss","Mercyhurst",3,"Atlantic Hockey"
22,"20152016","Mercyhurst",3,"Atlantic Hockey","Away","Win","Bentley",2,"Atlantic Hockey"
23,"20152016","Bowling Green",2,"WCHA","Home","Win","Ohio State",0,"Big Ten"
23,"20152016","Ohio State",0,"Big Ten","Away","Loss","Bowling Green",2,"WCHA"
24,"20152016","Bemidji State",3,"WCHA","Home","Win","Minnesota-Duluth",2,"NCHC"
24,"20152016","Minnesota-Duluth",2,"NCHC","Away","Loss","Bemidji State",3,"WCHA"
25,"20152016","Canisius",1,"Atlantic Hockey","Home","Loss","Penn State",6,"Big Ten"
25,"20152016","Penn State",6,"Big Ten","Away","Win","Canisius",1,"Atlantic Hockey"
26,"20152016","Colorado College",3,"NCHC","Home","Loss","Massachusetts",4,"Hockey East"
26,"20152016","Massachusetts",4,"Hockey East","Away","Win","Colorado College",3,"NCHC"
27,"20152016","Clarkson",4,"ECAC","Home","Win","Niagara",1,"Atlantic Hockey"
27,"20152016","Niagara",1,"Atlantic Hockey","Away","Loss","Clarkson",4,"ECAC"
28,"20152016","Denver",3,"NCHC","Home","Win","Air Force",1,"Atlantic Hockey"
28,"20152016","Air Force",1,"Atlantic Hockey","Away","Loss","Denver",3,"NCHC"
29,"20152016","Ferris State",1,"WCHA","Home","Tie","Western Michigan",1,"NCHC"
29,"20152016","Western Michigan",1,"NCHC","Away","Tie","Ferris State",1,"WCHA"
30,"20152016","Minnesota State",0,"WCHA","Home","Loss","Nebraska-Omaha",2,"NCHC"
30,"20152016","Nebraska-Omaha",2,"NCHC","Away","Win","Minnesota State",0,"WCHA"
31,"20152016","Miami",2,"NCHC","Home","Tie","Providence",2,"Hockey East"
31,"20152016","Providence",2,"Hockey East","Away","Tie","Miami",2,"NCHC"
32,"20152016","Northeastern",2,"Hockey East","Home","Win","Colgate",1,"ECAC"
32,"20152016","Colgate",1,"ECAC","Away","Loss","Northeastern",2,"Hockey East"
33,"20152016","Quinnipiac",4,"ECAC","Home","Win","Holy Cross",2,"Atlantic Hockey"
33,"20152016","Holy Cross",2,"Atlantic Hockey","Away","Loss","Quinnipiac",4,"ECAC"
34,"20152016","St. Lawrence",5,"ECAC","Home","Win","RIT",1,"Atlantic Hockey"
34,"20152016","RIT",1,"Atlantic Hockey","Away","Loss","St. Lawrence",5,"ECAC"
35,"20152016","Alabama-Huntsville",5,"WCHA","Home","Win","Connecticut",2,"Hockey East"
35,"20152016","Connecticut",2,"Hockey East","Away","Loss","Alabama-Huntsville",5,"WCHA"
36,"20152016","Union",5,"ECAC","Home","Win","Boston University",3,"Hockey East"
36,"20152016","Boston University",3,"Hockey East","Away","Loss","Union",5,"ECAC"
37,"20152016","Minnesota",0,"Big Ten","Home","Loss","Vermont",3,"Hockey East"
37,"20152016","Vermont",3,"Hockey East","Away","Win","Minnesota",0,"Big Ten"
38,"20152016","New Hampshire",7,"Hockey East","Home","Win","American International",3,"Atlantic Hockey"
38,"20152016","American International",3,"Atlantic Hockey","Away","Loss","New Hampshire",7,"Hockey East"
39,"20152016","Wisconsin",3,"Big Ten","Home","Tie","Northern Michigan",3,"WCHA"
39,"20152016","Northern Michigan",3,"WCHA","Away","Tie","Wisconsin",3,"Big Ten"
40,"20152016","Lake Superior",1,"WCHA","Neutral","Loss","Michigan State",4,"Big Ten"
40,"20152016","Michigan State",4,"Big Ten","Neutral","Win","Lake Superior",1,"WCHA"
41,"20152016","Maine",1,"Hockey East","Neutral","Tie","North Dakota",1,"NCHC"
41,"20152016","North Dakota",1,"NCHC","Neutral","Tie","Maine",1,"Hockey East"
42,"20152016","Alaska-Anchorage",2,"WCHA","Home","Loss","St. Cloud State",6,"NCHC"
42,"20152016","St. Cloud State",6,"NCHC","Away","Win","Alaska-Anchorage",2,"WCHA"
43,"20152016","Alaska",1,"WCHA","Neutral","Loss","Arizona State",2,"Independent"
43,"20152016","Arizona State",2,"Independent","Neutral","Win","Alaska",1,"WCHA"
44,"20152016","Rensselaer",2,"ECAC","Home","Win","Boston College",1,"Hockey East"
44,"20152016","Boston College",1,"Hockey East","Away","Loss","Rensselaer",2,"ECAC"
45,"20152016","Western Michigan",4,"NCHC","Home","Win","Bowling Green",1,"WCHA"
45,"20152016","Bowling Green",1,"WCHA","Away","Loss","Western Michigan",4,"NCHC"
46,"20152016","Quinnipiac",5,"ECAC","Home","Win","Arizona State",0,"Independent"
46,"20152016","Arizona State",0,"Independent","Away","Loss","Quinnipiac",5,"ECAC"
47,"20152016","Robert Morris",5,"Atlantic Hockey","Home","Win","Air Force",1,"Atlantic Hockey"
47,"20152016","Air Force",1,"Atlantic Hockey","Away","Loss","Robert Morris",5,"Atlantic Hockey"
48,"20152016","Ferris State",1,"WCHA","Home","Loss","Michigan Tech",5,"WCHA"
48,"20152016","Michigan Tech",5,"WCHA","Away","Win","Ferris State",1,"WCHA"
49,"20152016","Boston College",6,"Hockey East","Home","Win","Wisconsin",0,"Big Ten"
49,"20152016","Wisconsin",0,"Big Ten","Away","Loss","Boston College",6,"Hockey East"
50,"20152016","Bemidji State",4,"WCHA","Home","Tie","North Dakota",4,"NCHC"
50,"20152016","North Dakota",4,"NCHC","Away","Tie","Bemidji State",4,"WCHA"
51,"20152016","Canisius",2,"Atlantic Hockey","Home","Loss","Bowling Green",4,"WCHA"
51,"20152016","Bowling Green",4,"WCHA","Away","Win","Canisius",2,"Atlantic Hockey"
