"Game","Season","Team","Goals","Conference","Status","Win","Opponent","OpponentGoals","OpponentConference"
58,"20162017","Colorado College",5,"NCHC","Home","Loss","Massachusetts-Lowell",8,"Hockey East"
58,"20162017","Massachusetts-Lowell",8,"Hockey East","Away","Win","Colorado College",5,"NCHC"
59,"20162017","Clarkson",4,"ECAC","Home","Win","Merrimack",0,"Hockey East"
59,"20162017","Merrimack",0,"Hockey East","Away","Loss","Clarkson",4,"ECAC"
60,"20162017","Colgate",4,"ECAC","Home","Tie","Connecticut",4,"Hockey East"
60,"20162017","Connecticut",4,"Hockey East","Away","Tie","Colgate",4,"ECAC"
61,"20162017","Denver",4,"NCHC","Home","Win","Boston University",3,"Hockey East"
61,"20162017","Boston University",3,"Hockey East","Away","Loss","Denver",4,"NCHC"
62,"20162017","Lake Superior",6,"WCHA","Home","Win","Michigan State",1,"Big Ten"
62,"20162017","Michigan State",1,"Big Ten","Away","Loss","Lake Superior",6,"WCHA"
63,"20162017","Maine",4,"Hockey East","Home","Win","Quinnipiac",3,"ECAC"
63,"20162017","Quinnipiac",3,"ECAC","Away","Loss","Maine",4,"Hockey East"
