## HomeTeam: the team playing at home;
## AwayTeam: the opponent visiting team;
## ScoreHome: the score of the home team;
## ScoreAway: the score of the visiting team;
## Date: the day in which the match was played.
HomeTeam	AwayTeam	ScoreHome	ScoreAway	Date
Chicago 	 Phoenix 	105	111	2010-03-31
Philadelphia 	 Oklahoma	93	111	2010-03-31
Indiana 	 Sacramento	102	95	2010-03-31
Utah 	 NewYork	103	98	2010-03-30
Dallas 	 Denver	109	93	2010-03-30
NewOrleans 	 L.A.Lakers 	108	100	2010-03-30
NewJersey 	 SanAntonio	90	84	2010-03-30
Charlotte 	 Toronto	101	103	2010-03-30
L.A.Clippers  	 GoldenState	103	121	2010-03-29
Boston 	 SanAntonio	73	94	2010-03-29
Oklahoma 	 Portland	87	92	2010-03-29
Minnesota 	 Phoenix 	105	111	2010-03-29
Orlando 	 Denver	103	97	2010-03-29
Miami 	 Toronto	97	94	2010-03-29
Detroit 	 Chicago	103	110	2010-03-29
Atlanta 	 Indiana	94	84	2010-03-28
Milwaukee 	 Memphis	108	103	2010-03-28
Cleveland 	 Sacramento	97	90	2010-03-28
GoldenState 	 Dallas	90	111	2010-03-28
Houston 	 L.A.Lakers 	101	109	2010-03-28
NewOrleans 	 Portland	101	112	2010-03-28
Chicago 	 NewJersey	106	83	2010-03-28
Washington 	 Utah	87	103	2010-03-28
Phoenix  	 NewYork	132	96	2010-03-27
SanAntonio 	 Cleveland	102	97	2010-03-27
Milwaukee 	 Miami	74	87	2010-03-27
Oklahoma 	 L.A.Lakers 	91	75	2010-03-27
NewJersey 	 Detroit	118	110	2010-03-27
Boston 	 Sacramento	94	86	2010-03-27
Charlotte 	 Washington	107	96	2010-03-27
Toronto 	 Denver	96	97	2010-03-27
Philadelphia 	 Atlanta	105	98	2010-03-27
Orlando 	 Minnesota	106	97	2010-03-27
Indiana 	 Utah	122	106	2010-03-27
Portland 	 Dallas	101	89	2010-03-26
Houston 	 L.A.Clippers 	93	99	2010-03-26
Chicago 	 Miami	74	103	2010-03-26
GoldenState 	 Memphis	128	110	2010-03-25
SanAntonio 	 L.A.Lakers 	83	92	2010-03-25
Oklahoma 	 Houston	122	104	2010-03-25
NewOrleans 	 Cleveland	92	105	2010-03-25
Milwaukee 	 Philadelphia	86	101	2010-03-25
NewJersey 	 Sacramento	93	79	2010-03-25
Atlanta 	 Orlando	86	84	2010-03-25
Toronto 	 Utah	87	113	2010-03-25
Indiana 	 Washington	99	82	2010-03-25
Charlotte 	 Minnesota	108	95	2010-03-25
Boston 	 Denver	113	99	2010-03-25
Dallas 	 L.A.Clippers 	106	96	2010-03-24
NewYork 	 Denver	109	104	2010-03-24
Detroit 	 Indiana	83	98	2010-03-24
Washington 	 Charlotte	86	95	2010-03-24
GoldenState 	 Phoenix 	131	133	2010-03-23
Sacramento 	 Memphis	85	102	2010-03-23
Utah 	 Boston	110	97	2010-03-23
NewOrleans 	 Dallas	115	99	2010-03-23
Minnesota 	 Toronto	100	106	2010-03-23
Milwaukee 	 Atlanta	98	95	2010-03-23
Chicago 	 Houston	98	88	2010-03-23
Oklahoma 	 SanAntonio	96	99	2010-03-23
NewJersey 	 Miami	89	99	2010-03-23
Philadelphia 	 Orlando	93	109	2010-03-23
Phoenix  	 Portland	93	87	2010-03-22
L.A.Lakers 	 Washington	99	92	2010-03-22
Atlanta 	 SanAntonio	119	114	2010-03-22
Cleveland 	 Detroit	104	79	2010-03-21
