## HomeTeam: the team playing at home;
## AwayTeam: the opponent visiting team;
## ScoreHome: the score of the home team;
## ScoreAway: the score of the visiting team;
## Date: the day in which the match was played.
HomeTeam	AwayTeam	ScoreHome	ScoreAway	Date
Sacramento 	 Charlotte	96	103	2010-01-31
Dallas 	 Portland	112	114	2010-01-31
Milwaukee 	 Miami	95	84	2010-01-31
Washington 	 NewYork	106	96	2010-01-31
Memphis 	 NewOrleans	102	109	2010-01-31
Orlando 	 Atlanta	104	86	2010-01-31
GoldenState 	 Charlotte	110	121	2010-01-30
Utah 	 Sacramento	101	94	2010-01-30
SanAntonio 	 Memphis	104	97	2010-01-30
Houston 	 Portland	104	100	2010-01-30
NewJersey 	 Washington	79	81	2010-01-30
Minnesota 	 L.A.Clippers 	111	97	2010-01-30
Detroit 	 Miami	65	92	2010-01-30
Oklahoma 	 Denver	101	84	2010-01-30
NewOrleans 	 Chicago	106	108	2010-01-30
Atlanta 	 Boston	100	91	2010-01-30
Philadelphia 	 L.A.Lakers 	91	99	2010-01-30
Indiana 	 Cleveland	73	94	2010-01-30
Phoenix  	 Dallas	112	106	2010-01-29
Orlando 	 Boston	96	94	2010-01-29
NewYork 	 Toronto	104	106	2010-01-29
GoldenState 	 NewOrleans	110	123	2010-01-28
Portland 	 Utah	95	106	2010-01-28
SanAntonio 	 Atlanta	105	90	2010-01-28
Houston 	 Denver	92	97	2010-01-28
Oklahoma 	 Chicago	86	96	2010-01-28
Milwaukee 	 Philadelphia	91	88	2010-01-28
NewJersey 	 L.A.Clippers 	103	87	2010-01-28
Detroit 	 Memphis	93	99	2010-01-28
Indiana 	 L.A.Lakers 	96	118	2010-01-28
Cleveland 	 Minnesota	109	95	2010-01-28
Toronto 	 Miami	111	103	2010-01-28
Sacramento 	 GoldenState	99	96	2010-01-27
Phoenix  	 Charlotte	109	114	2010-01-27
Dallas 	 Milwaukee	108	107	2010-01-27
NewYork 	 Minnesota	132	105	2010-01-27
Washington 	 L.A.Lakers 	103	115	2010-01-27
Portland 	 NewOrleans	97	98	2010-01-26
Denver 	 Charlotte	104	93	2010-01-26
Utah 	 Phoenix 	124	115	2010-01-26
SanAntonio 	 Chicago	93	98	2010-01-26
Houston 	 Atlanta	95	102	2010-01-26
Memphis 	 Orlando	99	94	2010-01-26
Boston 	 L.A.Clippers 	95	89	2010-01-26
Miami 	 Cleveland	91	92	2010-01-26
Philadelphia 	 Indiana	98	109	2010-01-26
Toronto 	 L.A.Lakers 	106	105	2010-01-25
NewYork 	 Dallas	78	128	2010-01-24
Washington 	 L.A.Clippers 	78	92	2010-01-24
Utah 	 NewJersey	116	83	2010-01-24
Phoenix  	 GoldenState	112	103	2010-01-24
Denver 	 NewOrleans	116	110	2010-01-24
Houston 	 Chicago	97	104	2010-01-24
Milwaukee 	 Minnesota	127	94	2010-01-24
Miami 	 Sacramento	115	84	2010-01-24
Detroit 	 Portland	93	97	2010-01-24
Cleveland 	 Oklahoma	100	99	2010-01-24
Indiana 	 Philadelphia	97	107	2010-01-24
Charlotte 	 Orlando	95	106	2010-01-24
Phoenix  	 Chicago	104	115	2010-01-23
GoldenState 	 NewJersey	111	79	2010-01-23
SanAntonio 	 Houston	109	116	2010-01-23
NewYork 	 L.A.Lakers 	105	115	2010-01-23
Minnesota 	 NewOrleans	94	96	2010-01-23
Memphis 	 Oklahoma	86	84	2010-01-23
Detroit 	 Indiana	93	105	2010-01-23
Atlanta 	 Charlotte	103	89	2010-01-23
Boston 	 Portland	98	95	2010-01-23
Orlando 	 Sacramento	100	84	2010-01-23
Washington 	 Miami	88	112	2010-01-23
Toronto 	 Milwaukee	101	96	2010-01-23
Philadelphia 	 Dallas	92	81	2010-01-23
Denver 	 L.A.Clippers 	105	85	2010-01-22
Cleveland 	 L.A.Lakers 	93	87	2010-01-22
L.A.Clippers  	 Chicago	104	97	2010-01-21
GoldenState 	 Denver	118	123	2010-01-21
SanAntonio 	 Utah	98	105	2010-01-21
Phoenix  	 NewJersey	118	94	2010-01-21
Milwaukee 	 Toronto	113	107	2010-01-21
NewOrleans 	 Memphis	113	111	2010-01-21
Minnesota 	 Oklahoma	92	94	2010-01-21
Detroit 	 Boston	92	86	2010-01-21
Charlotte 	 Miami	104	65	2010-01-21
Atlanta 	 Sacramento	108	97	2010-01-21
Washington 	 Dallas	93	94	2010-01-21
Philadelphia 	 Portland	90	98	2010-01-21
Orlando 	 Indiana	109	98	2010-01-21
Miami 	 Indiana	113	83	2010-01-20
Cleveland 	 Toronto	108	100	2010-01-20
L.A.Lakers 	 Orlando	98	92	2010-01-19
Boston 	 Dallas	90	99	2010-01-19
Memphis 	 Phoenix 	125	118	2010-01-18
GoldenState 	 Chicago	114	97	2010-01-18
Minnesota 	 Philadelphia	108	103	2010-01-18
L.A.Clippers  	 NewJersey	106	95	2010-01-18
NewOrleans 	 SanAntonio	90	97	2010-01-18
Houston 	 Milwaukee	101	98	2010-01-18
Charlotte 	 Sacramento	105	103	2010-01-18
Atlanta 	 Oklahoma	91	94	2010-01-18
Washington 	 Portland	97	92	2010-01-18
NewYork 	 Detroit	99	91	2010-01-18
Denver 	 Utah	119	112	2010-01-18
Toronto 	 Dallas	110	88	2010-01-17
L.A.Clippers  	 Cleveland	101	102	2010-01-17
Utah 	 Milwaukee	112	95	2010-01-17
Oklahoma 	 Miami	98	80	2010-01-17
Memphis 	 SanAntonio	92	86	2010-01-17
Detroit 	 NewYork	94	90	2010-01-17
Washington 	 Sacramento	96	86	2010-01-17
Charlotte 	 Phoenix 	125	99	2010-01-17
Indiana 	 NewOrleans	96	101	2010-01-17
L.A.Lakers 	 L.A.Clippers 	126	86	2010-01-16
GoldenState 	 Milwaukee	104	113	2010-01-16
Portland 	 Orlando	102	87	2010-01-16
Houston 	 Miami	106	115	2010-01-16
Dallas 	 Oklahoma	99	98	2010-01-16
Atlanta 	 Phoenix 	102	101	2010-01-16
NewJersey 	 Indiana	105	121	2010-01-16
Memphis 	 Minnesota	135	110	2010-01-16
Detroit 	 NewOrleans	110	104	2010-01-16
Chicago 	 Washington	121	119	2010-01-16
NewYork 	 Toronto	104	112	2010-01-16
Philadelphia 	 Sacramento	98	86	2010-01-16
Charlotte 	 SanAntonio	92	76	2010-01-16
Utah 	 Cleveland	97	96	2010-01-15
Boston 	 Chicago	83	96	2010-01-15
GoldenState 	 Miami	102	115	2010-01-14
Portland 	 Milwaukee	120	108	2010-01-14
Denver 	 Orlando	115	97	2010-01-14
Houston 	 Minnesota	120	114	2010-01-14
Dallas 	 L.A.Lakers 	95	100	2010-01-14
Oklahoma 	 SanAntonio	108	109	2010-01-14
NewOrleans 	 L.A.Clippers 	108	94	2010-01-14
NewJersey 	 Boston	87	111	2010-01-14
Indiana 	 Phoenix 	122	114	2010-01-14
Atlanta 	 Washington	94	82	2010-01-14
Philadelphia 	 NewYork	92	93	2010-01-14
Sacramento 	 Orlando	88	109	2010-01-13
SanAntonio 	 L.A.Lakers 	105	85	2010-01-13
Memphis 	 L.A.Clippers 	104	102	2010-01-13
Washington 	 Detroit	90	99	2010-01-13
Charlotte 	 Houston	102	94	2010-01-13
GoldenState 	 Cleveland	114	117	2010-01-12
Phoenix  	 Milwaukee	105	101	2010-01-12
Denver 	 Minnesota	105	94	2010-01-12
Utah 	 Miami	118	89	2010-01-12
Oklahoma 	 NewYork	106	88	2010-01-12
Chicago 	 Detroit	120	87	2010-01-12
Boston 	 Atlanta	96	102	2010-01-12
Philadelphia 	 NewOrleans	96	92	2010-01-12
Indiana 	 Toronto	105	101	2010-01-12
L.A.Lakers 	 Milwaukee	95	77	2010-01-11
Portland 	 Cleveland	94	106	2010-01-11
SanAntonio 	 NewJersey	97	85	2010-01-11
L.A.Clippers  	 Miami	94	84	2010-01-10
Washington 	 NewOrleans	110	115	2010-01-10
Toronto 	 Boston	107	114	2010-01-10
Sacramento 	 Denver	102	100	2010-01-10
Houston 	 NewYork	105	96	2010-01-10
Dallas 	 Utah	93	111	2010-01-10
Oklahoma 	 Indiana	108	102	2010-01-10
Chicago 	 Minnesota	110	96	2010-01-10
Detroit 	 Philadelphia	94	104	2010-01-10
Orlando 	 Atlanta	113	81	2010-01-10
Charlotte 	 Memphis	89	87	2010-01-10
GoldenState 	 Sacramento	108	101	2010-01-09
Denver 	 Cleveland	99	97	2010-01-09
Portland 	 L.A.Lakers 	107	98	2010-01-09
Phoenix  	 Miami	105	109	2010-01-09
SanAntonio 	 Dallas	103	112	2010-01-09
Milwaukee 	 Chicago	96	93	2010-01-09
Minnesota 	 Indiana	116	109	2010-01-09
Memphis 	 Utah	91	89	2010-01-09
Atlanta 	 Boston	93	85	2010-01-09
NewOrleans 	 NewJersey	103	99	2010-01-09
Philadelphia 	 Toronto	106	108	2010-01-09
Washington 	 Orlando	104	97	2010-01-09
NewYork 	 Charlotte	97	93	2010-01-08
L.A.Clippers  	 L.A.Lakers 	102	91	2010-01-07
Utah 	 Memphis	117	94	2010-01-07
Phoenix  	 Houston	118	110	2010-01-07
SanAntonio 	 Detroit	112	92	2010-01-07
Oklahoma 	 NewOrleans	92	97	2010-01-07
Minnesota 	 GoldenState	101	107	2010-01-07
Miami 	 Boston	106	112	2010-01-07
Orlando 	 Toronto	103	108	2010-01-07
Cleveland 	 Washington	121	98	2010-01-07
Atlanta 	 NewJersey	119	89	2010-01-07
L.A.Lakers 	 Houston	88	79	2010-01-06
Portland 	 Memphis	105	109	2010-01-06
Sacramento 	 Phoenix 	109	113	2010-01-06
Denver 	 GoldenState	123	122	2010-01-06
Dallas 	 Detroit	98	93	2010-01-06
NewJersey 	 Milwaukee	76	98	2010-01-06
Indiana 	 Orlando	97	90	2010-01-06
Charlotte 	 Chicago	113	108	2010-01-06
Philadelphia 	 Washington	97	104	2010-01-06
L.A.Clippers  	 Portland	105	95	2010-01-05
Utah 	 NewOrleans	87	91	2010-01-05
Chicago 	 Oklahoma	85	98	2010-01-05
Miami 	 Atlanta	92	75	2010-01-05
L.A.Lakers 	 Dallas	131	96	2010-01-04
Denver 	 Philadelphia	105	108	2010-01-04
NewYork 	 Indiana	132	89	2010-01-04
Cleveland 	 Charlotte	88	91	2010-01-04
Toronto 	 SanAntonio	91	86	2010-01-04
Sacramento 	 Dallas	91	99	2010-01-03
Portland 	 GoldenState	105	89	2010-01-03
Utah 	 Denver	95	105	2010-01-03
Phoenix  	 Memphis	103	128	2010-01-03
Milwaukee 	 Oklahoma	103	97	2010-01-03
NewOrleans 	 Houston	99	95	2010-01-03
Chicago 	 Orlando	101	93	2010-01-03
Boston 	 Toronto	103	96	2010-01-03
Washington 	 SanAntonio	86	97	2010-01-03
Indiana 	 Minnesota	122	111	2010-01-03
Miami 	 Charlotte	97	107	2010-01-02
NewJersey 	 Cleveland	86	94	2010-01-02
L.A.Lakers 	 Sacramento	109	108	2010-01-02
Minnesota 	 Orlando	94	106	2010-01-02
Atlanta 	 NewYork	108	112	2010-01-02
L.A.Clippers  	 Philadelphia	104	88	2010-01-01
Oklahoma 	 Utah	87	86	2010-01-01
SanAntonio 	 Miami	108	78	2010-01-01
Houston 	 Dallas	97	94	2010-01-01
Detroit 	 Chicago	87	98	2009-12-31
Portland 	 L.A.Clippers 	103	99	2009-12-31
Sacramento 	 Philadelphia	106	116	2009-12-31
Phoenix  	 Boston	116	98	2009-12-31
NewOrleans 	 Miami	95	91	2009-12-31
Minnesota 	 Utah	103	107	2009-12-31
NewJersey 	 NewYork	104	95	2009-12-31
Toronto 	 Charlotte	107	103	2009-12-31
Orlando 	 Milwaukee	117	92	2009-12-31
Indiana 	 Memphis	110	121	2009-12-31
Cleveland 	 Atlanta	106	101	2009-12-31
L.A.Lakers 	 GoldenState	124	118	2009-12-30
SanAntonio 	 Minnesota	117	99	2009-12-30
Houston 	 NewOrleans	108	100	2009-12-30
Chicago 	 Indiana	104	95	2009-12-30
Detroit 	 NewYork	87	104	2009-12-30
Washington 	 Oklahoma	98	110	2009-12-30
Atlanta 	 Cleveland	84	95	2009-12-30
GoldenState 	 Boston	103	99	2009-12-29
Portland 	 Philadelphia	93	104	2009-12-29
Sacramento 	 Denver	106	101	2009-12-29
Phoenix  	 L.A.Lakers 	118	103	2009-12-29
Memphis 	 Washington	116	111	2009-12-29
NewJersey 	 Oklahoma	89	105	2009-12-29
Charlotte 	 Milwaukee	94	84	2009-12-29
L.A.Clippers  	 Boston	92	90	2009-12-28
Denver 	 Dallas	96	104	2009-12-28
Cleveland 	 Houston	108	83	2009-12-28
NewYork 	 SanAntonio	88	95	2009-12-28
Miami 	 Indiana	114	80	2009-12-28
Toronto 	 Detroit	102	95	2009-12-27
GoldenState 	 Phoenix 	132	127	2009-12-27
Sacramento 	 L.A.Lakers 	103	112	2009-12-27
Utah 	 Philadelphia	97	76	2009-12-27
Milwaukee 	 SanAntonio	97	112	2009-12-27
Oklahoma 	 Charlotte	98	91	2009-12-27
Minnesota 	 Washington	101	89	2009-12-27
Chicago 	 NewOrleans	96	85	2009-12-27
NewJersey 	 Houston	93	98	2009-12-27
Indiana 	 Atlanta	98	110	2009-12-27
Dallas 	 Memphis	106	101	2009-12-26
Portland 	 Denver	107	96	2009-12-26
Phoenix  	 L.A.Clippers 	124	93	2009-12-26
L.A.Lakers 	 Cleveland	87	102	2009-12-25
Orlando 	 Boston	77	86	2009-12-25
NewYork 	 Miami	87	93	2009-12-25
Sacramento 	 Cleveland	104	117	2009-12-24
Phoenix  	 Oklahoma	113	117	2009-12-24
Denver 	 Atlanta	124	104	2009-12-24
SanAntonio 	 Portland	94	98	2009-12-24
NewOrleans 	 GoldenState	108	102	2009-12-24
Milwaukee 	 Washington	97	109	2009-12-24
NewJersey 	 Minnesota	99	103	2009-12-24
Miami 	 Utah	80	70	2009-12-24
Detroit 	 Toronto	64	94	2009-12-24
Orlando 	 Houston	102	87	2009-12-24
L.A.Lakers 	 Oklahoma	111	108	2009-12-23
Houston 	 L.A.Clippers 	108	99	2009-12-23
Dallas 	 Portland	81	85	2009-12-23
Minnesota 	 Atlanta	87	112	2009-12-23
Memphis 	 GoldenState	121	108	2009-12-23
NewYork 	 Chicago	88	81	2009-12-23
Boston 	 Indiana	103	94	2009-12-23
Washington 	 Philadelphia	105	98	2009-12-23
Charlotte 	 Detroit	88	76	2009-12-23
Phoenix  	 Cleveland	91	109	2009-12-22
SanAntonio 	 L.A.Clippers 	103	87	2009-12-22
Chicago 	 Sacramento	98	102	2009-12-22
Orlando 	 Utah	104	99	2009-12-22
Indiana 	 Milwaukee	81	84	2009-12-22
NewYork 	 Charlotte	98	94	2009-12-21
Dallas 	 Cleveland	102	95	2009-12-21
Miami 	 Portland	95	102	2009-12-21
Detroit 	 L.A.Lakers 	81	93	2009-12-21
Boston 	 Minnesota	122	104	2009-12-21
Memphis 	 Denver	102	96	2009-12-20
Toronto 	 NewOrleans	98	92	2009-12-20
Phoenix  	 Washington	121	95	2009-12-20
Milwaukee 	 Sacramento	95	96	2009-12-20
Houston 	 Oklahoma	95	90	2009-12-20
SanAntonio 	 Indiana	100	99	2009-12-20
NewJersey 	 L.A.Lakers 	84	103	2009-12-20
Chicago 	 Atlanta	101	98	2009-12-20
Philadelphia 	 L.A.Clippers 	107	112	2009-12-20
Orlando 	 Portland	92	83	2009-12-20
Charlotte 	 Utah	102	110	2009-12-20
GoldenState 	 Washington	109	118	2009-12-19
Dallas 	 Houston	108	116	2009-12-19
Oklahoma 	 Detroit	109	98	2009-12-19
Cleveland 	 Milwaukee	85	82	2009-12-19
NewYork 	 L.A.Clippers 	95	91	2009-12-19
NewOrleans 	 Denver	98	92	2009-12-19
Minnesota 	 Sacramento	112	96	2009-12-19
Memphis 	 Indiana	107	94	2009-12-19
Boston 	 Philadelphia	97	98	2009-12-19
Atlanta 	 Utah	96	83	2009-12-19
Toronto 	 NewJersey	118	95	2009-12-19
Portland 	 Phoenix 	105	102	2009-12-18
Miami 	 Orlando	104	86	2009-12-18
Chicago 	 NewYork	98	89	2009-12-18
GoldenState 	 SanAntonio	91	103	2009-12-17
Sacramento 	 Washington	112	109	2009-12-17
Denver 	 Houston	111	101	2009-12-17
Oklahoma 	 Dallas	86	100	2009-12-17
NewOrleans 	 Detroit	95	87	2009-12-17
Minnesota 	 L.A.Clippers 	95	120	2009-12-17
Milwaukee 	 L.A.Lakers 	106	107	2009-12-17
NewJersey 	 Utah	92	108	2009-12-17
Atlanta 	 Memphis	110	97	2009-12-17
Philadelphia 	 Cleveland	101	108	2009-12-17
Orlando 	 Toronto	118	99	2009-12-17
Indiana 	 Charlotte	101	98	2009-12-17
Portland 	 Sacramento	95	88	2009-12-16
Phoenix  	 SanAntonio	116	104	2009-12-16
Houston 	 Detroit	107	96	2009-12-16
Chicago 	 L.A.Lakers 	87	96	2009-12-16
Miami 	 Toronto	115	95	2009-12-16
Cleveland 	 NewJersey	99	89	2009-12-16
Charlotte 	 NewYork	94	87	2009-12-16
L.A.Clippers  	 Washington	97	95	2009-12-15
Utah 	 Minnesota	108	110	2009-12-15
Denver 	 Oklahoma	102	93	2009-12-15
Dallas 	 NewOrleans	94	90	2009-12-15
Memphis 	 Boston	105	110	2009-12-15
Orlando 	 Indiana	106	98	2009-12-15
Philadelphia 	 GoldenState	117	101	2009-12-15
L.A.Clippers  	 SanAntonio	90	115	2009-12-14
Oklahoma 	 Cleveland	89	102	2009-12-14
Miami 	 Memphis	90	118	2009-12-14
Atlanta 	 NewJersey	130	107	2009-12-13
Toronto 	 Houston	101	88	2009-12-13
Sacramento 	 Minnesota	120	100	2009-12-13
Utah 	 L.A.Lakers 	102	94	2009-12-13
Denver 	 Phoenix 	105	99	2009-12-13
Milwaukee 	 Portland	108	101	2009-12-13
Dallas 	 Charlotte	98	97	2009-12-13
Chicago 	 Boston	80	106	2009-12-13
Detroit 	 GoldenState	104	95	2009-12-13
Washington 	 Indiana	113	114	2009-12-13
Phoenix  	 Orlando	106	103	2009-12-12
L.A.Lakers 	 Minnesota	104	92	2009-12-12
SanAntonio 	 Charlotte	104	85	2009-12-12
Memphis 	 Oklahoma	94	102	2009-12-12
Cleveland 	 Portland	104	99	2009-12-12
Chicago 	 GoldenState	96	91	2009-12-12
NewOrleans 	 NewYork	96	113	2009-12-12
Miami 	 Dallas	93	106	2009-12-12
Philadelphia 	 Houston	91	96	2009-12-12
Indiana 	 NewJersey	107	91	2009-12-12
Toronto 	 Atlanta	89	111	2009-12-12
Utah 	 Orlando	120	111	2009-12-11
Washington 	 Boston	102	104	2009-12-11
Detroit 	 Denver	101	99	2009-12-11
L.A.Lakers 	 Utah	101	77	2009-12-10
SanAntonio 	 Sacramento	118	106	2009-12-10
Houston 	 Cleveland	95	85	2009-12-10
Milwaukee 	 Toronto	117	95	2009-12-10
Minnesota 	 NewOrleans	96	97	2009-12-10
NewJersey 	 GoldenState	89	105	2009-12-10
Philadelphia 	 Detroit	86	90	2009-12-10
Indiana 	 Portland	91	102	2009-12-10
Atlanta 	 Chicago	118	83	2009-12-10
L.A.Clippers  	 Orlando	86	97	2009-12-09
Dallas 	 Phoenix 	102	101	2009-12-09
Chicago 	 NewJersey	101	103	2009-12-09
NewOrleans 	 Sacramento	96	94	2009-12-09
Memphis 	 Cleveland	111	109	2009-12-09
Boston 	 Milwaukee	98	89	2009-12-09
Toronto 	 Minnesota	94	88	2009-12-09
Charlotte 	 Denver	107	95	2009-12-09
Utah 	 SanAntonio	104	101	2009-12-08
Oklahoma 	 GoldenState	104	88	2009-12-08
NewYork 	 Portland	93	84	2009-12-08
Philadelphia 	 Denver	83	93	2009-12-08
L.A.Lakers 	 Phoenix 	108	88	2009-12-07
Sacramento 	 Miami	102	115	2009-12-07
Detroit 	 Washington	98	94	2009-12-07
Milwaukee 	 Cleveland	86	101	2009-12-06
NewYork 	 NewJersey	106	97	2009-12-06
GoldenState 	 Orlando	118	126	2009-12-06
L.A.Clippers  	 Indiana	88	72	2009-12-06
Portland 	 Houston	90	89	2009-12-06
Phoenix  	 Sacramento	115	107	2009-12-06
Dallas 	 Atlanta	75	80	2009-12-06
SanAntonio 	 Denver	99	106	2009-12-06
Minnesota 	 Utah	108	101	2009-12-06
Chicago 	 Toronto	78	110	2009-12-06
Charlotte 	 Philadelphia	106	105	2009-12-06
L.A.Lakers 	 Miami	108	107	2009-12-05
Utah 	 Indiana	96	87	2009-12-05
Detroit 	 Milwaukee	105	96	2009-12-05
Oklahoma 	 Boston	87	105	2009-12-05
Cleveland 	 Chicago	101	87	2009-12-05
NewOrleans 	 Minnesota	98	89	2009-12-05
NewJersey 	 Charlotte	97	91	2009-12-05
Memphis 	 Dallas	98	82	2009-12-05
Atlanta 	 NewYork	107	114	2009-12-05
Washington 	 Toronto	107	109	2009-12-05
GoldenState 	 Houston	109	111	2009-12-04
Denver 	 Miami	114	96	2009-12-04
SanAntonio 	 Boston	83	90	2009-12-04
L.A.Clippers  	 Houston	85	102	2009-12-03
Sacramento 	 Indiana	110	105	2009-12-03
Oklahoma 	 Philadelphia	117	106	2009-12-03
Minnesota 	 Memphis	95	97	2009-12-03
Chicago 	 Detroit	92	85	2009-12-03
NewJersey 	 Dallas	101	117	2009-12-03
Washington 	 Milwaukee	104	102	2009-12-03
Orlando 	 NewYork	118	104	2009-12-03
Cleveland 	 Phoenix 	107	90	2009-12-03
Atlanta 	 Toronto	146	115	2009-12-03
L.A.Lakers 	 NewOrleans	110	99	2009-12-02
Portland 	 Miami	100	107	2009-12-02
Denver 	 GoldenState	135	107	2009-12-02
NewYork 	 Phoenix 	126	99	2009-12-02
Charlotte 	 Boston	90	108	2009-12-02
Toronto 	 Washington	102	106	2009-12-02
GoldenState 	 Indiana	126	107	2009-12-01
Utah 	 Memphis	120	93	2009-12-01
Dallas 	 Philadelphia	104	102	2009-12-01
Milwaukee 	 Chicago	99	97	2009-12-01
L.A.Lakers 	 NewJersey	106	87	2009-11-30
Sacramento 	 NewOrleans	112	96	2009-11-30
Denver 	 Minnesota	100	106	2009-11-30
SanAntonio 	 Philadelphia	97	89	2009-11-30
Oklahoma 	 Houston	91	100	2009-11-30
NewYork 	 Orlando	102	114	2009-11-30
Miami 	 Boston	85	92	2009-11-30
L.A.Clippers  	 Memphis	98	88	2009-11-29
Detroit 	 Atlanta	94	88	2009-11-29
Toronto 	 Phoenix 	94	113	2009-11-29
GoldenState 	 L.A.Lakers 	97	130	2009-11-29
Utah 	 Portland	108	92	2009-11-29
Milwaukee 	 Orlando	98	100	2009-11-29
Cleveland 	 Dallas	111	95	2009-11-29
Washington 	 Charlotte	76	92	2009-11-29
Sacramento 	 NewJersey	109	96	2009-11-28
Portland 	 Memphis	96	106	2009-11-28
Oklahoma 	 Milwaukee	108	90	2009-11-28
Minnesota 	 Phoenix 	95	120	2009-11-28
Denver 	 NewYork	128	125	2009-11-28
Houston 	 SanAntonio	84	92	2009-11-28
Indiana 	 Dallas	92	113	2009-11-28
Detroit 	 L.A.Clippers 	96	104	2009-11-28
Boston 	 Toronto	116	103	2009-11-28
Philadelphia 	 Atlanta	86	100	2009-11-28
Miami 	 Washington	84	94	2009-11-28
Charlotte 	 Cleveland	94	87	2009-11-28
Utah 	 Chicago	105	86	2009-11-27
Atlanta 	 Orlando	76	93	2009-11-27
Sacramento 	 NewYork	111	97	2009-11-26
Portland 	 NewJersey	93	83	2009-11-26
Phoenix  	 Memphis	126	111	2009-11-26
SanAntonio 	 GoldenState	118	104	2009-11-26
Houston 	 Dallas	99	130	2009-11-26
NewOrleans 	 Milwaukee	102	99	2009-11-26
Minnesota 	 Denver	111	124	2009-11-26
Detroit 	 Cleveland	88	98	2009-11-26
Orlando 	 Miami	98	99	2009-11-26
Boston 	 Philadelphia	113	110	2009-11-26
Indiana 	 L.A.Clippers 	86	73	2009-11-26
Charlotte 	 Toronto	116	81	2009-11-26
L.A.Lakers 	 NewYork	100	90	2009-11-25
Utah 	 Oklahoma	94	104	2009-11-25
Denver 	 NewJersey	101	87	2009-11-25
Dallas 	 GoldenState	103	111	2009-11-25
Toronto 	 Indiana	123	112	2009-11-25
Washington 	 Philadelphia	108	107	2009-11-25
L.A.Clippers  	 Minnesota	91	87	2009-11-24
Portland 	 Chicago	122	98	2009-11-24
SanAntonio 	 Milwaukee	112	98	2009-11-24
Memphis 	 Sacramento	116	105	2009-11-24
L.A.Lakers 	 Oklahoma	101	85	2009-11-23
Phoenix  	 Detroit	117	91	2009-11-23
Miami 	 NewOrleans	102	101	2009-11-23
Charlotte 	 Indiana	104	88	2009-11-22
NewYork 	 Boston	105	107	2009-11-22
Toronto 	 Orlando	96	104	2009-11-22
Portland 	 Minnesota	106	78	2009-11-22
Denver 	 Chicago	112	93	2009-11-22
Utah 	 Detroit	100	97	2009-11-22
SanAntonio 	 Washington	106	84	2009-11-22
Houston 	 Sacramento	113	106	2009-11-22
NewOrleans 	 Atlanta	96	88	2009-11-22
Memphis 	 Milwaukee	98	103	2009-11-22
Cleveland 	 Philadelphia	97	91	2009-11-22
NewJersey 	 NewYork	91	98	2009-11-21
L.A.Clippers  	 Denver	106	99	2009-11-21
GoldenState 	 Portland	108	94	2009-11-21
Dallas 	 Sacramento	104	102	2009-11-21
Milwaukee 	 Charlotte	95	88	2009-11-21
Oklahoma 	 Washington	127	108	2009-11-21
Boston 	 Orlando	78	83	2009-11-21
Atlanta 	 Houston	105	103	2009-11-21
Toronto 	 Miami	120	113	2009-11-21
Philadelphia 	 Memphis	97	102	2009-11-21
Indiana 	 Cleveland	95	105	2009-11-21
L.A.Lakers 	 Chicago	108	93	2009-11-20
SanAntonio 	 Utah	83	90	2009-11-20
NewOrleans 	 Phoenix 	110	103	2009-11-20
Portland 	 Detroit	87	81	2009-11-19
Dallas 	 SanAntonio	99	94	2009-11-19
Utah 	 Toronto	104	91	2009-11-19
Minnesota 	 Houston	84	97	2009-11-19
Milwaukee 	 NewJersey	99	85	2009-11-19
Memphis 	 L.A.Clippers 	106	91	2009-11-19
Boston 	 GoldenState	109	95	2009-11-19
Philadelphia 	 Charlotte	86	84	2009-11-19
Orlando 	 Oklahoma	108	94	2009-11-19
Indiana 	 NewYork	103	110	2009-11-19
Atlanta 	 Miami	105	90	2009-11-19
Washington 	 Cleveland	108	91	2009-11-19
L.A.Lakers 	 Detroit	106	93	2009-11-18
Sacramento 	 Chicago	87	101	2009-11-18
Denver 	 Toronto	130	112	2009-11-18
Houston 	 Phoenix 	105	111	2009-11-18
NewOrleans 	 L.A.Clippers 	110	102	2009-11-18
NewJersey 	 Indiana	83	91	2009-11-18
Miami 	 Oklahoma	87	100	2009-11-18
Cleveland 	 GoldenState	114	108	2009-11-18
Milwaukee 	 Dallas	113	115	2009-11-17
Atlanta 	 Portland	99	95	2009-11-17
Orlando 	 Charlotte	97	91	2009-11-17
L.A.Lakers 	 Houston	91	101	2009-11-16
Phoenix  	 Toronto	101	100	2009-11-16
Oklahoma 	 L.A.Clippers 	93	101	2009-11-16
Detroit 	 Dallas	90	95	2009-11-16
SanAntonio 	 Oklahoma	98	101	2009-11-15
Milwaukee 	 GoldenState	129	125	2009-11-15
Memphis 	 Minnesota	97	87	2009-11-15
Chicago 	 Philadelphia	94	88	2009-11-15
Miami 	 NewJersey	81	80	2009-11-15
Cleveland 	 Utah	107	103	2009-11-15
Charlotte 	 Portland	74	80	2009-11-15
Atlanta 	 NewOrleans	121	98	2009-11-15
Washington 	 Detroit	103	106	2009-11-15
Indiana 	 Boston	113	104	2009-11-15
L.A.Clippers  	 Toronto	89	104	2009-11-14
Denver 	 L.A.Lakers 	105	79	2009-11-14
Sacramento 	 Houston	109	100	2009-11-14
NewOrleans 	 Portland	78	86	2009-11-14
Minnesota 	 Dallas	77	89	2009-11-14
Boston 	 Atlanta	86	97	2009-11-14
NewYork 	 GoldenState	107	121	2009-11-14
