"Team","RPI","Season"
"Air Force",0.513,"20112012"
"Alabama-Huntsville",0.399,"20112012"
"Alaska",0.485,"20112012"
"Alaska-Anchorage",0.447,"20112012"
"American International",0.407,"20112012"
"Army",0.398,"20112012"
"Bemidji State",0.504,"20112012"
"Bentley",0.469,"20112012"
"Boston College",0.578,"20112012"
"Boston University",0.547,"20112012"
"Bowling Green",0.48,"20112012"
"Brown",0.454,"20112012"
"Canisius",0.434,"20112012"
"Clarkson",0.484,"20112012"
"Colgate",0.505,"20112012"
"Colorado College",0.515,"20112012"
"Connecticut",0.461,"20112012"
"Cornell",0.538,"20112012"
"Dartmouth",0.48,"20112012"
"Denver",0.545,"20112012"
"Ferris State",0.549,"20112012"
"Harvard",0.516,"20112012"
"Holy Cross",0.483,"20112012"
"Lake Superior",0.515,"20112012"
"Maine",0.546,"20112012"
"Massachusetts",0.498,"20112012"
"Massachusetts-Lowell",0.543,"20112012"
"Mercyhurst",0.488,"20112012"
"Merrimack",0.53,"20112012"
"Miami",0.549,"20112012"
"Michigan",0.56,"20112012"
"Michigan State",0.535,"20112012"
"Michigan Tech",0.493,"20112012"
"Minnesota",0.549,"20112012"
"Minnesota-Duluth",0.548,"20112012"
"Minnesota State",0.459,"20112012"
"Nebraska-Omaha",0.49,"20112012"
"New Hampshire",0.5,"20112012"
"Niagara",0.502,"20112012"
"North Dakota",0.555,"20112012"
"Northeastern",0.506,"20112012"
"Northern Michigan",0.531,"20112012"
"Notre Dame",0.524,"20112012"
"Ohio State",0.517,"20112012"
"Princeton",0.467,"20112012"
"Providence",0.491,"20112012"
"Quinnipiac",0.508,"20112012"
"Rensselaer",0.457,"20112012"
"RIT",0.501,"20112012"
"Robert Morris",0.476,"20112012"
"Sacred Heart",0.394,"20112012"
"St. Cloud State",0.513,"20112012"
"St. Lawrence",0.477,"20112012"
"Union",0.556,"20112012"
"Vermont",0.437,"20112012"
"Western Michigan",0.541,"20112012"
"Wisconsin",0.511,"20112012"
"Yale",0.494,"20112012"
