"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","Season"
"Michigan State","39","111","103","1090","10.2","1278",".919","16.7","87.0","3","2","","26.2",72,"182.9","20112012"
"Michigan Tech","39","111","116","1228","9.0","1175",".901","18.3","81.7","6","3","","26.5",72.1,"192.4","20112012"
"Minnesota","43","155","99","1474","10.5","1070",".907","22.8","80.3","7","4","","25.7",72.4,"193.6","20112012"
"Minnesota-Duluth","41","147","106","1500","9.8","1131",".906","20.5","77.6","1","2","","26.3",71.9,"189.9","20112012"
"Minnesota State","38","101","129","1191","8.5","1259",".898","19.7","80.0","7","3","","26.6",72.6,"189.2","20112012"
"Nebraska-Omaha","38","106","112","1291","8.2","1077",".896","17.1","81.9","10","3","","26.4",72.9,"193.0","20112012"
"New Hampshire","37","108","110","1275","8.5","1154",".905","18.6","85.0","6","3","","25.9",72,"188.0","20112012"
"Niagara","37","101","81","1296","7.8","1145",".929","20.4","82.6","5","6","","26.6",71.5,"180.8","20112012"
"North Dakota","42","135","108","1240","10.9","1125",".904","22.0","81.1","5","5","","25.6",72.5,"192.8","20112012"
"Northeastern","34","97","101","908","10.7","1141",".911","13.7","80.7","4","11","","26.2",73,"195.3","20112012"
"Northern Michigan","37","106","102","943","11.2","1161",".912","20.0","86.0","2","3","","26.4",72.2,"187.5","20112012"
"Notre Dame","40","101","107","1160","8.7","1001",".893","18.5","82.9","3","3","","25.8",72,"192.7","20112012"
"Ohio State","35","91","92","1135","8.0","1080",".915","17.6","83.0","2","4","","25.9",72.1,"189.3","20112012"
"Princeton","32","85","105","943","9.0","1074",".902","17.2","79.3","1","6","","25.10",72.1,"189.6","20112012"
"Providence","38","94","122","1180","8.0","1115",".891","15.1","79.9","8","2","","26.0",71.9,"187.1","20112012"
"Quinnipiac","40","122","98","1397","8.7","990",".901","20.4","89.4","4","5","","26.9",71.8,"182.9","20112012"
"Rensselaer","39","78","111","1059","7.4","1081",".897","14.6","83.3","4","4","","26.1",72.3,"192.7","20112012"
"RIT","39","99","86","1348","7.3","1134",".924","17.3","84.7","6","3","","27.1",71.8,"184.4","20112012"
"Robert Morris","39","102","103","1252","8.1","1321",".922","12.8","89.9","4","2","","26.11",71.7,"185.1","20112012"
"Sacred Heart","37","84","173","961","8.7","1441",".880","8.8","77.5","2","10","","26.9",71.5,"187.6","20112012"
"St. Cloud State","39","120","104","1032","11.6","1266",".918","22.7","77.7","3","3","","25.11",71.6,"187.3","20112012"
"St. Lawrence","36","88","120","944","9.3","1074",".888","19.2","80.5","1","1","","26.6",72,"190.5","20112012"
"Union","41","143","75","1433","10.0","1073",".930","24.2","84.5","6","4","","26.1",72,"184.6","20112012"
"Vermont","34","73","140","889","8.2","1043",".866","15.6","70.1","3","5","","26.1",72.4,"189.6","20112012"
"Western Michigan","41","114","92","1227","9.3","961",".904","20.5","85.1","2","6","","26.2",70.9,"181.0","20112012"
"Wisconsin","37","105","102","975","10.8","1118",".909","20.6","76.3","5","4","","25.4",72.2,"190.2","20112012"
"Yale","35","123","106","1263","9.7","1096",".903","22.4","84.6","4","5","","26.0",71.2,"183.8","20112012"
