"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","Season"
"Air Force","39","119","83","1292","9.2","963",".914","17.1","81.2","3","4","","26.5",71.9,"184.3","20112012"
"Alabama-Huntsville","31","37","126","644","5.7","1183",".893","7.3","74.0","1","4","","26.6",72,"187.1","20112012"
"Alaska","36","84","94","1070","7.9","935",".899","15.9","81.4","2","2","","26.8",71.7,"192.6","20112012"
"Alaska-Anchorage","36","85","134","900","9.4","1010",".867","19.5","81.1","2","5","","26.8",72,"188.3","20112012"
"American International","37","82","137","1105","7.4","1373",".900","15.6","80.0","4","5","","26.11",72,"185.1","20112012"
"Army","34","65","120","997","6.5","1118",".893","13.2","80.3","2","6","","27.2",71.1,"188.3","20112012"
"Bemidji State","38","101","109","941","10.7","1130",".904","21.2","83.7","2","3","","26.11",71.2,"183.1","20112012"
"Bentley","40","114","109","1231","9.3","1321",".917","11.4","82.9","5","3","","26.8",71.6,"182.5","20112012"
"Boston College","44","157","89","1346","11.7","1189",".925","22.3","88.5","11","6","","25.2",71.7,"188.2","20112012"
"Boston University","39","139","112","1251","11.1","1355",".917","22.8","82.4","9","2","","25.10",72.3,"191.4","20112012"
"Bowling Green","44","85","129","1157","7.3","1255",".897","8.9","82.5","3","3","","26.2",72.3,"189.3","20112012"
"Brown","32","75","97","968","7.7","980",".901","14.7","83.0","4","5","","25.10",71.5,"184.7","20112012"
"Canisius","36","66","111","892","7.4","1221",".909","8.3","77.7","2","6","","25.8",72.8,"191.8","20112012"
"Clarkson","39","105","109","1091","9.6","1254",".913","17.9","82.0","2","4","","25.11",72.3,"191.1","20112012"
"Colgate","39","121","113","1196","10.1","1113",".898","18.5","78.9","11","8","","26.5",72,"186.3","20112012"
"Colorado College","36","114","104","1099","10.4","1099",".905","22.8","79.2","5","11","","25.7",71.7,"189.5","20112012"
"Connecticut","39","112","105","1113","10.1","1315",".920","25.7","84.2","4","1","","26.7",71.4,"182.7","20112012"
"Cornell","35","100","79","862","11.6","949",".917","16.5","80.0","6","2","","25.3",72.6,"188.8","20112012"
"Dartmouth","33","93","102","928","10.0","1025",".900","14.0","77.6","2","2","","26.2",72.4,"186.0","20112012"
"Denver","43","139","111","1366","10.2","1376",".919","21.5","82.6","3","6","","25.6",72.1,"187.7","20112012"
"Ferris State","43","124","94","1234","10.0","1192",".921","18.9","85.6","6","1","","26.4",71.7,"186.2","20112012"
"Harvard","34","106","100","1010","10.5","1090",".908","27.3","79.4","1","2","","25.4",72.8,"197.2","20112012"
"Holy Cross","39","120","107","1241","9.7","1026",".896","19.6","84.0","5","4","","26.6",71.8,"185.2","20112012"
"Lake Superior","40","102","108","1178","8.7","1276",".915","18.8","82.5","4","4","","26.5",72,"192.5","20112012"
"Maine","40","133","114","1282","10.4","1130",".899","26.7","79.2","5","9","","26.0",71,"182.3","20112012"
"Massachusetts","36","114","118","1112","10.3","1062",".889","18.2","76.1","2","4","","25.10",72.1,"187.2","20112012"
"Massachusetts-Lowell","38","126","94","1245","10.1","1132",".917","21.0","80.4","5","3","","25.11",71.4,"183.9","20112012"
"Mercyhurst","40","111","116","1161","9.6","1449",".920","18.9","82.4","2","5","","26.2",71.9,"187.6","20112012"
"Merrimack","37","102","83","1128","9.0","1086",".924","18.0","81.2","3","5","","26.9",72.3,"187.5","20112012"
"Miami","41","122","86","1267","9.6","1034",".917","15.1","85.2","8","4","","26.2",72.3,"189.3","20112012"
"Michigan","41","132","89","1376","9.6","1242",".928","14.6","84.2","4","1","","25.2",71.8,"186.9","20112012"
