"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","SAT","SATA","CF%","USAT","USATA","FF%","ESSAT","ESSATA","ESCF%","ESUSAT","ESUSATA","ESFF%","PPSAT","PPSATA","PPCF%","PPUSAT","PPUSATA","PPFF%","CloseSAT","CloseSATA","CloseCF%","CloseUSAT","CloseUSATA","CloseFF%","Season"
"Air Force","37","110","86","1153","9.5","946",".909","12.1","85.5","9","4","49.3","22.5",71.6,"182.5","2227","1926","53.6","1701","1404","54.8","1775","1522","53.8","1359","1111","55.0","402","45","89.9","302","39","88.6","1059","967","52.3","811","693","53.9","20152016"
"Alabama-Huntsville","34","73","106","789","9.3","1127",".906","10.7","82.1","5","4","49.0","23.1",72.1,"186.7","1660","2091","44.3","1211","1564","43.6","1233","1557","44.2","934","1190","44.0","380","50","88.4","236","46","83.7","812","1037","43.9","628","791","44.3","20152016"
"Alaska","36","86","117","1020","8.4","1143",".898","16.2","78.7","6","6","49.8","22.8",71.5,"186.8","1846","2135","46.4","1429","1623","46.8","1471","1622","47.6","1146","1250","47.8","331","59","84.9","243","53","82.1","974","1096","47.1","758","847","47.2","20152016"
"Alaska-Anchorage","34","81","103","836","9.7","1012",".898","10.0","79.4","2","7","45.0","22.10",71.3,"184.5","1343","1688","44.3","1001","1264","44.2","1051","1306","44.6","789","1002","44.1","240","40","85.7","170","36","82.5","668","853","43.9","488","652","42.8","20152016"
"American International","39","80","159","931","8.6","1541",".897","16.3","80.3","2","6","45.0","23.4",71.8,"188.7","1699","2577","39.7","1279","2071","38.2","1434","2128","40.3","1086","1703","38.9","241","45","84.3","170","39","81.3","763","1217","38.5","575","982","36.9","20152016"
"Arizona State","25","24","107","534","4.5","1012",".894","5.4","69.4","0","4","41.3","22.9",72.1,"191.2","998","1749","36.3","778","1409","35.6","806","1388","36.7","632","1103","36.4","172","38","81.9","128","33","79.5","424","758","35.9","342","589","36.7","20152016"
"Army","38","88","89","1176","7.5","1237",".928","17.2","81.2","2","5","48.9","22.11",71.8,"187.7","2124","2270","48.3","1647","1772","48.2","1611","1741","48.1","1275","1379","48.0","467","46","91.0","336","42","88.9","1089","1161","48.4","860","921","48.3","20152016"
"Bemidji State","39","96","96","1173","8.2","998",".904","19.9","86.0","4","5","51.9","22.8",71.5,"187.6","2174","1985","52.3","1661","1500","52.5","1668","1567","51.6","1292","1192","52.0","441","59","88.2","311","50","86.1","1177","1111","51.4","913","842","52.0","20152016"
"Bentley","40","106","124","1228","8.6","1372",".910","15.4","80.1","1","3","47.2","22.11",71.5,"187.2","2253","2330","49.2","1753","1881","48.2","1810","1855","49.4","1410","1533","47.9","395","38","91.2","301","34","89.9","1146","1166","49.6","895","963","48.2","20152016"
"Boston College","41","156","82","1347","11.6","1211",".932","21.4","87.5","11","1","55.1","21.1",72.6,"188.1","2373","2141","52.6","1888","1719","52.3","1824","1658","52.4","1450","1335","52.1","471","44","91.5","367","38","90.6","1016","894","53.2","811","721","52.9","20152016"
