"Team","Conference","Season","RPI","GP","G","GA","Sh","Sh.","ShA","SV.","PP.","PK.","SHG","SHGA","FO.","Age","Ht","Wt","SAT","SATA","CF.","USAT","USATA","FF.","ESSAT","ESSATA","ESCF.","ESUSAT","ESUSATA","ESFF.","PPSAT","PPSATA","PPCF.","PPUSAT","PPUSATA","PPFF.","CloseSAT","CloseSATA","CloseCF.","CloseUSAT","CloseUSATA","CloseFF."
"Nebraska-Omaha",NA,20052006,0.533,41,146,136,1317,11.1,1168,0.884,17.5,80,10,5,NA,32.11,71.4,184.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Hampshire",NA,20052006,0.535,40,120,102,1382,8.7,1265,0.919,19.8,86.4,6,3,NA,31.9,71.9,188.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Niagara",NA,20052006,0.497,36,126,121,1075,11.7,1319,0.908,18.9,79.6,4,4,NA,32,71.7,188.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Dakota",NA,20052006,0.551,46,164,109,1383,11.9,1404,0.922,21.1,83.3,11,6,NA,31.3,71.8,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northeastern",NA,20052006,0.432,34,67,120,818,8.2,1136,0.894,12.4,81.1,4,3,NA,32,72.1,191.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Michigan",NA,20052006,0.53,40,118,104,1062,11.1,1109,0.906,16.7,85.2,6,7,NA,32.4,72.4,189.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Notre Dame",NA,20052006,0.492,36,89,98,888,10,1042,0.906,16.6,81.1,2,4,NA,31.7,72.4,190.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ohio State",NA,20052006,0.501,39,97,92,1286,7.5,1001,0.908,10.6,84.2,7,4,NA,32,72.1,194.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Princeton",NA,20052006,0.467,31,81,96,881,9.2,999,0.904,18.1,83.4,0,2,NA,32.2,71.9,190.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Providence",NA,20052006,0.508,36,105,94,1183,8.9,1030,0.909,18.2,83.2,6,4,NA,31.8,71.8,186.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quinnipiac",NA,20052006,0.498,39,130,110,1085,12,1052,0.895,16.6,85.4,5,6,NA,32.2,72,187.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rensselaer",NA,20052006,0.487,37,105,111,1027,10.2,1043,0.894,16.2,81.1,3,1,NA,32.1,72.1,185.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RIT",NA,20052006,0.389,27,72,102,625,11.5,1011,0.899,14.4,84.2,4,9,NA,32.9,71.5,187.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robert Morris",NA,20052006,0.443,35,94,119,988,9.5,1165,0.898,18,82.7,3,5,NA,32.4,71.5,187.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sacred Heart",NA,20052006,0.505,34,112,81,1010,11.1,1050,0.923,19.1,83.4,5,2,NA,32.8,71.3,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Cloud State",NA,20052006,0.53,42,134,99,1368,9.8,1233,0.92,18.5,84.5,7,5,NA,32.6,71.8,186.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Lawrence",NA,20052006,0.513,40,130,121,1480,8.8,1045,0.884,16.7,83.3,5,5,NA,32.2,71.8,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Union",NA,20052006,0.489,38,90,103,1085,8.3,1127,0.909,11.6,83.9,2,4,NA,32.2,71.5,188.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vermont",NA,20052006,0.515,38,97,82,1030,9.4,842,0.903,20.1,86.4,1,2,NA,32.3,71.3,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wayne State",NA,20052006,NA,35,87,140,969,9,1146,0.878,13.4,77.7,2,5,NA,33.1,71.3,187.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Western Michigan",NA,20052006,0.469,40,97,160,970,10,1365,0.883,16.3,79.4,6,9,NA,31.9,71.5,185.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wisconsin",NA,20052006,0.568,43,145,79,1470,9.9,1093,0.928,18.2,88.4,6,5,NA,31.8,72.2,187.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yale",NA,20052006,0.463,33,89,123,950,9.4,1193,0.897,12.8,82.6,4,4,NA,31.8,72.3,195.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,20062007,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Air Force","Atlantic Hockey",20062007,0.481,40,132,107,1376,9.6,914,0.883,17,79.5,1,8,NA,31.9,70.9,181.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama-Huntsville","College Hockey America",20062007,0.463,36,112,137,1110,10.1,1191,0.885,19.7,77.2,7,4,NA,31.11,71.8,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alaska","CCHA",20062007,0.466,39,100,128,1092,9.2,1092,0.883,17,81.6,8,5,NA,31.4,72.4,202.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alaska-Anchorage","WCHA",20062007,0.491,37,90,124,1020,8.8,1102,0.887,14.4,81.7,4,7,NA,31.6,72.9,196.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American International","Atlantic Hockey",20062007,0.406,34,74,134,874,8.5,1057,0.873,10,82.4,5,8,NA,31.11,71.6,186.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Army","Atlantic Hockey",20062007,0.484,34,94,87,919,10.2,914,0.905,15.6,83.7,3,3,NA,31.7,71.4,190.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bemidji State","College Hockey America",20062007,0.49,33,97,109,958,10.1,1004,0.891,15.4,79.4,7,3,NA,31.1,70.9,184.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bentley","Atlantic Hockey",20062007,0.434,35,90,136,939,9.6,1109,0.877,11.8,82.1,5,7,NA,31.2,71.5,190.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boston College","Hockey East",20062007,0.56,42,142,94,1267,11.2,1209,0.922,20.4,88,10,2,NA,30,71.9,188.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boston University","Hockey East",20062007,0.545,39,99,78,1044,9.5,1088,0.928,14.8,86,4,3,NA,30.1,72.2,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bowling Green","CCHA",20062007,0.43,38,75,147,942,8,1197,0.877,9.3,80.6,1,5,NA,30.11,71.1,183.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown","ECAC",20062007,0.476,32,96,95,1020,9.4,1063,0.911,14.3,79.8,5,4,NA,30.8,72.7,192.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canisius","Atlantic Hockey",20062007,0.42,35,86,130,871,9.9,1159,0.888,15.7,80.6,6,10,NA,31.6,72,191.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clarkson","ECAC",20062007,0.564,39,136,93,1151,11.8,1217,0.924,21.8,86,6,2,NA,31,71.7,192.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colgate","ECAC",20062007,0.482,40,100,105,1102,9.1,1226,0.914,14.2,84.4,5,3,NA,30.1,72.7,199.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colorado College","WCHA",20062007,0.523,39,111,98,1070,10.4,1096,0.911,22.2,87.1,2,4,NA,30.4,71.5,184.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Connecticut","Atlantic Hockey",20062007,0.461,36,108,126,1078,10,1163,0.892,14.9,81.3,7,8,NA,31.11,70.9,181.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornell","ECAC",20062007,0.507,31,90,78,919,9.8,763,0.898,13.9,80.1,3,5,NA,30.1,72.4,192.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dartmouth","ECAC",20062007,0.528,33,105,93,933,11.3,1021,0.909,16.2,84.7,6,5,NA,30.6,72.9,189.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denver","WCHA",20062007,0.533,40,107,95,1210,8.8,1148,0.917,16.3,83.8,4,3,NA,30.9,72.2,193.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ferris State","CCHA",20062007,0.479,39,107,126,1240,8.6,1091,0.885,16.2,80.8,4,9,NA,31.6,71.8,190.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harvard","ECAC",20062007,0.499,33,88,90,914,9.6,891,0.899,20.5,80.8,0,4,NA,30.3,72,192.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Holy Cross","Atlantic Hockey",20062007,0.432,35,96,123,991,9.7,1015,0.879,19,79.9,6,8,NA,31.3,71.1,181.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Superior","CCHA",20062007,0.51,43,111,110,1210,9.2,1425,0.923,14.5,83.2,9,5,NA,31.2,72.1,193.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maine","Hockey East",20062007,0.531,40,133,99,1282,10.4,1136,0.913,25.4,85.8,6,5,NA,31.4,72.6,194.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts","Hockey East",20062007,0.533,39,109,91,1139,9.6,1200,0.924,16.1,83.3,1,3,NA,30.9,72.1,194.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts-Lowell","Hockey East",20062007,0.458,36,74,104,1048,7.1,921,0.887,11.1,78,3,2,NA,30.1,70.9,185.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mercyhurst","Atlantic Hockey",20062007,0.429,35,114,134,963,11.8,1373,0.902,19.2,79.7,2,5,NA,31.5,71.6,187.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merrimack","Hockey East",20062007,0.413,34,37,111,753,4.9,1010,0.89,8,80.4,1,5,NA,31.2,72.4,188.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","CCHA",20062007,0.532,42,135,107,1391,9.7,1150,0.907,17.8,89.3,9,9,NA,30.1,72.2,196.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michigan","CCHA",20062007,0.549,41,174,129,1318,13.2,1195,0.892,17.4,80.5,14,12,NA,30.2,72.5,196.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michigan State","CCHA",20062007,0.54,41,133,101,1114,11.9,1159,0.913,18.2,86.5,4,5,NA,30.9,71.4,185.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michigan Tech","WCHA",20062007,0.522,40,90,87,1074,8.4,992,0.912,9.3,87.3,3,2,NA,31.2,71.9,193.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minnesota","WCHA",20062007,0.584,44,161,101,1424,11.3,1118,0.91,20.6,83.3,7,7,NA,30,72.2,186.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minnesota-Duluth","WCHA",20062007,0.49,39,103,121,1154,8.9,1133,0.893,21.4,84.6,5,7,NA,30.1,72.4,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minnesota State","WCHA",20062007,0.504,38,106,132,1108,9.6,1104,0.88,18.2,81.5,7,6,NA,31.2,72.4,189.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nebraska-Omaha","CCHA",20062007,0.505,41,152,124,1203,12.6,1074,0.885,19.5,84,9,11,NA,32,70.8,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Hampshire","Hockey East",20062007,0.562,39,139,89,1167,11.9,1268,0.93,19.5,86.6,6,1,NA,30.1,71.9,189.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Niagara","College Hockey America",20062007,0.501,37,126,128,986,12.8,1339,0.904,20,81.3,5,9,NA,31,71.4,189.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Dakota","WCHA",20062007,0.554,43,153,116,1281,11.9,1215,0.905,23.9,82.5,7,3,NA,30.4,72,190.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northeastern","Hockey East",20062007,0.491,36,84,94,864,9.7,1136,0.917,10.9,86.7,8,7,NA,31.4,71.7,190.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Michigan","CCHA",20062007,0.478,41,96,123,959,10,1210,0.898,16.7,85.5,6,6,NA,31.4,72.8,190.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Notre Dame","CCHA",20062007,0.578,42,143,70,1201,11.9,965,0.927,18.5,90.4,6,3,NA,30.1,71.8,188.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ohio State","CCHA",20062007,0.498,37,120,120,1162,10.3,1007,0.881,17.8,82.1,11,8,NA,31.5,71.8,195.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Princeton","ECAC",20062007,0.493,34,102,100,1064,9.6,945,0.894,18.9,82.6,3,3,NA,31.2,72,190.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Providence","Hockey East",20062007,0.465,36,76,108,1275,6,935,0.884,9.2,85.3,5,10,NA,30.1,71.7,191.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quinnipiac","ECAC",20062007,0.524,40,140,106,1260,11.1,1034,0.897,19.6,86.4,13,5,NA,31,71.6,186.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rensselaer","ECAC",20062007,0.471,36,88,130,877,10,1053,0.877,15.1,79.1,3,12,NA,31,72.2,193.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RIT","Atlantic Hockey",20062007,0.505,34,132,93,1035,12.8,1054,0.912,24.4,87.2,7,5,NA,31.9,71.4,185.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robert Morris","College Hockey America",20062007,0.466,35,110,129,945,11.6,1249,0.897,19.9,82.3,6,5,NA,32.1,71.6,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sacred Heart","Atlantic Hockey",20062007,0.503,36,118,99,935,12.6,1081,0.908,16.3,81.9,5,1,NA,31.6,71.4,188.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Cloud State","WCHA",20062007,0.562,40,127,99,1170,10.9,1246,0.921,18.3,80.4,3,0,NA,31.3,71.9,191.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Lawrence","ECAC",20062007,0.538,39,122,104,1077,11.3,1096,0.905,15.7,86.5,8,3,NA,30.11,71.3,185.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Union","ECAC",20062007,0.483,36,103,119,996,10.3,1127,0.894,18.3,80.1,3,5,NA,30.1,72.1,187.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vermont","Hockey East",20062007,0.517,39,87,78,1081,8,929,0.916,17.1,88.8,1,2,NA,31.1,71.6,186.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wayne State","College Hockey America",20062007,NA,35,97,125,971,10,1061,0.882,17.2,78.2,4,7,NA,32.3,71.4,189.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Western Michigan","CCHA",20062007,0.504,37,120,126,925,13,1150,0.89,18,80.7,13,13,NA,31.4,71.9,192.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wisconsin","WCHA",20062007,0.529,41,93,83,1238,7.5,1108,0.925,14.9,86.1,5,3,NA,30.6,72.9,192.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yale","ECAC",20062007,0.477,31,78,98,871,9,890,0.89,14.8,83.2,3,5,NA,30.4,72.4,195.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,20072008,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Air Force","Atlantic Hockey",20072008,0.507,39,130,91,1254,10.4,950,0.904,18,84,6,4,NA,31.8,71.1,180.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama-Huntsville","College Hockey America",20072008,0.41,31,60,117,681,8.8,1015,0.885,10.2,71.9,3,0,NA,30.3,71.9,188.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alaska","CCHA",20072008,0.459,35,80,104,930,8.6,1204,0.914,15.3,80.5,1,5,NA,30.4,71.5,192.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alaska-Anchorage","WCHA",20072008,0.474,36,81,112,934,8.7,927,0.879,13.4,82.2,2,4,NA,30.2,72.8,194.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American International","Atlantic Hockey",20072008,0.411,36,83,135,914,9.1,1164,0.884,15.6,80.7,1,6,NA,31,71.3,185.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Army","Atlantic Hockey",20072008,0.478,37,101,73,1231,8.2,950,0.923,12,85.6,6,5,NA,31.7,71.4,188.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bemidji State","College Hockey America",20072008,0.484,36,102,82,1052,9.7,902,0.909,20.9,86.3,3,6,NA,30.9,71.1,187.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bentley","Atlantic Hockey",20072008,0.425,36,89,124,1026,8.7,1234,0.9,14.5,80,4,2,NA,30.8,71,185.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boston College","Hockey East",20072008,0.545,44,160,101,1406,11.4,1272,0.921,22.1,85,6,4,NA,29.1,70.8,186.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boston University","Hockey East",20072008,0.521,40,135,117,1273,10.6,960,0.878,20.5,78.5,2,6,NA,29.9,72.2,191.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bowling Green","CCHA",20072008,0.492,39,105,120,1221,8.6,1099,0.891,15.8,82.6,4,8,NA,30.4,71,180.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown","ECAC",20072008,0.439,31,67,108,799,8.4,1113,0.903,17.6,81,3,2,NA,30.1,72.7,193.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canisius","Atlantic Hockey",20072008,0.445,37,93,121,882,10.5,1246,0.903,14.1,79.3,4,5,NA,30,71.1,187.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clarkson","ECAC",20072008,0.536,39,108,93,1143,9.4,1113,0.916,13,84.4,12,3,NA,29.8,72.3,189.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colgate","ECAC",20072008,0.501,42,113,104,1217,9.3,1231,0.916,11.2,82.4,5,2,NA,30,72.3,195.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colorado College","WCHA",20072008,0.585,41,136,88,1176,11.6,1150,0.923,19.2,88.6,10,3,NA,29.4,71.6,185.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
