"Team","RPI","Season"
"",0.459,"20042005"
"Air Force",0.453,"20042005"
"Alabama-Huntsville",0.505,"20042005"
"Alaska",0.509,"20042005"
"Alaska-Anchorage",0.496,"20042005"
"American International",0.356,"20042005"
"Army",0.386,"20042005"
"Bemidji State",0.518,"20042005"
"Bentley",0.4,"20042005"
"Boston College",0.6,"20042005"
"Boston University",0.572,"20042005"
"Bowling Green",0.499,"20042005"
"Brown",0.502,"20042005"
"Canisius",0.448,"20042005"
"Clarkson",0.471,"20042005"
"Colgate",0.55,"20042005"
"Colorado College",0.606,"20042005"
"Connecticut",0.397,"20042005"
"Cornell",0.616,"20042005"
"Dartmouth",0.531,"20042005"
"Denver",0.597,"20042005"
"Ferris State",0.485,"20042005"
"Harvard",0.575,"20042005"
"Holy Cross",0.454,"20042005"
"Lake Superior",0.473,"20042005"
"Maine",0.564,"20042005"
"Massachusetts",0.49,"20042005"
"Massachusetts-Lowell",0.54,"20042005"
"Mercyhurst",0.465,"20042005"
"Merrimack",0.444,"20042005"
"Miami",0.491,"20042005"
"Michigan",0.592,"20042005"
"Michigan State",0.539,"20042005"
"Michigan Tech",0.489,"20042005"
"Minnesota",0.572,"20042005"
"Minnesota-Duluth",0.51,"20042005"
"Minnesota State",0.517,"20042005"
"Nebraska-Omaha",0.5,"20042005"
"New Hampshire",0.58,"20042005"
"Niagara",0.479,"20042005"
"North Dakota",0.562,"20042005"
"Northeastern",0.531,"20042005"
"Northern Michigan",0.525,"20042005"
"Notre Dame",0.443,"20042005"
"Ohio State",0.552,"20042005"
"Princeton",0.433,"20042005"
"Providence",0.481,"20042005"
"Quinnipiac",0.467,"20042005"
"Rensselaer",0.453,"20042005"
"Robert Morris",0.43,"20042005"
"Sacred Heart",0.431,"20042005"
"St. Cloud State",0.503,"20042005"
"St. Lawrence",0.505,"20042005"
"Union",0.465,"20042005"
"Vermont",0.54,"20042005"
"Western Michigan",0.489,"20042005"
"Wisconsin",0.557,"20042005"
"Yale",0.432,"20042005"
