"Team","Conference","Season"
"Air Force","Atlantic Hockey","20132014"
"Alabama-Huntsville","WCHA","20132014"
"Alaska","WCHA","20132014"
"Alaska-Anchorage","WCHA","20132014"
"American International","Atlantic Hockey","20132014"
"Army","Atlantic Hockey","20132014"
"Bemidji State","WCHA","20132014"
"Bentley","Atlantic Hockey","20132014"
"Boston College","Hockey East","20132014"
"Boston University","Hockey East","20132014"
"Bowling Green","WCHA","20132014"
"Brown","ECAC","20132014"
"Canisius","Atlantic Hockey","20132014"
"Clarkson","ECAC","20132014"
"Colgate","ECAC","20132014"
"Colorado College","NCHC","20132014"
"Connecticut","Atlantic Hockey","20132014"
"Cornell","ECAC","20132014"
"Dartmouth","ECAC","20132014"
"Denver","NCHC","20132014"
"Ferris State","WCHA","20132014"
"Harvard","ECAC","20132014"
"Holy Cross","Atlantic Hockey","20132014"
"Lake Superior","WCHA","20132014"
"Maine","Hockey East","20132014"
"Massachusetts","Hockey East","20132014"
"Massachusetts-Lowell","Hockey East","20132014"
"Mercyhurst","Atlantic Hockey","20132014"
"Merrimack","Hockey East","20132014"
"Miami","NCHC","20132014"
"Michigan","Big Ten","20132014"
"Michigan State","Big Ten","20132014"
"Michigan Tech","WCHA","20132014"
"Minnesota","Big Ten","20132014"
"Minnesota-Duluth","NCHC","20132014"
"Minnesota State","WCHA","20132014"
"Nebraska-Omaha","NCHC","20132014"
"New Hampshire","Hockey East","20132014"
"Niagara","Atlantic Hockey","20132014"
"North Dakota","NCHC","20132014"
"Northeastern","Hockey East","20132014"
"Northern Michigan","WCHA","20132014"
"Notre Dame","Hockey East","20132014"
"Ohio State","Big Ten","20132014"
"Penn State","Big Ten","20132014"
"Princeton","ECAC","20132014"
"Providence","Hockey East","20132014"
"Quinnipiac","ECAC","20132014"
"Rensselaer","ECAC","20132014"
"RIT","Atlantic Hockey","20132014"
"Robert Morris","Atlantic Hockey","20132014"
"Sacred Heart","Atlantic Hockey","20132014"
"St. Cloud State","NCHC","20132014"
"St. Lawrence","ECAC","20132014"
"Union","ECAC","20132014"
"Vermont","Hockey East","20132014"
"Western Michigan","NCHC","20132014"
"Wisconsin","Big Ten","20132014"
"Yale","ECAC","20132014"
