"Team","RPI","Season"
"Air Force",0.509,"20172018"
"Alabama-Huntsville",0.46,"20172018"
"Alaska",0.444,"20172018"
"Alaska-Anchorage",0.402,"20172018"
"American International",0.473,"20172018"
"Arizona State",0.453,"20172018"
"Army",0.485,"20172018"
"Bemidji State",0.496,"20172018"
"Bentley",0.472,"20172018"
"Boston College",0.527,"20172018"
"Boston University",0.531,"20172018"
"Bowling Green",0.523,"20172018"
"Brown",0.449,"20172018"
"Canisius",0.49,"20172018"
"Clarkson",0.538,"20172018"
"Colgate",0.493,"20172018"
"Colorado College",0.51,"20172018"
"Connecticut",0.49,"20172018"
"Cornell",0.575,"20172018"
"Dartmouth",0.489,"20172018"
"Denver",0.563,"20172018"
"Ferris State",0.462,"20172018"
"Harvard",0.504,"20172018"
"Holy Cross",0.47,"20172018"
"Lake Superior",0.448,"20172018"
"Maine",0.505,"20172018"
"Massachusetts",0.49,"20172018"
"Massachusetts-Lowell",0.484,"20172018"
"Mercyhurst",0.517,"20172018"
"Merrimack",0.477,"20172018"
"Miami",0.5,"20172018"
"Michigan",0.539,"20172018"
"Michigan State",0.487,"20172018"
"Michigan Tech",0.513,"20172018"
"Minnesota",0.534,"20172018"
"Minnesota-Duluth",0.537,"20172018"
"Minnesota State",0.561,"20172018"
"Nebraska-Omaha",0.521,"20172018"
"New Hampshire",0.455,"20172018"
"Niagara",0.45,"20172018"
"North Dakota",0.53,"20172018"
"Northeastern",0.542,"20172018"
"Northern Michigan",0.518,"20172018"
"Notre Dame",0.575,"20172018"
"Ohio State",0.568,"20172018"
"Penn State",0.534,"20172018"
"Princeton",0.522,"20172018"
"Providence",0.544,"20172018"
"Quinnipiac",0.495,"20172018"
"Rensselaer",0.429,"20172018"
"RIT",0.469,"20172018"
"Robert Morris",0.481,"20172018"
"Sacred Heart",0.462,"20172018"
"St. Cloud State",0.584,"20172018"
"St. Lawrence",0.432,"20172018"
"Union",0.516,"20172018"
"Vermont",0.464,"20172018"
"Western Michigan",0.505,"20172018"
"Wisconsin",0.503,"20172018"
"Yale",0.487,"20172018"
