"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","Season"
"Minnesota-Duluth","43","129","98","1343","9.6","1224",".920","21.5","80.8","5","5","","28.10",71.9,"188.9","20082009"
"Minnesota State","38","117","122","1089","10.7","1282",".905","20.1","79.7","11","3","","29.2",72.1,"190.9","20082009"
"Nebraska-Omaha","40","98","103","1181","8.3","1155",".911","15.9","83.7","3","12","","29.7",71.4,"189.6","20082009"
"New Hampshire","38","116","112","1242","9.3","1132",".901","11.6","83.2","7","5","","28.8",71.6,"188.0","20082009"
"Niagara","36","98","92","1066","9.2","1140",".919","15.1","81.0","5","2","","29.0",71.5,"187.6","20082009"
"North Dakota","43","146","118","1324","11.0","1158",".898","17.2","84.3","8","10","","28.11",71.9,"188.9","20082009"
"Northeastern","41","121","91","1095","11.1","1286",".929","14.8","86.2","8","6","","29.8",71.5,"186.6","20082009"
"Northern Michigan","41","111","103","935","11.9","1248",".917","13.4","82.3","7","1","","29.5",72.1,"188.3","20082009"
"Notre Dame","40","135","69","1227","11.0","972",".929","22.6","89.5","6","4","","28.7",71.3,"190.0","20082009"
"Ohio State","42","143","119","1341","10.7","1286",".907","13.8","81.7","4","7","","28.5",72.2,"190.2","20082009"
"Princeton","35","99","74","1323","7.5","952",".922","13.6","85.0","8","1","","29.5",71.5,"188.5","20082009"
"Providence","34","77","133","1000","7.7","999",".867","12.9","72.4","1","4","","28.9",72.1,"191.0","20082009"
"Quinnipiac","39","124","110","1121","11.1","1130",".903","19.9","85.3","6","2","","29.7",71.6,"182.9","20082009"
"Rensselaer","39","76","132","939","8.1","1222",".892","8.7","82.4","4","5","","28.7",71.9,"191.5","20082009"
"RIT","38","148","117","1256","11.8","1087",".892","21.3","82.0","12","3","","29.7",71.2,"185.2","20082009"
"Robert Morris","36","93","121","1045","8.9","1174",".897","18.5","82.5","3","8","","29.4",71.9,"187.6","20082009"
"Sacred Heart","38","99","147","1075","9.2","1360",".892","15.1","79.5","2","9","","29.11",71.2,"184.9","20082009"
"St. Cloud State","38","122","107","1091","11.2","1155",".907","17.5","78.8","2","7","","29.0",71.6,"186.9","20082009"
"St. Lawrence","38","124","92","1195","10.4","1111",".917","17.6","87.6","4","3","","29.6",71.1,"185.8","20082009"
"Union","39","111","107","1195","9.3","1084",".901","17.1","82.9","4","3","","29.5",71.8,"186.9","20082009"
"Vermont","39","121","102","1085","11.2","1068",".904","17.4","81.1","4","6","","28.11",72,"190.0","20082009"
"Western Michigan","41","111","130","1074","10.3","1511",".914","18.8","80.1","7","3","","29.4",71.4,"187.9","20082009"
"Wisconsin","40","131","106","1383","9.5","1175",".910","19.1","88.4","7","7","","28.3",71.8,"188.0","20082009"
"Yale","34","113","76","1148","9.8","907",".916","17.7","89.8","9","3","","28.8",71.2,"185.4","20082009"
