"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","Season"
"Air Force","41","148","86","1426","10.4","1023",".916","20.2","87.4","11","2","","28.7",71.3,"152.0","20082009"
"Alabama-Huntsville","30","63","99","787","8.0","986",".900","14.0","79.2","2","3","","29.9",72,"188.3","20082009"
"Alaska","39","74","68","1125","6.6","1071",".937","10.0","87.6","5","3","","29.5",71.8,"191.7","20082009"
"Alaska-Anchorage","36","95","112","923","10.3","942",".881","16.1","77.8","5","3","","29.9",72.4,"193.3","20082009"
"American International","35","58","141","857","6.8","1119",".874","7.5","75.7","2","9","","29.10",71.1,"181.9","20082009"
"Army","36","92","125","1093","8.4","1211",".897","14.6","83.6","9","8","","29.1",70.8,"186.1","20082009"
"Bemidji State","37","106","97","995","10.7","1059",".908","20.5","85.2","4","1","","29.9",70.8,"177.6","20082009"
"Bentley","38","116","116","1166","9.9","1158",".900","17.4","82.1","3","4","","29.8",71,"182.1","20082009"
"Boston College","37","112","105","1115","10.0","1068",".902","15.8","86.4","6","11","","28.1",71.5,"185.7","20082009"
"Boston University","45","177","91","1370","12.9","1068",".915","21.9","87.4","10","4","","28.4",72.3,"191.0","20082009"
"Bowling Green","38","89","131","1196","7.4","1046",".875","12.2","83.3","8","11","","29.4",70.8,"183.9","20082009"
"Brown","33","60","115","801","7.5","1291",".911","15.4","81.1","3","3","","29.1",72.6,"190.4","20082009"
"Canisius","36","110","108","1006","10.9","1224",".912","15.0","83.9","8","9","","29.5",70.5,"185.3","20082009"
"Clarkson","36","88","115","919","9.6","1120",".897","15.3","83.1","3","7","","28.9",72.6,"189.4","20082009"
"Colgate","37","89","109","1008","8.8","1113",".902","16.5","79.7","6","2","","29.1",72.2,"190.1","20082009"
"Colorado College","38","103","103","1132","9.1","1150",".910","16.0","85.7","3","6","","28.8",71.6,"184.8","20082009"
"Connecticut","36","87","138","863","10.1","1182",".883","14.2","79.6","1","4","","29.4",70.9,"183.4","20082009"
"Cornell","36","92","74","1022","9.0","966",".923","15.3","87.0","2","3","","29.2",72.3,"186.7","20082009"
"Dartmouth","31","88","87","945","9.3","1053",".917","16.4","86.1","7","2","","28.10",72.4,"185.1","20082009"
"Denver","40","132","96","1261","10.5","1196",".920","17.7","87.1","4","2","","28.11",72.1,"186.3","20082009"
"Ferris State","38","90","105","1181","7.6","1149",".909","16.4","85.4","5","7","","29.1",71.8,"186.6","20082009"
"Harvard","31","68","96","898","7.6","1024",".906","18.2","80.3","3","4","","28.4",72,"190.2","20082009"
"Holy Cross","38","106","130","1077","9.8","1133",".885","12.2","80.1","4","9","","28.10",71.4,"182.9","20082009"
"Lake Superior","39","110","115","1193","9.2","1242",".907","12.9","82.8","5","7","","29.4",72.3,"187.2","20082009"
"Maine","39","86","110","1042","8.3","1061",".896","18.1","85.4","4","4","","29.0",72.7,"192.3","20082009"
"Massachusetts","39","112","103","1158","9.7","1133",".909","16.8","83.9","4","7","","29.1",71.7,"186.4","20082009"
"Massachusetts-Lowell","38","112","86","1099","10.2","1026",".916","19.3","87.8","5","2","","29.2",71.3,"188.3","20082009"
"Mercyhurst","40","155","119","1178","13.2","1397",".915","21.5","85.5","5","9","","29.9",71.8,"188.8","20082009"
"Merrimack","34","72","89","894","8.1","982",".909","13.6","83.3","2","2","","29.6",72,"186.2","20082009"
"Miami","41","128","89","1373","9.3","958",".907","18.4","89.7","4","8","","28.11",72.4,"193.5","20082009"
"Michigan","41","145","84","1333","10.9","967",".913","15.8","88.1","6","3","","28.1",71.8,"192.8","20082009"
"Michigan State","38","62","118","911","6.8","1342",".912","11.0","87.4","2","7","","28.6",71.6,"180.7","20082009"
"Michigan Tech","38","62","122","940","6.6","1089",".888","12.6","78.6","3","5","","29.5",72.1,"191.9","20082009"
"Minnesota","37","119","105","1183","10.1","1068",".902","20.1","88.8","6","7","","27.10",72.3,"188.4","20082009"
