"Team","RPI","Season"
"Air Force",0.547,"20162017"
"Alabama-Huntsville",0.427,"20162017"
"Alaska",0.452,"20162017"
"Alaska-Anchorage",0.426,"20162017"
"American International",0.435,"20162017"
"Arizona State",0.465,"20162017"
"Army",0.491,"20162017"
"Bemidji State",0.504,"20162017"
"Bentley",0.473,"20162017"
"Boston College",0.535,"20162017"
"Boston University",0.556,"20162017"
"Bowling Green",0.489,"20162017"
"Brown",0.415,"20162017"
"Canisius",0.513,"20162017"
"Clarkson",0.513,"20162017"
"Colgate",0.455,"20162017"
"Colorado College",0.479,"20162017"
"Connecticut",0.488,"20162017"
"Cornell",0.548,"20162017"
"Dartmouth",0.468,"20162017"
"Denver",0.595,"20162017"
"Ferris State",0.457,"20162017"
"Harvard",0.592,"20162017"
"Holy Cross",0.475,"20162017"
"Lake Superior",0.45,"20162017"
"Maine",0.462,"20162017"
"Massachusetts",0.419,"20162017"
"Massachusetts-Lowell",0.559,"20162017"
"Mercyhurst",0.466,"20162017"
"Merrimack",0.498,"20162017"
"Miami",0.491,"20162017"
"Michigan",0.485,"20162017"
"Michigan State",0.458,"20162017"
"Michigan Tech",0.513,"20162017"
"Minnesota",0.558,"20162017"
"Minnesota-Duluth",0.593,"20162017"
"Minnesota State",0.511,"20162017"
"Nebraska-Omaha",0.526,"20162017"
"New Hampshire",0.49,"20162017"
"Niagara",0.397,"20162017"
"North Dakota",0.546,"20162017"
"Northeastern",0.523,"20162017"
"Northern Michigan",0.458,"20162017"
"Notre Dame",0.54,"20162017"
"Ohio State",0.537,"20162017"
"Penn State",0.552,"20162017"
"Princeton",0.494,"20162017"
"Providence",0.542,"20162017"
"Quinnipiac",0.525,"20162017"
"Rensselaer",0.429,"20162017"
"RIT",0.453,"20162017"
"Robert Morris",0.512,"20162017"
"Sacred Heart",0.472,"20162017"
"St. Cloud State",0.52,"20162017"
"St. Lawrence",0.518,"20162017"
"Union",0.555,"20162017"
"Vermont",0.532,"20162017"
"Western Michigan",0.556,"20162017"
"Wisconsin",0.529,"20162017"
"Yale",0.495,"20162017"
