"Team","Conference","Season"
"Air Force","Atlantic Hockey","20172018"
"Alabama-Huntsville","WCHA","20172018"
"Alaska","WCHA","20172018"
"Alaska-Anchorage","WCHA","20172018"
"American International","Atlantic Hockey","20172018"
"Arizona State","Independent","20172018"
"Army","Atlantic Hockey","20172018"
"Bemidji State","WCHA","20172018"
"Bentley","Atlantic Hockey","20172018"
"Boston College","Hockey East","20172018"
"Boston University","Hockey East","20172018"
"Bowling Green","WCHA","20172018"
"Brown","ECAC","20172018"
"Canisius","Atlantic Hockey","20172018"
"Clarkson","ECAC","20172018"
"Colgate","ECAC","20172018"
"Colorado College","NCHC","20172018"
"Connecticut","Hockey East","20172018"
"Cornell","ECAC","20172018"
"Dartmouth","ECAC","20172018"
"Denver","NCHC","20172018"
"Ferris State","WCHA","20172018"
"Harvard","ECAC","20172018"
"Holy Cross","Atlantic Hockey","20172018"
"Lake Superior","WCHA","20172018"
"Maine","Hockey East","20172018"
"Massachusetts","Hockey East","20172018"
"Massachusetts-Lowell","Hockey East","20172018"
"Mercyhurst","Atlantic Hockey","20172018"
"Merrimack","Hockey East","20172018"
"Miami","NCHC","20172018"
"Michigan","Big Ten","20172018"
"Michigan State","Big Ten","20172018"
"Michigan Tech","WCHA","20172018"
"Minnesota","Big Ten","20172018"
"Minnesota-Duluth","NCHC","20172018"
"Minnesota State","WCHA","20172018"
"Nebraska-Omaha","NCHC","20172018"
"New Hampshire","Hockey East","20172018"
"Niagara","Atlantic Hockey","20172018"
"North Dakota","NCHC","20172018"
"Northeastern","Hockey East","20172018"
"Northern Michigan","WCHA","20172018"
"Notre Dame","Big Ten","20172018"
"Ohio State","Big Ten","20172018"
"Penn State","Big Ten","20172018"
"Princeton","ECAC","20172018"
"Providence","Hockey East","20172018"
"Quinnipiac","ECAC","20172018"
"Rensselaer","ECAC","20172018"
"RIT","Atlantic Hockey","20172018"
"Robert Morris","Atlantic Hockey","20172018"
"Sacred Heart","Atlantic Hockey","20172018"
"St. Cloud State","NCHC","20172018"
"St. Lawrence","ECAC","20172018"
"Union","ECAC","20172018"
"Vermont","Hockey East","20172018"
"Western Michigan","NCHC","20172018"
"Wisconsin","Big Ten","20172018"
"Yale","ECAC","20172018"
