"Team","Conference","Season"
"Air Force","Atlantic Hockey","20142015"
"Alabama-Huntsville","WCHA","20142015"
"Alaska","WCHA","20142015"
"Alaska-Anchorage","WCHA","20142015"
"American International","Atlantic Hockey","20142015"
"Army","Atlantic Hockey","20142015"
"Bemidji State","WCHA","20142015"
"Bentley","Atlantic Hockey","20142015"
"Boston College","Hockey East","20142015"
"Boston University","Hockey East","20142015"
"Bowling Green","WCHA","20142015"
"Brown","ECAC","20142015"
"Canisius","Atlantic Hockey","20142015"
"Clarkson","ECAC","20142015"
"Colgate","ECAC","20142015"
"Colorado College","NCHC","20142015"
"Connecticut","Hockey East","20142015"
"Cornell","ECAC","20142015"
"Dartmouth","ECAC","20142015"
"Denver","NCHC","20142015"
"Ferris State","WCHA","20142015"
"Harvard","ECAC","20142015"
"Holy Cross","Atlantic Hockey","20142015"
"Lake Superior","WCHA","20142015"
"Maine","Hockey East","20142015"
"Massachusetts","Hockey East","20142015"
"Massachusetts-Lowell","Hockey East","20142015"
"Mercyhurst","Atlantic Hockey","20142015"
"Merrimack","Hockey East","20142015"
"Miami","NCHC","20142015"
"Michigan","Big Ten","20142015"
"Michigan State","Big Ten","20142015"
"Michigan Tech","WCHA","20142015"
"Minnesota","Big Ten","20142015"
"Minnesota-Duluth","NCHC","20142015"
"Minnesota State","WCHA","20142015"
"Nebraska-Omaha","NCHC","20142015"
"New Hampshire","Hockey East","20142015"
"Niagara","Atlantic Hockey","20142015"
"North Dakota","NCHC","20142015"
"Northeastern","Hockey East","20142015"
"Northern Michigan","WCHA","20142015"
"Notre Dame","Hockey East","20142015"
"Ohio State","Big Ten","20142015"
"Penn State","Big Ten","20142015"
"Princeton","ECAC","20142015"
"Providence","Hockey East","20142015"
"Quinnipiac","ECAC","20142015"
"Rensselaer","ECAC","20142015"
"RIT","Atlantic Hockey","20142015"
"Robert Morris","Atlantic Hockey","20142015"
"Sacred Heart","Atlantic Hockey","20142015"
"St. Cloud State","NCHC","20142015"
"St. Lawrence","ECAC","20142015"
"Union","ECAC","20142015"
"Vermont","Hockey East","20142015"
"Western Michigan","NCHC","20142015"
"Wisconsin","Big Ten","20142015"
"Yale","ECAC","20142015"
