"Team","Conference","Season"
"Air Force","Atlantic Hockey","20092010"
"Alabama-Huntsville","College Hockey America","20092010"
"Alaska","CCHA","20092010"
"Alaska-Anchorage","WCHA","20092010"
"American International","Atlantic Hockey","20092010"
"Army","Atlantic Hockey","20092010"
"Bemidji State","College Hockey America","20092010"
"Bentley","Atlantic Hockey","20092010"
"Boston College","Hockey East","20092010"
"Boston University","Hockey East","20092010"
"Bowling Green","CCHA","20092010"
"Brown","ECAC","20092010"
"Canisius","Atlantic Hockey","20092010"
"Clarkson","ECAC","20092010"
"Colgate","ECAC","20092010"
"Colorado College","WCHA","20092010"
"Connecticut","Atlantic Hockey","20092010"
"Cornell","ECAC","20092010"
"Dartmouth","ECAC","20092010"
"Denver","WCHA","20092010"
"Ferris State","CCHA","20092010"
"Harvard","ECAC","20092010"
"Holy Cross","Atlantic Hockey","20092010"
"Lake Superior","CCHA","20092010"
"Maine","Hockey East","20092010"
"Massachusetts","Hockey East","20092010"
"Massachusetts-Lowell","Hockey East","20092010"
"Mercyhurst","Atlantic Hockey","20092010"
"Merrimack","Hockey East","20092010"
"Miami","CCHA","20092010"
"Michigan","CCHA","20092010"
"Michigan State","CCHA","20092010"
"Michigan Tech","WCHA","20092010"
"Minnesota","WCHA","20092010"
"Minnesota-Duluth","WCHA","20092010"
"Minnesota State","WCHA","20092010"
"Nebraska-Omaha","CCHA","20092010"
"New Hampshire","Hockey East","20092010"
"Niagara","College Hockey America","20092010"
"North Dakota","WCHA","20092010"
"Northeastern","Hockey East","20092010"
"Northern Michigan","CCHA","20092010"
"Notre Dame","CCHA","20092010"
"Ohio State","CCHA","20092010"
"Princeton","ECAC","20092010"
"Providence","Hockey East","20092010"
"Quinnipiac","ECAC","20092010"
"Rensselaer","ECAC","20092010"
"RIT","Atlantic Hockey","20092010"
"Robert Morris","College Hockey America","20092010"
"Sacred Heart","Atlantic Hockey","20092010"
"St. Cloud State","WCHA","20092010"
"St. Lawrence","ECAC","20092010"
"Union","ECAC","20092010"
"Vermont","Hockey East","20092010"
"Western Michigan","CCHA","20092010"
"Wisconsin","WCHA","20092010"
"Yale","ECAC","20092010"
