"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","SAT","SATA","CF%","USAT","USATA","FF%","ESSAT","ESSATA","ESCF%","ESUSAT","ESUSATA","ESFF%","PPSAT","PPSATA","PPCF%","PPUSAT","PPUSATA","PPFF%","CloseSAT","CloseSATA","CloseCF%","CloseUSAT","CloseUSATA","CloseFF%","Season"
"Air Force","42","133","93","1261","10.5","1127",".917","18.0","89.8","8","4","54.9","22.4",71.7,"182.2","2520","2160","53.8","1915","1604","54.4","1870","1596","54.0","1425","1218","53.9","552","482","53.4","406","310","56.7","1157","965","54.5","866","737","54.0","20162017"
"Alabama-Huntsville","33","72","119","866","8.3","1022",".884","10.8","78.1","4","8","50.7","23.1",71.7,"184.8","1658","1865","47.1","1240","1462","45.9","1236","1358","47.6","930","1060","46.7","378","447","45.8","269","349","43.5","626","746","45.6","478","576","45.4","20162017"
"Alaska","36","79","113","994","7.9","1111",".898","12.8","84.3","3","6","44.7","22.3",71,"186.8","1791","2134","45.6","1450","1705","46.0","1280","1553","45.2","1053","1256","45.6","461","511","47.4","353","390","47.5","826","966","46.1","675","779","46.4","20162017"
"Alaska-Anchorage","34","59","102","733","8.0","1130",".910","8.2","83.1","4","2","46.0","22.10",71.4,"184.3","1260","1811","41.0","946","1434","39.7","857","1281","40.1","652","1036","38.6","357","463","43.5","252","341","42.5","461","704","39.6","351","572","38.0","20162017"
"American International","36","82","122","949","8.6","1138",".893","18.8","77.6","4","3","47.9","22.6",71.9,"186.2","1802","2030","47.0","1359","1591","46.1","1400","1480","48.6","1057","1170","47.5","350","492","41.6","262","370","41.5","846","937","47.4","649","743","46.6","20162017"
"Arizona State","30","76","129","748","10.2","1122",".885","14.4","74.5","1","9","45.1","22.5",72.5,"193.9","1435","2001","41.8","1077","1629","39.8","1073","1530","41.2","814","1238","39.7","306","399","43.4","215","324","39.9","577","755","43.3","434","617","41.3","20162017"
"Army","37","100","78","1077","9.3","1122",".930","14.6","86.7","4","1","47.7","22.10",72,"189.4","1918","2081","48.0","1476","1563","48.6","1421","1595","47.1","1104","1199","47.9","434","426","50.5","315","314","50.1","937","1018","47.9","714","760","48.4","20162017"
"Bemidji State","41","94","79","1167","8.1","1028",".923","18.6","88.0","4","3","51.2","22.9",71.7,"186.5","2200","2097","51.2","1682","1556","51.9","1679","1670","50.1","1279","1249","50.6","455","355","56.2","346","244","58.6","1088","1054","50.8","834","793","51.3","20162017"
"Bentley","39","101","120","1106","9.1","1327",".910","15.0","81.1","9","5","47.8","22.6",71.3,"186.8","2028","2374","46.1","1575","1887","45.5","1584","1810","46.7","1227","1454","45.8","384","511","42.9","288","383","42.9","998","1104","47.5","778","887","46.7","20162017"
"Boston College","40","132","104","1319","10.0","1171",".911","16.3","83.3","11","3","54.4","20.7",71.9,"185.1","2384","2044","53.8","1850","1620","53.3","1820","1473","55.3","1413","1162","54.9","482","502","49.0","362","396","47.8","1126","868","56.5","873","676","56.4","20162017"
"Boston University","39","123","90","1232","10.0","1175",".923","19.4","87.1","9","4","50.7","20.7",72.6,"190.2","2304","2353","49.5","1751","1747","50.1","1730","1698","50.5","1309","1271","50.7","491","611","44.6","368","437","45.7","982","1056","48.2","740","778","48.7","20162017"
"Bowling Green","41","120","102","1231","9.7","1054",".903","15.5","83.1","4","2","51.9","22.3",72.3,"190.8","2391","1979","54.7","1844","1567","54.1","1794","1498","54.5","1386","1194","53.7","521","424","55.1","394","325","54.8","1127","976","53.6","866","770","52.9","20162017"
"Brown","31","66","132","828","8.0","1021",".871","7.6","72.2","5","3","47.5","22.1",72.7,"189.7","1519","1846","45.1","1136","1409","44.6","1234","1396","46.9","921","1066","46.4","236","408","36.6","171","308","35.7","646","768","45.7","486","579","45.6","20162017"
"Canisius","39","107","85","1097","9.8","1294",".934","21.0","87.2","1","5","48.3","22.3",72.6,"188.7","2040","2422","45.7","1595","1909","45.5","1533","1866","45.1","1195","1482","44.6","442","484","47.7","340","367","48.1","873","1022","46.1","693","819","45.8","20162017"
"Clarkson","39","124","112","1153","10.8","1131",".901","20.2","83.1","6","5","50.5","22.6",72.4,"192.6","2131","2018","51.4","1743","1651","51.4","1560","1412","52.5","1279","1168","52.3","470","546","46.3","372","427","46.6","926","821","53.0","752","684","52.4","20162017"
"Colgate","37","78","113","1063","7.3","1186",".905","17.6","83.3","2","5","52.2","22.4",72.2,"191.1","1980","2364","45.6","1522","1781","46.1","1552","1754","46.9","1205","1336","47.4","385","532","42.0","285","383","42.7","968","1144","45.8","744","864","46.3","20162017"
"Colorado College","36","70","120","930","7.5","1137",".894","11.0","78.8","5","9","45.5","21.9",70.8,"175.7","1782","2181","45.0","1344","1707","44.1","1250","1607","43.8","932","1260","42.5","473","499","48.7","362","380","48.8","654","924","41.4","487","731","40.0","20162017"
"Connecticut","36","96","104","1053","9.1","1178",".912","16.3","81.8","2","2","48.0","21.7",73.2,"188.4","2018","2288","46.9","1549","1765","46.7","1564","1749","47.2","1219","1368","47.1","401","474","45.8","287","342","45.6","899","1027","46.7","710","807","46.8","20162017"
"Cornell","35","99","81","974","10.2","960",".916","17.5","82.3","1","3","51.1","22.0",73,"195.1","1800","1968","47.8","1398","1415","49.7","1339","1413","48.7","1046","1028","50.4","403","476","45.8","302","323","48.3","795","774","50.7","618","557","52.6","20162017"
"Dartmouth","31","83","111","994","8.4","953",".884","16.3","72.5","1","4","51.0","21.9",72,"186.1","1981","1813","52.2","1507","1405","51.8","1505","1395","51.9","1152","1075","51.7","431","355","54.8","317","272","53.8","850","812","51.1","659","627","51.2","20162017"
