"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","SAT","SATA","CF%","USAT","USATA","FF%","ESSAT","ESSATA","ESCF%","ESUSAT","ESUSATA","ESFF%","PPSAT","PPSATA","PPCF%","PPUSAT","PPUSATA","PPFF%","CloseSAT","CloseSATA","CloseCF%","CloseUSAT","CloseUSATA","CloseFF%","Season"
"Denver","44","152","80","1496","10.2","1145",".930","21.3","83.5","3","2","54.2","22.1",71.7,"182.4","2762","2181","55.9","2142","1655","56.4","2112","1659","56.0","1643","1262","56.6","576","463","55.4","436","341","56.1","1266","922","57.9","969","714","57.6","20162017"
"Ferris State","36","94","99","1082","8.7","1133",".913","16.0","83.6","4","3","49.5","22.3",71.5,"188.3","1937","2071","48.3","1480","1577","48.4","1407","1501","48.4","1091","1157","48.5","468","486","49.1","336","349","49.1","860","918","48.4","678","722","48.4","20162017"
"Harvard","36","146","77","1239","11.8","994",".923","26.4","82.6","11","3","51.9","21.7",72.3,"188.1","2300","1962","54.0","1780","1450","55.1","1647","1514","52.1","1270","1123","53.1","545","400","57.7","411","289","58.7","989","857","53.6","755","631","54.5","20162017"
"Holy Cross","36","99","106","1041","9.5","969",".891","17.0","76.4","1","4","51.6","22.1",72.1,"187.7","1893","1910","49.8","1474","1465","50.2","1430","1454","49.6","1121","1126","49.9","442","389","53.2","335","282","54.3","867","971","47.2","676","741","47.7","20162017"
"Lake Superior","36","103","119","985","10.5","1158",".897","13.6","84.5","6","8","49.9","22.0",71.7,"186.6","1843","2202","45.6","1452","1679","46.4","1342","1632","45.1","1059","1250","45.9","417","482","46.4","322","354","47.6","836","1042","44.5","647","785","45.2","20162017"
"Maine","36","102","125","1056","9.7","1256",".900","18.7","78.8","4","6","49.3","21.9",73.6,"195.9","2033","2364","46.2","1523","1800","45.8","1519","1764","46.3","1149","1346","46.1","442","542","44.9","315","400","44.1","857","1085","44.1","634","821","43.6","20162017"
"Massachusetts","36","66","132","910","7.3","1174",".888","8.8","80.1","1","4","49.2","22.2",71.3,"186.5","1821","2031","47.3","1391","1658","45.6","1362","1441","48.6","1049","1185","47.0","412","522","44.1","302","416","42.1","686","725","48.6","530","590","47.3","20162017"
"Massachusetts-Lowell","41","151","95","1196","12.6","1072",".911","27.0","85.8","4","6","54.1","22.2",72.3,"193.3","2347","2120","52.5","1776","1631","52.1","1734","1634","51.5","1314","1261","51.0","530","427","55.4","395","320","55.2","1045","938","52.7","802","731","52.3","20162017"
"Mercyhurst","39","106","123","1194","8.9","1351",".909","15.3","76.9","0","8","49.1","22.3",71.3,"185.4","2226","2426","47.9","1680","1874","47.3","1577","1718","47.9","1190","1320","47.4","609","626","49.3","458","482","48.7","888","1012","46.7","673","777","46.4","20162017"
"Merrimack","37","90","96","1114","8.1","1068",".910","15.0","79.6","3","4","50.5","21.10",72.6,"188.0","2151","1927","52.7","1639","1498","52.2","1584","1433","52.5","1217","1116","52.2","498","431","53.6","365","325","52.9","830","775","51.7","649","614","51.4","20162017"
"Miami","36","91","113","917","9.9","1123",".899","17.5","83.7","2","6","46.3","21.7",72.5,"192.5","1780","2018","46.9","1364","1610","45.9","1361","1537","47.0","1052","1226","46.2","363","413","46.8","260","321","44.8","933","1109","45.7","726","883","45.1","20162017"
"Michigan","35","92","111","934","9.9","1253",".911","20.3","81.4","6","5","48.5","21.3",73,"196.6","1847","2472","42.8","1374","1857","42.5","1460","1904","43.4","1090","1436","43.2","323","505","39.0","229","374","38.0","864","1103","43.9","647","852","43.2","20162017"
"Michigan State","34","83","133","874","9.5","1033",".871","15.9","72.0","5","5","48.7","21.6",72,"190.5","1836","1850","49.8","1357","1474","47.9","1416","1417","50.0","1058","1138","48.2","378","369","50.6","264","282","48.4","798","806","49.8","596","661","47.4","20162017"
"Michigan Tech","45","128","100","1391","9.2","1062",".906","19.0","86.2","8","4","51.8","22.3",71.9,"186.9","2719","2095","56.5","2106","1545","57.7","2107","1578","57.2","1639","1165","58.5","525","458","53.4","389","324","54.6","1320","953","58.1","1020","691","59.6","20162017"
"Minnesota","37","140","103","1261","11.1","1077",".904","25.6","81.1","6","4","52.0","21.8",71.7,"189.6","2320","2015","53.5","1765","1532","53.5","1738","1607","52.0","1324","1232","51.8","502","356","58.5","375","257","59.3","1097","968","53.1","843","741","53.2","20162017"
"Minnesota-Duluth","42","140","95","1340","10.4","1181",".920","20.2","81.1","6","1","46.8","22.2",72.8,"195.6","2551","2274","52.9","1965","1657","54.3","1924","1665","53.6","1454","1212","54.5","529","542","49.4","417","391","51.6","1320","1102","54.5","1003","810","55.3","20162017"
"Minnesota State","39","119","95","1227","9.7","974",".902","19.5","82.8","5","3","51.2","22.8",71.5,"184.4","2334","1998","53.9","1808","1461","55.3","1769","1497","54.2","1372","1099","55.5","501","437","53.4","383","305","55.7","1023","871","54.0","784","631","55.4","20162017"
"Nebraska-Omaha","39","122","128","1174","10.4","1252",".898","23.2","78.5","9","6","47.2","21.9",72.1,"190.5","2232","2329","48.9","1720","1786","49.1","1590","1709","48.2","1228","1316","48.3","574","534","51.8","433","395","52.3","916","984","48.2","693","748","48.1","20162017"
"New Hampshire","40","124","136","1135","10.9","1338",".898","21.2","79.9","3","5","43.8","21.9",71.2,"186.3","2059","2484","45.3","1596","1940","45.1","1519","1982","43.4","1187","1537","43.6","474","423","52.8","351","334","51.2","853","1092","43.9","663","848","43.9","20162017"
"Niagara","39","76","168","1011","7.5","1417",".881","12.3","77.4","6","4","46.7","22.2",72.3,"189.2","1952","2522","43.6","1477","1989","42.6","1435","1853","43.6","1091","1448","43.0","445","586","43.2","322","464","41.0","769","972","44.2","593","743","44.4","20162017"
"North Dakota","40","127","104","1363","9.3","995",".895","18.5","83.8","6","5","53.7","21.7",72.6,"194.8","2617","1902","57.9","1946","1434","57.6","1935","1442","57.3","1452","1079","57.4","604","383","61.2","427","289","59.6","1135","856","57.0","855","641","57.2","20162017"
"Northeastern","38","140","113","1145","12.2","1079",".895","27.9","82.7","5","6","45.4","22.0",72.1,"189.6","2144","2164","49.8","1665","1576","51.4","1579","1642","49.0","1208","1187","50.4","504","459","52.3","403","332","54.8","929","1016","47.8","713","737","49.2","20162017"
"Northern Michigan","39","88","108","953","9.2","1240",".913","14.2","81.5","5","7","49.7","22.6",71.4,"184.5","1854","2216","45.6","1378","1695","44.8","1355","1552","46.6","1029","1189","46.4","429","589","42.1","290","442","39.6","708","856","45.3","532","647","45.1","20162017"
"Notre Dame","40","128","93","1310","9.8","1201",".923","18.5","85.6","4","1","53.5","21.3",72.5,"190.9","2465","2254","52.2","1882","1713","52.4","1866","1763","51.4","1424","1364","51.1","532","428","55.4","400","295","57.6","1158","1073","51.9","886","830","51.6","20162017"
"Ohio State","39","153","113","1195","12.8","1213",".907","31.4","74.5","4","5","52.7","22.2",71.5,"185.1","2176","2356","48.0","1698","1739","49.4","1679","1842","47.7","1319","1363","49.2","429","451","48.8","322","320","50.2","954","1060","47.4","751","786","48.9","20162017"
"Penn State","39","160","108","1719","9.3","1074",".899","20.5","82.1","9","4","54.9","21.11",71.9,"189.3","3102","2083","59.8","2435","1552","61.1","2445","1700","59.0","1927","1267","60.3","576","305","65.4","435","222","66.2","1334","927","59.0","1050","692","60.3","20162017"
"Princeton","34","103","111","1215","8.5","1168",".905","21.1","82.8","0","3","46.8","22.2",72.5,"191.6","2283","2247","50.4","1781","1727","50.8","1804","1802","50.0","1421","1390","50.6","422","378","52.8","315","278","53.1","1062","1090","49.3","836","834","50.1","20162017"
"Providence","39","116","92","1356","8.6","995",".908","18.1","85.6","1","6","53.5","21.7",72.1,"191.9","2359","1836","56.2","1870","1398","57.2","1797","1400","56.2","1422","1092","56.6","509","368","58.0","399","246","61.9","1185","887","57.2","927","691","57.3","20162017"
"Quinnipiac","40","121","101","1421","8.5","1044",".903","18.3","85.9","1","4","53.1","22.4",72.2,"189.7","2703","2075","56.6","2059","1518","57.6","1898","1493","56.0","1421","1093","56.5","729","471","60.8","570","326","63.6","993","763","56.5","746","560","57.1","20162017"
"Rensselaer","37","83","138","1001","8.3","1328",".896","21.3","78.3","5","4","44.6","21.8",71.6,"185.2","1886","2436","43.6","1437","1892","43.2","1409","1787","44.1","1067","1372","43.7","411","557","42.5","310","448","40.9","754","1028","42.3","576","784","42.4","20162017"
"RIT","37","108","111","1269","8.5","980",".887","18.8","79.1","3","6","53.9","22.10",72.7,"192.7","2375","1911","55.4","1787","1441","55.4","1783","1377","56.4","1355","1053","56.3","506","471","51.8","356","337","51.4","985","841","53.9","745","645","53.6","20162017"
"Robert Morris","38","123","95","1179","10.4","1178",".919","22.3","84.5","10","2","51.2","22.6",71.3,"190.1","2269","2159","51.2","1738","1652","51.3","1573","1517","50.9","1207","1157","51.1","604","570","51.4","450","431","51.1","947","849","52.7","723","658","52.4","20162017"
"Sacred Heart","37","88","116","1086","8.1","1129",".897","14.3","85.6","6","7","47.7","22.11",72,"185.8","1986","2126","48.3","1548","1626","48.8","1421","1502","48.6","1120","1147","49.4","479","544","46.8","350","408","46.2","908","976","48.2","712","744","48.9","20162017"
"St. Cloud State","36","105","109","1105","9.5","1059",".897","20.1","83.1","4","2","50.7","21.7",71.4,"185.3","2058","1928","51.6","1582","1509","51.2","1638","1548","51.4","1277","1206","51.4","374","326","53.4","264","256","50.8","1035","1026","50.2","803","801","50.1","20162017"
"St. Lawrence","37","104","88","1081","9.6","1199",".927","13.7","86.3","7","4","48.8","22.3",71.9,"186.6","2023","2196","47.9","1592","1717","48.1","1412","1592","47.0","1108","1263","46.7","522","528","49.7","410","386","51.5","847","984","46.3","675","783","46.3","20162017"
"Union","38","143","113","1255","11.4","1197",".906","21.1","81.0","7","5","54.6","22.2",72.6,"186.9","2334","2227","51.2","1766","1703","50.9","1714","1683","50.5","1295","1296","50.0","540","478","53.0","401","348","53.5","1108","966","53.4","827","750","52.4","20162017"
"Vermont","38","122","106","1196","10.2","1097",".903","19.0","83.4","1","4","50.3","22.9",70.5,"186.2","2117","2005","51.4","1653","1571","51.3","1582","1444","52.3","1270","1133","52.9","485","505","49.0","343","389","46.9","911","801","53.2","724","632","53.4","20162017"
"Western Michigan","40","133","114","1248","10.7","1187",".904","20.4","81.4","5","7","51.5","22.1",73,"198.6","2188","2260","49.2","1712","1712","50.0","1635","1603","50.5","1286","1212","51.5","470","598","44.0","351","446","44.0","1076","977","52.4","855","730","53.9","20162017"
"Wisconsin","36","122","118","1198","10.2","1027",".885","21.5","84.5","6","6","48.0","21.6",72,"192.7","2262","1960","53.6","1716","1509","53.2","1730","1513","53.3","1308","1160","53.0","446","377","54.2","334","286","53.9","986","877","52.9","745","675","52.5","20162017"
"Yale","33","99","98","1060","9.3","965",".898","19.9","80.3","2","7","50.3","21.10",72,"185.1","2158","1805","54.5","1587","1411","52.9","1654","1387","54.4","1234","1072","53.5","427","373","53.4","293","299","49.5","992","889","52.7","737","700","51.3","20162017"
