"Team","Conference","Season"
"Air Force","Atlantic Hockey","20102011"
"Alabama-Huntsville","Independent","20102011"
"Alaska","CCHA","20102011"
"Alaska-Anchorage","WCHA","20102011"
"American International","Atlantic Hockey","20102011"
"Army","Atlantic Hockey","20102011"
"Bemidji State","WCHA","20102011"
"Bentley","Atlantic Hockey","20102011"
"Boston College","Hockey East","20102011"
"Boston University","Hockey East","20102011"
"Bowling Green","CCHA","20102011"
"Brown","ECAC","20102011"
"Canisius","Atlantic Hockey","20102011"
"Clarkson","ECAC","20102011"
"Colgate","ECAC","20102011"
"Colorado College","WCHA","20102011"
"Connecticut","Atlantic Hockey","20102011"
"Cornell","ECAC","20102011"
"Dartmouth","ECAC","20102011"
"Denver","WCHA","20102011"
"Ferris State","CCHA","20102011"
"Harvard","ECAC","20102011"
"Holy Cross","Atlantic Hockey","20102011"
"Lake Superior","CCHA","20102011"
"Maine","Hockey East","20102011"
"Massachusetts","Hockey East","20102011"
"Massachusetts-Lowell","Hockey East","20102011"
"Mercyhurst","Atlantic Hockey","20102011"
"Merrimack","Hockey East","20102011"
"Miami","CCHA","20102011"
"Michigan","CCHA","20102011"
"Michigan State","CCHA","20102011"
"Michigan Tech","WCHA","20102011"
"Minnesota","WCHA","20102011"
"Minnesota-Duluth","WCHA","20102011"
"Minnesota State","WCHA","20102011"
"Nebraska-Omaha","WCHA","20102011"
"New Hampshire","Hockey East","20102011"
"Niagara","Atlantic Hockey","20102011"
"North Dakota","WCHA","20102011"
"Northeastern","Hockey East","20102011"
"Northern Michigan","CCHA","20102011"
"Notre Dame","CCHA","20102011"
"Ohio State","CCHA","20102011"
"Princeton","ECAC","20102011"
"Providence","Hockey East","20102011"
"Quinnipiac","ECAC","20102011"
"Rensselaer","ECAC","20102011"
"RIT","Atlantic Hockey","20102011"
"Robert Morris","Atlantic Hockey","20102011"
"Sacred Heart","Atlantic Hockey","20102011"
"St. Cloud State","WCHA","20102011"
"St. Lawrence","ECAC","20102011"
"Union","ECAC","20102011"
"Vermont","Hockey East","20102011"
"Western Michigan","CCHA","20102011"
"Wisconsin","WCHA","20102011"
"Yale","ECAC","20102011"
