"Team","RPI","Season"
"Air Force",0.512,"20102011"
"Alabama-Huntsville",0.406,"20102011"
"Alaska",0.509,"20102011"
"Alaska-Anchorage",0.514,"20102011"
"American International",0.41,"20102011"
"Army",0.439,"20102011"
"Bemidji State",0.506,"20102011"
"Bentley",0.439,"20102011"
"Boston College",0.582,"20102011"
"Boston University",0.528,"20102011"
"Bowling Green",0.448,"20102011"
"Brown",0.481,"20102011"
"Canisius",0.463,"20102011"
"Clarkson",0.483,"20102011"
"Colgate",0.454,"20102011"
"Colorado College",0.526,"20102011"
"Connecticut",0.465,"20102011"
"Cornell",0.508,"20102011"
"Dartmouth",0.528,"20102011"
"Denver",0.556,"20102011"
"Ferris State",0.508,"20102011"
"Harvard",0.471,"20102011"
"Holy Cross",0.478,"20102011"
"Lake Superior",0.495,"20102011"
"Maine",0.525,"20102011"
"Massachusetts",0.443,"20102011"
"Massachusetts-Lowell",0.426,"20102011"
"Mercyhurst",0.47,"20102011"
"Merrimack",0.552,"20102011"
"Miami",0.562,"20102011"
"Michigan",0.556,"20102011"
"Michigan State",0.492,"20102011"
"Michigan Tech",0.427,"20102011"
"Minnesota",0.518,"20102011"
"Minnesota-Duluth",0.548,"20102011"
"Minnesota State",0.498,"20102011"
"Nebraska-Omaha",0.533,"20102011"
"New Hampshire",0.543,"20102011"
"Niagara",0.497,"20102011"
"North Dakota",0.587,"20102011"
"Northeastern",0.497,"20102011"
"Northern Michigan",0.489,"20102011"
"Notre Dame",0.543,"20102011"
"Ohio State",0.489,"20102011"
"Princeton",0.511,"20102011"
"Providence",0.461,"20102011"
"Quinnipiac",0.503,"20102011"
"Rensselaer",0.524,"20102011"
"RIT",0.506,"20102011"
"Robert Morris",0.499,"20102011"
"Sacred Heart",0.411,"20102011"
"St. Cloud State",0.511,"20102011"
"St. Lawrence",0.475,"20102011"
"Union",0.553,"20102011"
"Vermont",0.465,"20102011"
"Western Michigan",0.53,"20102011"
"Wisconsin",0.52,"20102011"
"Yale",0.579,"20102011"
