"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","Season"
"Air Force","37","103","96","1245","8.3","1119",".914","19.9","88.2","6","4","","27.10",71,"153.2","20092010"
"Alabama-Huntsville","33","73","89","800","9.1","1141",".922","14.9","86.6","0","3","","29.0",71.6,"185.5","20092010"
"Alaska","39","108","93","1135","9.5","1069",".913","19.2","84.3","1","1","","28.7",71.4,"192.0","20092010"
"Alaska-Anchorage","36","87","141","880","9.9","1017",".861","13.1","79.5","7","14","","28.10",72.9,"191.6","20092010"
"American International","33","69","131","904","7.6","1192",".890","11.5","80.8","6","6","","28.6",71.3,"181.2","20092010"
"Army","36","98","114","1133","8.6","1199",".905","16.5","82.8","9","5","","27.9",71,"186.9","20092010"
"Bemidji State","37","128","87","1064","12.0","1019",".915","18.8","85.2","5","3","","28.8",71,"184.5","20092010"
"Bentley","35","94","123","896","10.5","1089",".887","15.4","80.7","5","4","","28.8",71.2,"181.7","20092010"
"Boston College","42","171","104","1385","12.3","1112",".906","21.2","84.3","7","3","","26.9",71.4,"184.9","20092010"
"Boston University","38","123","124","1246","9.9","1092",".886","19.1","81.0","10","1","","27.5",72.7,"191.5","20092010"
"Bowling Green","36","71","138","872","8.1","1218",".887","11.7","74.9","0","5","","28.4",71.2,"184.3","20092010"
"Brown","37","103","134","1046","9.8","1262",".894","13.1","79.1","8","6","","28.1",72,"187.8","20092010"
"Canisius","37","125","122","1155","10.8","1280",".905","22.0","78.9","2","5","","28.10",70.7,"184.8","20092010"
"Clarkson","37","92","136","960","9.6","1269",".893","16.8","76.9","4","4","","27.9",71.9,"188.7","20092010"
"Colgate","36","118","119","1100","10.7","1098",".892","18.7","78.8","4","3","","27.11",72,"188.1","20092010"
"Colorado College","39","123","113","1181","10.4","1177",".904","20.4","80.3","6","3","","27.6",72.1,"188.0","20092010"
"Connecticut","37","59","135","844","7.0","1263",".893","11.4","80.4","5","3","","28.6",71.7,"186.2","20092010"
"Cornell","34","107","67","922","11.6","982",".932","20.6","87.9","0","4","","27.8",72.6,"187.3","20092010"
"Dartmouth","32","96","115","1039","9.2","1095",".895","17.9","75.7","4","3","","27.11",72.1,"184.5","20092010"
"Denver","41","133","99","1287","10.3","1257",".921","20.1","86.5","7","5","","27.10",72.2,"186.4","20092010"
"Ferris State","40","118","92","1395","8.5","1145",".920","19.2","88.4","6","5","","28.5",71.7,"188.0","20092010"
"Harvard","33","82","113","946","8.7","1159",".903","17.2","79.5","1","4","","27.3",72.2,"195.3","20092010"
"Holy Cross","37","87","102","1137","7.7","1032",".901","16.1","83.2","3","7","","28.1",71.3,"182.5","20092010"
"Lake Superior","38","93","118","1201","7.7","1214",".903","15.9","84.3","6","4","","28.10",72.4,"189.0","20092010"
"Maine","39","143","130","1135","12.6","1110",".883","27.7","80.1","5","5","","28.1",72,"186.9","20092010"
"Massachusetts","36","105","117","1084","9.7","1089",".893","20.1","77.0","2","5","","28.4",71.7,"186.4","20092010"
"Massachusetts-Lowell","39","114","92","1132","10.1","1139",".919","19.4","83.2","1","4","","28.7",71.1,"186.3","20092010"
"Mercyhurst","38","121","118","1143","10.6","1318",".910","13.4","79.8","8","4","","29.0",71.5,"186.8","20092010"
"Merrimack","37","109","116","1128","9.7","1152",".899","21.1","81.2","0","5","","28.8",72,"188.5","20092010"
"Miami","44","147","86","1395","10.5","1090",".921","18.1","86.2","7","3","","27.8",72.4,"190.3","20092010"
"Michigan","45","148","102","1536","9.6","1054",".903","19.1","86.0","5","3","","27.2",71.8,"188.1","20092010"
"Michigan State","38","115","97","1051","10.9","1135",".915","19.1","82.1","5","5","","27.6",72.2,"183.4","20092010"
"Michigan Tech","36","74","148","936","7.9","1339",".889","15.7","71.8","4","9","","28.2",71.9,"190.7","20092010"
"Minnesota","39","106","110","1232","8.6","1160",".905","18.3","82.0","5","5","","27.3",72.4,"189.2","20092010"
"Minnesota-Duluth","40","126","109","1311","9.6","1098",".901","23.0","82.7","4","6","","27.7",71.9,"191.2","20092010"
"Minnesota State","39","110","112","1193","9.2","1181",".905","18.4","81.9","6","4","","28.1",72.3,"190.6","20092010"
