"Team","Conference","Season"
"Air Force","Atlantic Hockey","20072008"
"Alabama-Huntsville","College Hockey America","20072008"
"Alaska","CCHA","20072008"
"Alaska-Anchorage","WCHA","20072008"
"American International","Atlantic Hockey","20072008"
"Army","Atlantic Hockey","20072008"
"Bemidji State","College Hockey America","20072008"
"Bentley","Atlantic Hockey","20072008"
"Boston College","Hockey East","20072008"
"Boston University","Hockey East","20072008"
"Bowling Green","CCHA","20072008"
"Brown","ECAC","20072008"
"Canisius","Atlantic Hockey","20072008"
"Clarkson","ECAC","20072008"
"Colgate","ECAC","20072008"
"Colorado College","WCHA","20072008"
"Connecticut","Atlantic Hockey","20072008"
"Cornell","ECAC","20072008"
"Dartmouth","ECAC","20072008"
"Denver","WCHA","20072008"
"Ferris State","CCHA","20072008"
"Harvard","ECAC","20072008"
"Holy Cross","Atlantic Hockey","20072008"
"Lake Superior","CCHA","20072008"
"Maine","Hockey East","20072008"
"Massachusetts","Hockey East","20072008"
"Massachusetts-Lowell","Hockey East","20072008"
"Mercyhurst","Atlantic Hockey","20072008"
"Merrimack","Hockey East","20072008"
"Miami","CCHA","20072008"
"Michigan","CCHA","20072008"
"Michigan State","CCHA","20072008"
"Michigan Tech","WCHA","20072008"
"Minnesota","WCHA","20072008"
"Minnesota-Duluth","WCHA","20072008"
"Minnesota State","WCHA","20072008"
"Nebraska-Omaha","CCHA","20072008"
"New Hampshire","Hockey East","20072008"
"Niagara","College Hockey America","20072008"
"North Dakota","WCHA","20072008"
"Northeastern","Hockey East","20072008"
"Northern Michigan","CCHA","20072008"
"Notre Dame","CCHA","20072008"
"Ohio State","CCHA","20072008"
"Princeton","ECAC","20072008"
"Providence","Hockey East","20072008"
"Quinnipiac","ECAC","20072008"
"Rensselaer","ECAC","20072008"
"RIT","Atlantic Hockey","20072008"
"Robert Morris","College Hockey America","20072008"
"Sacred Heart","Atlantic Hockey","20072008"
"St. Cloud State","WCHA","20072008"
"St. Lawrence","ECAC","20072008"
"Union","ECAC","20072008"
"Vermont","Hockey East","20072008"
"Wayne State","College Hockey America","20072008"
"Western Michigan","CCHA","20072008"
"Wisconsin","WCHA","20072008"
"Yale","ECAC","20072008"
