"Team","RPI","Season"
"Air Force",0.481,"20062007"
"Alabama-Huntsville",0.463,"20062007"
"Alaska",0.466,"20062007"
"Alaska-Anchorage",0.491,"20062007"
"American International",0.406,"20062007"
"Army",0.484,"20062007"
"Bemidji State",0.49,"20062007"
"Bentley",0.434,"20062007"
"Boston College",0.56,"20062007"
"Boston University",0.545,"20062007"
"Bowling Green",0.43,"20062007"
"Brown",0.476,"20062007"
"Canisius",0.42,"20062007"
"Clarkson",0.564,"20062007"
"Colgate",0.482,"20062007"
"Colorado College",0.523,"20062007"
"Connecticut",0.461,"20062007"
"Cornell",0.507,"20062007"
"Dartmouth",0.528,"20062007"
"Denver",0.533,"20062007"
"Ferris State",0.479,"20062007"
"Harvard",0.499,"20062007"
"Holy Cross",0.432,"20062007"
"Lake Superior",0.51,"20062007"
"Maine",0.531,"20062007"
"Massachusetts",0.533,"20062007"
"Massachusetts-Lowell",0.458,"20062007"
"Mercyhurst",0.429,"20062007"
"Merrimack",0.413,"20062007"
"Miami",0.532,"20062007"
"Michigan",0.549,"20062007"
"Michigan State",0.54,"20062007"
"Michigan Tech",0.522,"20062007"
"Minnesota",0.584,"20062007"
"Minnesota-Duluth",0.49,"20062007"
"Minnesota State",0.504,"20062007"
"Nebraska-Omaha",0.505,"20062007"
"New Hampshire",0.562,"20062007"
"Niagara",0.501,"20062007"
"North Dakota",0.554,"20062007"
"Northeastern",0.491,"20062007"
"Northern Michigan",0.478,"20062007"
"Notre Dame",0.578,"20062007"
"Ohio State",0.498,"20062007"
"Princeton",0.493,"20062007"
"Providence",0.465,"20062007"
"Quinnipiac",0.524,"20062007"
"Rensselaer",0.471,"20062007"
"RIT",0.505,"20062007"
"Robert Morris",0.466,"20062007"
"Sacred Heart",0.503,"20062007"
"St. Cloud State",0.562,"20062007"
"St. Lawrence",0.538,"20062007"
"Union",0.483,"20062007"
"Vermont",0.517,"20062007"
"Wayne State",0.455,"20062007"
"Western Michigan",0.504,"20062007"
"Wisconsin",0.529,"20062007"
"Yale",0.477,"20062007"
