"Team","RPI","Season"
"Air Force",0.509,"20152016"
"Alabama-Huntsville",0.432,"20152016"
"Alaska",0.446,"20152016"
"Alaska-Anchorage",0.448,"20152016"
"American International",0.401,"20152016"
"Arizona State",0.403,"20152016"
"Army",0.469,"20152016"
"Bemidji State",0.495,"20152016"
"Bentley",0.461,"20152016"
"Boston College",0.571,"20152016"
"Boston University",0.549,"20152016"
"Bowling Green",0.513,"20152016"
"Brown",0.452,"20152016"
"Canisius",0.445,"20152016"
"Clarkson",0.518,"20152016"
"Colgate",0.469,"20152016"
"Colorado College",0.442,"20152016"
"Connecticut",0.462,"20152016"
"Cornell",0.531,"20152016"
"Dartmouth",0.52,"20152016"
"Denver",0.571,"20152016"
"Ferris State",0.507,"20152016"
"Harvard",0.552,"20152016"
"Holy Cross",0.494,"20152016"
"Lake Superior",0.464,"20152016"
"Maine",0.445,"20152016"
"Massachusetts",0.453,"20152016"
"Massachusetts-Lowell",0.552,"20152016"
"Mercyhurst",0.484,"20152016"
"Merrimack",0.478,"20152016"
"Miami",0.512,"20152016"
"Michigan",0.567,"20152016"
"Michigan State",0.46,"20152016"
"Michigan Tech",0.535,"20152016"
"Minnesota",0.526,"20152016"
"Minnesota-Duluth",0.537,"20152016"
"Minnesota State",0.519,"20152016"
"Nebraska-Omaha",0.523,"20152016"
"New Hampshire",0.471,"20152016"
"Niagara",0.414,"20152016"
"North Dakota",0.588,"20152016"
"Northeastern",0.543,"20152016"
"Northern Michigan",0.49,"20152016"
"Notre Dame",0.546,"20152016"
"Ohio State",0.495,"20152016"
"Penn State",0.522,"20152016"
"Princeton",0.431,"20152016"
"Providence",0.576,"20152016"
"Quinnipiac",0.594,"20152016"
"Rensselaer",0.517,"20152016"
"RIT",0.489,"20152016"
"Robert Morris",0.524,"20152016"
"Sacred Heart",0.455,"20152016"
"St. Cloud State",0.593,"20152016"
"St. Lawrence",0.522,"20152016"
"Union",0.499,"20152016"
"Vermont",0.49,"20152016"
"Western Michigan",0.464,"20152016"
"Wisconsin",0.467,"20152016"
"Yale",0.548,"20152016"
