"Team","RPI","Season"
"Air Force",0.473,"20092010"
"Alabama-Huntsville",0.467,"20092010"
"Alaska",0.53,"20092010"
"Alaska-Anchorage",0.479,"20092010"
"American International",0.391,"20092010"
"Army",0.445,"20092010"
"Bemidji State",0.543,"20092010"
"Bentley",0.437,"20092010"
"Boston College",0.562,"20092010"
"Boston University",0.517,"20092010"
"Bowling Green",0.437,"20092010"
"Brown",0.469,"20092010"
"Canisius",0.468,"20092010"
"Clarkson",0.443,"20092010"
"Colgate",0.491,"20092010"
"Colorado College",0.524,"20092010"
"Connecticut",0.401,"20092010"
"Cornell",0.546,"20092010"
"Dartmouth",0.456,"20092010"
"Denver",0.577,"20092010"
"Ferris State",0.533,"20092010"
"Harvard",0.453,"20092010"
"Holy Cross",0.442,"20092010"
"Lake Superior",0.497,"20092010"
"Maine",0.521,"20092010"
"Massachusetts",0.511,"20092010"
"Massachusetts-Lowell",0.517,"20092010"
"Mercyhurst",0.447,"20092010"
"Merrimack",0.503,"20092010"
"Miami",0.579,"20092010"
"Michigan",0.532,"20092010"
"Michigan State",0.525,"20092010"
"Michigan Tech",0.438,"20092010"
"Minnesota",0.519,"20092010"
"Minnesota-Duluth",0.533,"20092010"
"Minnesota State",0.504,"20092010"
"Nebraska-Omaha",0.519,"20092010"
"New Hampshire",0.533,"20092010"
"Niagara",0.462,"20092010"
"North Dakota",0.562,"20092010"
"Northeastern",0.511,"20092010"
"Northern Michigan",0.535,"20092010"
"Notre Dame",0.492,"20092010"
"Ohio State",0.509,"20092010"
"Princeton",0.476,"20092010"
"Providence",0.469,"20092010"
"Quinnipiac",0.497,"20092010"
"Rensselaer",0.495,"20092010"
"RIT",0.517,"20092010"
"Robert Morris",0.461,"20092010"
"Sacred Heart",0.495,"20092010"
"St. Cloud State",0.55,"20092010"
"St. Lawrence",0.501,"20092010"
"Union",0.523,"20092010"
"Vermont",0.526,"20092010"
"Western Michigan",0.467,"20092010"
"Wisconsin",0.568,"20092010"
"Yale",0.537,"20092010"
