"Team","Conference","Season"
"Air Force","Atlantic Hockey","20112012"
"Alabama-Huntsville","Independent","20112012"
"Alaska","CCHA","20112012"
"Alaska-Anchorage","WCHA","20112012"
"American International","Atlantic Hockey","20112012"
"Army","Atlantic Hockey","20112012"
"Bemidji State","WCHA","20112012"
"Bentley","Atlantic Hockey","20112012"
"Boston College","Hockey East","20112012"
"Boston University","Hockey East","20112012"
"Bowling Green","CCHA","20112012"
"Brown","ECAC","20112012"
"Canisius","Atlantic Hockey","20112012"
"Clarkson","ECAC","20112012"
"Colgate","ECAC","20112012"
"Colorado College","WCHA","20112012"
"Connecticut","Atlantic Hockey","20112012"
"Cornell","ECAC","20112012"
"Dartmouth","ECAC","20112012"
"Denver","WCHA","20112012"
"Ferris State","CCHA","20112012"
"Harvard","ECAC","20112012"
"Holy Cross","Atlantic Hockey","20112012"
"Lake Superior","CCHA","20112012"
"Maine","Hockey East","20112012"
"Massachusetts","Hockey East","20112012"
"Massachusetts-Lowell","Hockey East","20112012"
"Mercyhurst","Atlantic Hockey","20112012"
"Merrimack","Hockey East","20112012"
"Miami","CCHA","20112012"
"Michigan","CCHA","20112012"
"Michigan State","CCHA","20112012"
"Michigan Tech","WCHA","20112012"
"Minnesota","WCHA","20112012"
"Minnesota-Duluth","WCHA","20112012"
"Minnesota State","WCHA","20112012"
"Nebraska-Omaha","WCHA","20112012"
"New Hampshire","Hockey East","20112012"
"Niagara","Atlantic Hockey","20112012"
"North Dakota","WCHA","20112012"
"Northeastern","Hockey East","20112012"
"Northern Michigan","CCHA","20112012"
"Notre Dame","CCHA","20112012"
"Ohio State","CCHA","20112012"
"Princeton","ECAC","20112012"
"Providence","Hockey East","20112012"
"Quinnipiac","ECAC","20112012"
"Rensselaer","ECAC","20112012"
"RIT","Atlantic Hockey","20112012"
"Robert Morris","Atlantic Hockey","20112012"
"Sacred Heart","Atlantic Hockey","20112012"
"St. Cloud State","WCHA","20112012"
"St. Lawrence","ECAC","20112012"
"Union","ECAC","20112012"
"Vermont","Hockey East","20112012"
"Western Michigan","CCHA","20112012"
"Wisconsin","WCHA","20112012"
"Yale","ECAC","20112012"
