"Team","Conference","Season"
"Air Force","Atlantic Hockey","20122013"
"Alabama-Huntsville","Independent","20122013"
"Alaska","CCHA","20122013"
"Alaska-Anchorage","WCHA","20122013"
"American International","Atlantic Hockey","20122013"
"Army","Atlantic Hockey","20122013"
"Bemidji State","WCHA","20122013"
"Bentley","Atlantic Hockey","20122013"
"Boston College","Hockey East","20122013"
"Boston University","Hockey East","20122013"
"Bowling Green","CCHA","20122013"
"Brown","ECAC","20122013"
"Canisius","Atlantic Hockey","20122013"
"Clarkson","ECAC","20122013"
"Colgate","ECAC","20122013"
"Colorado College","WCHA","20122013"
"Connecticut","Atlantic Hockey","20122013"
"Cornell","ECAC","20122013"
"Dartmouth","ECAC","20122013"
"Denver","WCHA","20122013"
"Ferris State","CCHA","20122013"
"Harvard","ECAC","20122013"
"Holy Cross","Atlantic Hockey","20122013"
"Lake Superior","CCHA","20122013"
"Maine","Hockey East","20122013"
"Massachusetts","Hockey East","20122013"
"Massachusetts-Lowell","Hockey East","20122013"
"Mercyhurst","Atlantic Hockey","20122013"
"Merrimack","Hockey East","20122013"
"Miami","CCHA","20122013"
"Michigan","CCHA","20122013"
"Michigan State","CCHA","20122013"
"Michigan Tech","WCHA","20122013"
"Minnesota","WCHA","20122013"
"Minnesota-Duluth","WCHA","20122013"
"Minnesota State","WCHA","20122013"
"Nebraska-Omaha","WCHA","20122013"
"New Hampshire","Hockey East","20122013"
"Niagara","Atlantic Hockey","20122013"
"North Dakota","WCHA","20122013"
"Northeastern","Hockey East","20122013"
"Northern Michigan","CCHA","20122013"
"Notre Dame","CCHA","20122013"
"Ohio State","CCHA","20122013"
"Penn State","Independent","20122013"
"Princeton","ECAC","20122013"
"Providence","Hockey East","20122013"
"Quinnipiac","ECAC","20122013"
"Rensselaer","ECAC","20122013"
"RIT","Atlantic Hockey","20122013"
"Robert Morris","Atlantic Hockey","20122013"
"Sacred Heart","Atlantic Hockey","20122013"
"St. Cloud State","WCHA","20122013"
"St. Lawrence","ECAC","20122013"
"Union","ECAC","20122013"
"Vermont","Hockey East","20122013"
"Western Michigan","CCHA","20122013"
"Wisconsin","WCHA","20122013"
"Yale","ECAC","20122013"
