"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","SAT","SATA","CF%","USAT","USATA","FF%","ESSAT","ESSATA","ESCF%","ESUSAT","ESUSATA","ESFF%","PPSAT","PPSATA","PPCF%","PPUSAT","PPUSATA","PPFF%","CloseSAT","CloseSATA","CloseCF%","CloseUSAT","CloseUSATA","CloseFF%","Season"
"Air Force","41","119","130","1188","10.0","1134",".885","18.4","83.0","1","7","52.8","23.7",71.8,"185.2","2399","2056","53.8","1835","1605","53.3","1859","1611","53.6","1430","1258","53.2","498","77","86.6","371","69","84.3","1112","950","53.9","857","749","53.4","20142015"
"Alabama-Huntsville","38","62","121","802","7.7","1428",".915","15.3","81.6","3","8","45.7","24.1",72.2,"189.4","1563","2714","36.5","1155","2094","35.5","1257","1956","39.1","937","1534","37.9","244","57","81.1","172","47","78.5","790","1206","39.6","596","942","38.8","20142015"
"Alaska","34","92","81","1103","8.3","842",".904","16.3","84.9","4","1","49.9","23.9",71.9,"188.6","1955","1636","54.4","1546","1198","56.3","1497","1246","54.6","1197","927","56.4","397","31","92.8","293","20","93.6","1001","829","54.7","785","620","55.9","20142015"
"Alaska-Anchorage","34","70","107","790","8.9","1096",".902","14.3","80.7","5","4","47.1","23.11",71.8,"192.4","1347","1743","43.6","978","1358","41.9","1033","1269","44.9","748","988","43.1","264","46","85.2","187","42","81.7","608","817","42.7","433","645","40.2","20142015"
"American International","36","87","155","906","9.6","1422",".891","18.8","77.2","1","3","43.0","24.0",72.1,"189.6","1635","2533","39.2","1279","2038","38.6","1326","2095","38.8","1051","1675","38.6","274","37","88.1","197","29","87.2","719","1234","36.8","573","986","36.8","20142015"
"Army","34","68","108","1017","6.7","1110",".903","11.3","77.8","2","4","49.0","23.8",72,"189.9","1917","1963","49.4","1458","1534","48.7","1496","1533","49.4","1146","1205","48.7","367","47","88.6","261","41","86.4","925","934","49.8","715","722","49.8","20142015"
"Bemidji State","38","101","90","1091","9.3","1033",".913","12.6","85.7","4","8","51.3","23.7",71.9,"188.9","2062","2086","49.7","1583","1530","50.9","1621","1666","49.3","1247","1230","50.3","369","71","83.9","274","56","83.0","1060","1122","48.6","823","802","50.6","20142015"
"Bentley","37","100","92","1138","8.8","1155",".920","18.3","85.8","4","6","51.5","23.11",71.4,"187.5","2208","2216","49.9","1715","1734","49.7","1692","1769","48.9","1315","1401","48.4","462","71","86.7","352","62","85.0","1210","1173","50.8","948","930","50.5","20142015"
"Boston College","38","107","91","1190","9.0","1108",".918","15.6","86.4","3","2","49.1","22.3",72.3,"189.2","2200","1976","52.7","1745","1536","53.2","1707","1519","52.9","1377","1187","53.7","414","48","89.6","296","42","87.6","1012","849","54.4","800","658","54.9","20142015"
"Boston University","41","158","95","1498","10.5","1250",".924","26.1","82.0","7","5","49.0","22.2",72.4,"185.0","2811","2347","54.5","2130","1792","54.3","2210","1805","55.0","1664","1377","54.7","526","34","93.9","403","30","93.1","1495","1164","56.2","1109","897","55.3","20142015"
"Bowling Green","39","119","93","1205","9.9","1094",".915","15.6","89.8","3","4","49.3","23.6",72,"191.0","2251","2040","52.5","1719","1578","52.1","1795","1616","52.6","1365","1254","52.1","372","67","84.7","283","59","82.7","1113","959","53.7","839","742","53.1","20142015"
"Brown","32","68","113","864","7.9","1098",".897","13.0","76.0","1","4","48.6","23.0",72.5,"186.6","1475","1988","42.6","1169","1536","43.2","1178","1598","42.4","945","1234","43.4","257","68","79.1","190","57","76.9","632","854","42.5","516","656","44.0","20142015"
"Canisius","37","94","83","1052","8.9","1068",".922","20.0","87.2","5","3","52.0","23.4",72.7,"189.0","1993","2050","49.3","1536","1603","48.9","1615","1651","49.4","1245","1290","49.1","291","52","84.8","217","50","81.3","1099","1074","50.6","838","846","49.8","20142015"
"Clarkson","37","81","87","1085","7.5","884",".902","14.9","87.7","1","3","51.9","23.1",71.8,"189.8","1955","1593","55.1","1555","1268","55.1","1664","1302","56.1","1334","1055","55.8","250","37","87.1","190","30","86.4","1040","842","55.3","835","675","55.3","20142015"
"Colgate","38","102","82","1155","8.8","1038",".921","16.3","85.8","2","1","53.6","23.6",71.4,"187.8","2242","1929","53.8","1680","1474","53.3","1762","1492","54.1","1342","1147","53.9","411","64","86.5","282","54","83.9","1076","933","53.6","837","729","53.4","20142015"
"Colorado College","35","74","136","954","7.8","1169",".884","20.0","77.9","2","7","45.4","22.8",71.8,"181.4","1723","2192","44.0","1308","1682","43.7","1329","1744","43.2","1021","1333","43.4","355","51","87.4","256","48","84.2","795","1101","41.9","634","848","42.8","20142015"
"Connecticut","36","66","111","974","6.8","1224",".909","10.5","79.7","0","6","50.7","23.2",72,"187.6","1796","2338","43.4","1400","1777","44.1","1371","1841","42.7","1079","1405","43.4","393","56","87.5","293","50","85.4","890","1238","41.8","700","944","42.6","20142015"
"Cornell","31","57","68","802","7.1","858",".921","17.0","89.2","3","2","52.2","22.5",73.2,"193.7","1618","1625","49.9","1202","1286","48.3","1250","1314","48.8","926","1046","47.0","311","50","86.1","229","46","83.3","844","923","47.8","638","734","46.5","20142015"
"Dartmouth","34","92","81","1048","8.8","902",".910","14.0","79.2","2","3","52.8","23.4",72.4,"185.5","2063","1788","53.6","1566","1346","53.8","1659","1429","53.7","1269","1079","54.0","326","50","86.7","232","46","83.5","1037","900","53.5","804","684","54.0","20142015"
"Denver","40","131","99","1252","10.5","1134",".913","22.1","82.3","2","3","52.0","23.1",71.6,"185.1","2366","2066","53.4","1806","1615","52.8","1881","1656","53.2","1443","1299","52.6","422","46","90.2","313","40","88.7","1080","1004","51.8","827","780","51.5","20142015"
"Ferris State","40","88","88","1250","7.0","1090",".919","9.5","87.7","5","2","45.8","23.5",70.7,"182.2","2285","2151","51.5","1741","1561","52.7","1785","1725","50.9","1374","1238","52.6","407","64","86.4","288","51","85.0","1098","1098","50.0","846","776","52.2","20142015"
"Harvard","37","121","92","1133","10.7","1136",".919","20.5","85.2","2","2","48.3","22.8",72.5,"192.0","2121","2252","48.5","1631","1675","49.3","1695","1818","48.2","1290","1368","48.5","353","48","88.0","279","41","87.2","962","1015","48.7","730","754","49.2","20142015"
"Holy Cross","37","84","87","1190","7.1","1137",".923","15.4","83.5","1","4","52.4","23.6",71.8,"189.9","2170","2252","49.1","1702","1758","49.2","1727","1747","49.7","1378","1380","50.0","398","50","88.8","291","46","86.4","1202","1201","50.0","961","950","50.3","20142015"
"Lake Superior","38","60","131","942","6.4","1358",".904","8.1","73.6","3","2","46.0","23.10",72.1,"189.1","1830","2307","44.2","1373","1885","42.1","1438","1838","43.9","1095","1493","42.3","353","64","84.7","250","57","81.4","869","1158","42.9","654","934","41.2","20142015"
"Maine","39","108","127","1203","9.0","1240",".898","13.1","82.9","7","4","50.4","22.9",72.3,"188.3","2162","2129","50.4","1697","1695","50.0","1656","1651","50.1","1306","1323","49.7","422","44","90.6","322","42","88.5","1052","1009","51.0","819","811","50.2","20142015"
"Massachusetts","36","99","152","1051","9.4","1242",".878","15.2","76.0","8","4","48.1","23.5",71.8,"191.9","1901","2392","44.3","1519","1842","45.2","1441","1868","43.5","1164","1441","44.7","404","44","90.2","305","41","88.2","894","1215","42.4","726","914","44.3","20142015"
"Massachusetts-Lowell","39","134","101","1169","11.5","1103",".908","19.9","79.9","10","2","50.7","23.1",72,"191.0","2230","1900","54.0","1690","1501","53.0","1799","1541","53.9","1373","1218","53.0","365","46","88.8","259","40","86.6","974","818","54.4","753","635","54.3","20142015"
"Mercyhurst","39","116","122","1096","10.6","1371",".911","18.8","77.4","3","3","43.9","23.11",71.3,"182.7","2313","2683","46.3","1755","2074","45.8","1834","2201","45.5","1405","1688","45.4","412","63","86.7","295","52","85.0","1100","1391","44.2","851","1062","44.5","20142015"
"Merrimack","38","81","93","1062","7.6","1227",".924","14.8","88.2","1","6","49.9","23.7",72.9,"191.4","2031","2292","47.0","1555","1795","46.4","1557","1673","48.2","1200","1340","47.2","434","45","90.6","322","39","89.2","986","1109","47.1","765","887","46.3","20142015"
"Miami","40","130","100","1350","9.6","1067",".906","19.5","83.6","7","5","54.8","23.4",71.8,"190.1","2482","2046","54.8","1910","1561","55.0","1851","1566","54.2","1417","1203","54.1","540","64","89.4","415","53","88.7","1103","872","55.8","845","676","55.6","20142015"
