"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","Season"
"Nebraska-Omaha","41","152","124","1203","12.6","1074",".885","19.5","84.0","9","11","","32.0",70.8,"186.0","20062007"
"New Hampshire","39","139","89","1167","11.9","1268",".930","19.5","86.6","6","1","","30.10",71.9,"189.8","20062007"
"Niagara","37","126","128","986","12.8","1339",".904","20.0","81.3","5","9","","31.0",71.4,"189.4","20062007"
"North Dakota","43","153","116","1281","11.9","1215",".905","23.9","82.5","7","3","","30.4",72,"190.9","20062007"
"Northeastern","36","84","94","864","9.7","1136",".917","10.9","86.7","8","7","","31.4",71.7,"190.2","20062007"
"Northern Michigan","41","96","123","959","10.0","1210",".898","16.7","85.5","6","6","","31.4",72.8,"190.5","20062007"
"Notre Dame","42","143","70","1201","11.9","965",".927","18.5","90.4","6","3","","30.10",71.8,"188.1","20062007"
"Ohio State","37","120","120","1162","10.3","1007",".881","17.8","82.1","11","8","","31.5",71.8,"195.9","20062007"
"Princeton","34","102","100","1064","9.6","945",".894","18.9","82.6","3","3","","31.2",72,"190.8","20062007"
"Providence","36","76","108","1275","6.0","935",".884","9.2","85.3","5","10","","30.10",71.7,"191.7","20062007"
"Quinnipiac","40","140","106","1260","11.1","1034",".897","19.6","86.4","13","5","","31.0",71.6,"186.1","20062007"
"Rensselaer","36","88","130","877","10.0","1053",".877","15.1","79.1","3","12","","31.0",72.2,"193.5","20062007"
"RIT","34","132","93","1035","12.8","1054",".912","24.4","87.2","7","5","","31.9",71.4,"185.8","20062007"
"Robert Morris","35","110","129","945","11.6","1249",".897","19.9","82.3","6","5","","32.1",71.6,"190.0","20062007"
"Sacred Heart","36","118","99","935","12.6","1081",".908","16.3","81.9","5","1","","31.6",71.4,"188.4","20062007"
"St. Cloud State","40","127","99","1170","10.9","1246",".921","18.3","80.4","3","0","","31.3",71.9,"191.6","20062007"
"St. Lawrence","39","122","104","1077","11.3","1096",".905","15.7","86.5","8","3","","30.11",71.3,"185.2","20062007"
"Union","36","103","119","996","10.3","1127",".894","18.3","80.1","3","5","","30.10",72.1,"187.5","20062007"
"Vermont","39","87","78","1081","8.0","929",".916","17.1","88.8","1","2","","31.1",71.6,"186.6","20062007"
"Wayne State","35","97","125","971","10.0","1061",".882","17.2","78.2","4","7","","32.3",71.4,"189.7","20062007"
"Western Michigan","37","120","126","925","13.0","1150",".890","18.0","80.7","13","13","","31.4",71.9,"192.6","20062007"
"Wisconsin","41","93","83","1238","7.5","1108",".925","14.9","86.1","5","3","","30.6",72.9,"192.4","20062007"
"Yale","31","78","98","871","9.0","890",".890","14.8","83.2","3","5","","30.4",72.4,"195.5","20062007"
