"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","Season"
"Air Force","40","132","107","1376","9.6","914",".883","17.0","79.5","1","8","","31.9",70.9,"181.9","20062007"
"Alabama-Huntsville","36","112","137","1110","10.1","1191",".885","19.7","77.2","7","4","","31.11",71.8,"191.0","20062007"
"Alaska","39","100","128","1092","9.2","1092",".883","17.0","81.6","8","5","","31.4",72.4,"202.3","20062007"
"Alaska-Anchorage","37","90","124","1020","8.8","1102",".887","14.4","81.7","4","7","","31.6",72.9,"196.1","20062007"
"American International","34","74","134","874","8.5","1057",".873","10.0","82.4","5","8","","31.11",71.6,"186.1","20062007"
"Army","34","94","87","919","10.2","914",".905","15.6","83.7","3","3","","31.7",71.4,"190.2","20062007"
"Bemidji State","33","97","109","958","10.1","1004",".891","15.4","79.4","7","3","","31.10",70.9,"184.7","20062007"
"Bentley","35","90","136","939","9.6","1109",".877","11.8","82.1","5","7","","31.2",71.5,"190.8","20062007"
"Boston College","42","142","94","1267","11.2","1209",".922","20.4","88.0","10","2","","30.0",71.9,"188.9","20062007"
"Boston University","39","99","78","1044","9.5","1088",".928","14.8","86.0","4","3","","30.10",72.2,"190.0","20062007"
"Bowling Green","38","75","147","942","8.0","1197",".877","9.3","80.6","1","5","","30.11",71.1,"183.8","20062007"
"Brown","32","96","95","1020","9.4","1063",".911","14.3","79.8","5","4","","30.8",72.7,"192.1","20062007"
"Canisius","35","86","130","871","9.9","1159",".888","15.7","80.6","6","10","","31.6",72,"191.9","20062007"
"Clarkson","39","136","93","1151","11.8","1217",".924","21.8","86.0","6","2","","31.0",71.7,"192.3","20062007"
"Colgate","40","100","105","1102","9.1","1226",".914","14.2","84.4","5","3","","30.10",72.7,"199.6","20062007"
"Colorado College","39","111","98","1070","10.4","1096",".911","22.2","87.1","2","4","","30.4",71.5,"184.4","20062007"
"Connecticut","36","108","126","1078","10.0","1163",".892","14.9","81.3","7","8","","31.11",70.9,"181.9","20062007"
"Cornell","31","90","78","919","9.8","763",".898","13.9","80.1","3","5","","30.10",72.4,"192.7","20062007"
"Dartmouth","33","105","93","933","11.3","1021",".909","16.2","84.7","6","5","","30.6",72.9,"189.4","20062007"
"Denver","40","107","95","1210","8.8","1148",".917","16.3","83.8","4","3","","30.9",72.2,"193.5","20062007"
"Ferris State","39","107","126","1240","8.6","1091",".885","16.2","80.8","4","9","","31.6",71.8,"190.5","20062007"
"Harvard","33","88","90","914","9.6","891",".899","20.5","80.8","0","4","","30.3",72,"192.8","20062007"
"Holy Cross","35","96","123","991","9.7","1015",".879","19.0","79.9","6","8","","31.3",71.1,"181.8","20062007"
"Lake Superior","43","111","110","1210","9.2","1425",".923","14.5","83.2","9","5","","31.2",72.1,"193.8","20062007"
"Maine","40","133","99","1282","10.4","1136",".913","25.4","85.8","6","5","","31.4",72.6,"194.8","20062007"
"Massachusetts","39","109","91","1139","9.6","1200",".924","16.1","83.3","1","3","","30.9",72.1,"194.6","20062007"
"Massachusetts-Lowell","36","74","104","1048","7.1","921",".887","11.1","78.0","3","2","","30.10",70.9,"185.7","20062007"
"Mercyhurst","35","114","134","963","11.8","1373",".902","19.2","79.7","2","5","","31.5",71.6,"187.8","20062007"
"Merrimack","34","37","111","753","4.9","1010",".890","8.0","80.4","1","5","","31.2",72.4,"188.4","20062007"
"Miami","42","135","107","1391","9.7","1150",".907","17.8","89.3","9","9","","30.10",72.2,"196.8","20062007"
"Michigan","41","174","129","1318","13.2","1195",".892","17.4","80.5","14","12","","30.2",72.5,"196.2","20062007"
"Michigan State","41","133","101","1114","11.9","1159",".913","18.2","86.5","4","5","","30.9",71.4,"185.2","20062007"
"Michigan Tech","40","90","87","1074","8.4","992",".912","9.3","87.3","3","2","","31.2",71.9,"193.4","20062007"
"Minnesota","44","161","101","1424","11.3","1118",".910","20.6","83.3","7","7","","30.0",72.2,"186.9","20062007"
"Minnesota-Duluth","39","103","121","1154","8.9","1133",".893","21.4","84.6","5","7","","30.10",72.4,"193.0","20062007"
"Minnesota State","38","106","132","1108","9.6","1104",".880","18.2","81.5","7","6","","31.2",72.4,"189.6","20062007"
