"Team","RPI","Season"
"Air Force",0.452,"20142015"
"Alabama-Huntsville",0.441,"20142015"
"Alaska",0.516,"20142015"
"Alaska-Anchorage",0.443,"20142015"
"American International",0.395,"20142015"
"Army",0.414,"20142015"
"Bemidji State",0.508,"20142015"
"Bentley",0.479,"20142015"
"Boston College",0.542,"20142015"
"Boston University",0.568,"20142015"
"Bowling Green",0.538,"20142015"
"Brown",0.454,"20142015"
"Canisius",0.484,"20142015"
"Clarkson",0.471,"20142015"
"Colgate",0.539,"20142015"
"Colorado College",0.448,"20142015"
"Connecticut",0.474,"20142015"
"Cornell",0.487,"20142015"
"Dartmouth",0.517,"20142015"
"Denver",0.557,"20142015"
"Ferris State",0.498,"20142015"
"Harvard",0.543,"20142015"
"Holy Cross",0.454,"20142015"
"Lake Superior",0.437,"20142015"
"Maine",0.476,"20142015"
"Massachusetts",0.462,"20142015"
"Massachusetts-Lowell",0.535,"20142015"
"Mercyhurst",0.484,"20142015"
"Merrimack",0.504,"20142015"
"Miami",0.561,"20142015"
"Michigan",0.526,"20142015"
"Michigan State",0.503,"20142015"
"Michigan Tech",0.562,"20142015"
"Minnesota",0.548,"20142015"
"Minnesota-Duluth",0.552,"20142015"
"Minnesota State",0.583,"20142015"
"Nebraska-Omaha",0.542,"20142015"
"New Hampshire",0.509,"20142015"
"Niagara",0.403,"20142015"
"North Dakota",0.572,"20142015"
"Northeastern",0.516,"20142015"
"Northern Michigan",0.491,"20142015"
"Notre Dame",0.499,"20142015"
"Ohio State",0.487,"20142015"
"Penn State",0.502,"20142015"
"Princeton",0.416,"20142015"
"Providence",0.537,"20142015"
"Quinnipiac",0.541,"20142015"
"Rensselaer",0.463,"20142015"
"RIT",0.487,"20142015"
"Robert Morris",0.52,"20142015"
"Sacred Heart",0.452,"20142015"
"St. Cloud State",0.536,"20142015"
"St. Lawrence",0.523,"20142015"
"Union",0.507,"20142015"
"Vermont",0.533,"20142015"
"Western Michigan",0.512,"20142015"
"Wisconsin",0.423,"20142015"
"Yale",0.536,"20142015"
