"Team","RPI","Season"
"Air Force",0.499,"20122013"
"Alabama-Huntsville",0.377,"20122013"
"Alaska",0.506,"20122013"
"Alaska-Anchorage",0.436,"20122013"
"American International",0.46,"20122013"
"Army",0.424,"20122013"
"Bemidji State",0.447,"20122013"
"Bentley",0.449,"20122013"
"Boston College",0.541,"20122013"
"Boston University",0.522,"20122013"
"Bowling Green",0.489,"20122013"
"Brown",0.514,"20122013"
"Canisius",0.491,"20122013"
"Clarkson",0.47,"20122013"
"Colgate",0.487,"20122013"
"Colorado College",0.512,"20122013"
"Connecticut",0.499,"20122013"
"Cornell",0.508,"20122013"
"Dartmouth",0.51,"20122013"
"Denver",0.536,"20122013"
"Ferris State",0.507,"20122013"
"Harvard",0.47,"20122013"
"Holy Cross",0.502,"20122013"
"Lake Superior",0.486,"20122013"
"Maine",0.479,"20122013"
"Massachusetts",0.479,"20122013"
"Massachusetts-Lowell",0.556,"20122013"
"Mercyhurst",0.493,"20122013"
"Merrimack",0.495,"20122013"
"Miami",0.547,"20122013"
"Michigan",0.504,"20122013"
"Michigan State",0.476,"20122013"
"Michigan Tech",0.477,"20122013"
"Minnesota",0.563,"20122013"
"Minnesota-Duluth",0.483,"20122013"
"Minnesota State",0.539,"20122013"
"Nebraska-Omaha",0.502,"20122013"
"New Hampshire",0.534,"20122013"
"Niagara",0.534,"20122013"
"North Dakota",0.537,"20122013"
"Northeastern",0.454,"20122013"
"Northern Michigan",0.492,"20122013"
"Notre Dame",0.55,"20122013"
"Ohio State",0.504,"20122013"
"Penn State",0.479,"20122013"
"Princeton",0.478,"20122013"
"Providence",0.52,"20122013"
"Quinnipiac",0.571,"20122013"
"Rensselaer",0.521,"20122013"
"RIT",0.475,"20122013"
"Robert Morris",0.505,"20122013"
"Sacred Heart",0.383,"20122013"
"St. Cloud State",0.532,"20122013"
"St. Lawrence",0.506,"20122013"
"Union",0.533,"20122013"
"Vermont",0.478,"20122013"
"Western Michigan",0.53,"20122013"
"Wisconsin",0.533,"20122013"
"Yale",0.532,"20122013"
