"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","Season"
"Air Force","38","137","115","1318","10.4","1151",".900","24.0","77.1","5","4","","27.2",71.4,"168.5","20102011"
"Alabama-Huntsville","32","61","129","689","8.9","1157",".889","18.3","79.6","0","5","","27.4",72.1,"187.4","20102011"
"Alaska","38","89","91","1069","8.3","1053",".914","14.6","84.1","4","3","","28.0",71.3,"190.7","20102011"
"Alaska-Anchorage","37","89","106","925","9.6","968",".890","15.1","84.3","8","4","","27.8",72.3,"188.6","20102011"
"American International","33","85","140","928","9.2","1266",".889","17.7","76.9","4","6","","27.10",71.8,"181.2","20102011"
"Army","35","86","115","1025","8.4","1176",".902","17.9","87.2","6","4","","27.6",71,"187.9","20102011"
"Bemidji State","38","89","102","951","9.4","1146",".911","20.5","79.2","3","3","","28.0",71,"184.1","20102011"
"Bentley","34","86","117","1017","8.5","1127",".896","8.4","83.1","4","7","","27.4",71.3,"182.4","20102011"
"Boston College","39","153","94","1334","11.5","1119",".916","23.4","85.8","13","4","","26.2",71.9,"186.2","20102011"
"Boston University","39","116","112","1214","9.6","1322",".915","14.9","86.6","6","7","","26.5",72.6,"192.0","20102011"
"Bowling Green","41","74","123","922","8.0","1237",".901","10.3","81.6","1","5","","27.1",71.8,"185.0","20102011"
"Brown","31","83","107","905","9.2","1001",".893","14.9","78.5","5","4","","26.8",71.8,"186.8","20102011"
"Canisius","38","110","135","1042","10.6","1435",".906","15.8","79.4","6","7","","27.4",71.4,"186.0","20102011"
"Clarkson","36","98","117","1097","8.9","1260",".907","11.8","84.5","6","4","","26.11",72.2,"191.3","20102011"
"Colgate","42","107","142","1274","8.4","1308",".891","13.7","78.6","1","7","","26.11",71.8,"185.1","20102011"
"Colorado College","45","143","131","1328","10.8","1339",".902","23.1","83.1","5","11","","26.3",71.4,"185.4","20102011"
"Connecticut","37","114","133","1042","10.9","1348",".901","17.2","81.2","3","8","","27.9",72.1,"187.8","20102011"
"Cornell","34","86","88","856","10.0","1037",".915","16.2","84.8","4","2","","26.7",72.7,"188.5","20102011"
"Dartmouth","34","111","87","1046","10.6","996",".913","19.4","83.7","5","2","","27.4",72.2,"184.3","20102011"
"Denver","42","136","113","1210","11.2","1243",".909","18.6","85.8","9","8","","26.8",71.3,"184.6","20102011"
"Ferris State","39","94","86","1145","8.2","1031",".917","16.2","88.6","8","1","","27.4",72.3,"190.2","20102011"
"Harvard","34","77","98","973","7.9","1108",".912","19.4","81.7","3","1","","26.8",72.3,"195.2","20102011"
"Holy Cross","38","128","118","1243","10.3","1084",".891","24.1","80.0","4","2","","27.5",71.9,"186.4","20102011"
"Lake Superior","39","93","115","1121","8.3","1249",".908","17.8","80.9","2","6","","27.6",72.2,"190.7","20102011"
"Maine","36","122","105","1266","9.6","908",".884","19.4","83.4","6","9","","27.2",71.6,"184.6","20102011"
"Massachusetts","35","88","122","1000","8.8","1173",".896","12.5","77.8","0","5","","26.9",71.5,"183.8","20102011"
"Massachusetts-Lowell","34","83","136","951","8.7","1198",".886","18.5","76.0","5","9","","27.1",71.5,"187.4","20102011"
"Mercyhurst","37","131","112","1282","10.2","1289",".913","18.3","81.9","6","5","","27.6",72.1,"191.0","20102011"
"Merrimack","39","143","97","1301","11.0","1106",".912","22.8","84.5","9","3","","27.9",72.1,"188.8","20102011"
"Miami","39","146","85","1153","12.7","900",".906","24.7","88.3","8","6","","27.3",72.6,"188.5","20102011"
"Michigan","44","146","98","1406","10.4","1288",".924","17.7","83.7","8","5","","26.3",71.7,"189.2","20102011"
"Michigan State","38","98","107","1080","9.1","1168",".908","16.3","78.8","2","5","","26.9",72,"181.9","20102011"
"Michigan Tech","38","75","169","947","7.9","1397",".879","15.4","74.5","5","11","","27.3",72.3,"191.0","20102011"
"Minnesota","36","113","102","1166","9.7","1165",".912","20.9","77.4","4","2","","26.7",72.3,"188.3","20102011"
"Minnesota-Duluth","42","143","108","1343","10.6","1162",".907","22.8","82.6","7","3","","26.10",71.8,"189.4","20102011"
"Minnesota State","38","105","116","1256","8.4","1177",".901","14.4","81.2","3","5","","27.6",72.6,"191.2","20102011"
"Nebraska-Omaha","39","128","99","1359","9.4","1093",".909","17.0","83.4","6","1","","27.6",73.3,"199.0","20102011"
"New Hampshire","39","131","98","1227","10.7","1243",".921","19.0","82.7","3","8","","26.11",72.2,"190.3","20102011"
"Niagara","35","124","120","1356","9.1","1078",".889","22.4","81.6","8","5","","27.3",71.9,"181.9","20102011"
"North Dakota","44","178","94","1458","12.2","1046",".910","22.9","86.1","11","7","","27.0",72.6,"194.7","20102011"
"Northeastern","38","108","104","1111","9.7","1286",".919","16.8","81.2","5","5","","27.1",72.2,"193.7","20102011"
"Northern Michigan","39","91","117","964","9.4","1308",".911","17.6","79.5","1","6","","27.6",71.6,"187.5","20102011"
"Notre Dame","44","151","121","1439","10.5","1162",".896","15.8","80.7","13","4","","26.4",72.1,"193.6","20102011"
"Ohio State","37","95","92","1173","8.1","1108",".917","15.9","82.1","3","4","","27.4",72.3,"190.7","20102011"
"Princeton","32","105","88","1193","8.8","884",".900","22.8","78.2","8","5","","27.0",72.1,"192.9","20102011"
"Providence","34","75","116","1072","7.0","1138",".898","10.1","81.8","3","2","","27.0",72.1,"188.1","20102011"
"Quinnipiac","39","95","102","1143","8.3","1168",".913","14.0","81.1","1","5","","27.4",71.6,"178.9","20102011"
"Rensselaer","38","110","90","991","11.1","1124",".920","17.6","84.3","5","3","","27.2",72.2,"195.4","20102011"
"RIT","38","128","99","1302","9.8","1210",".918","18.9","83.6","7","8","","27.10",71.4,"185.8","20102011"
"Robert Morris","35","107","97","1239","8.6","1163",".917","15.9","84.1","3","2","","27.9",71.9,"183.8","20102011"
"Sacred Heart","37","95","173","1036","9.2","1532",".887","13.4","70.6","3","7","","27.6",71.6,"187.2","20102011"
"St. Cloud State","38","112","113","1046","10.7","1181",".904","18.3","83.9","4","4","","27.1",72.4,"191.1","20102011"
"St. Lawrence","40","101","124","1093","9.2","1257",".901","19.9","85.0","3","3","","27.6",72,"189.7","20102011"
"Union","40","144","84","1302","11.1","1003",".916","29.5","82.8","2","6","","27.9",71.9,"185.7","20102011"
"Vermont","36","82","116","1078","7.6","1163",".900","13.3","79.4","3","4","","26.11",73,"196.2","20102011"
