"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","Season"
"Air Force","32","92","114","1010","9.1","796",".857","16.4","77.3","1","4","","32.4",71.2,"180.4","20052006"
"Alabama-Huntsville","34","105","103","1068","9.8","1198",".914","16.4","82.5","6","4","","33.0",72,"191.9","20052006"
"Alaska","39","92","105","1116","8.2","1241",".915","15.9","88.0","1","6","","32.2",72.5,"193.0","20052006"
"Alaska-Anchorage","36","68","138","803","8.5","1344",".897","14.4","78.7","2","5","","32.6",72.4,"190.6","20052006"
"American International","32","69","129","888","7.8","1144",".887","9.8","80.9","3","10","","32.5",71.5,"183.6","20052006"
"Army","36","80","94","1053","7.6","1024",".908","12.9","81.7","3","10","","32.0",71.3,"191.7","20052006"
"Bemidji State","37","125","97","1139","11.0","1141",".915","17.0","85.8","6","6","","32.6",71.2,"182.4","20052006"
"Bentley","36","93","113","1072","8.7","1278",".912","16.0","80.4","6","3","","32.9",70.9,"186.9","20052006"
"Boston College","42","146","95","1279","11.4","1253",".924","15.1","85.9","12","6","","30.8",71.4,"188.9","20052006"
"Boston University","40","140","96","1250","11.2","1121",".914","17.4","82.7","3","5","","31.10",72,"187.5","20052006"
"Bowling Green","38","124","147","1160","10.7","1199",".877","17.7","82.2","4","14","","32.0",71.3,"185.3","20052006"
"Brown","32","69","106","807","8.6","1123",".906","15.1","79.6","1","4","","32.0",72.6,"190.5","20052006"
"Canisius","35","87","114","909","9.6","1120",".898","13.7","82.4","5","8","","32.8",72.3,"192.6","20052006"
"Clarkson","38","121","111","1082","11.2","1141",".903","18.3","86.8","7","2","","31.4",72.2,"186.9","20052006"
"Colgate","39","113","93","1016","11.1","1185",".922","18.1","82.7","5","3","","31.6",72.5,"193.2","20052006"
"Colorado College","42","143","109","1339","10.7","1125",".903","22.7","81.1","8","4","","31.9",71.3,"185.5","20052006"
"Connecticut","36","97","136","1012","9.6","1141",".881","15.8","76.9","2","6","","32.7",71.4,"186.0","20052006"
"Cornell","35","99","77","1050","9.4","855",".910","15.9","86.1","6","5","","31.8",72.6,"189.6","20052006"
"Dartmouth","33","113","92","1152","9.8","907",".899","18.5","85.3","5","4","","31.8",72.7,"187.3","20052006"
"Denver","39","125","110","1108","11.3","1078",".898","22.4","82.9","7","2","","31.7",72,"194.6","20052006"
"Ferris State","40","116","114","1258","9.2","1147",".901","18.5","84.8","8","5","","32.5",72.1,"184.4","20052006"
"Harvard","35","111","92","1100","10.1","1027",".910","19.5","85.2","2","2","","31.3",72.2,"191.7","20052006"
"Holy Cross","39","130","95","1180","11.0","1176",".919","21.5","87.2","4","4","","32.2",71.5,"182.8","20052006"
"Lake Superior","36","93","84","924","10.1","1008",".917","17.3","82.1","8","4","","32.11",72.5,"190.3","20052006"
"Maine","42","143","95","1378","10.4","1057",".910","21.9","88.9","3","12","","32.3",72.3,"189.9","20052006"
"Massachusetts","36","77","103","975","7.9","1219",".916","16.2","81.1","4","6","","31.3",71.7,"187.9","20052006"
"Massachusetts-Lowell","36","104","132","1017","10.2","1213",".891","16.7","79.7","5","1","","33.0",71.5,"191.0","20052006"
"Mercyhurst","36","150","118","1205","12.4","1269",".907","22.5","84.0","14","7","","32.6",72.4,"192.5","20052006"
"Merrimack","34","64","118","800","8.0","1147",".897","14.3","80.3","3","3","","32.3",72,"195.0","20052006"
"Miami","39","122","79","1191","10.2","1087",".927","14.8","87.3","9","6","","31.6",72,"189.8","20052006"
"Michigan","41","147","125","1304","11.3","1252",".900","19.3","82.8","8","9","","30.9",71.8,"183.7","20052006"
"Michigan State","45","138","103","1443","9.6","1227",".916","19.5","83.2","5","5","","31.6",71.3,"183.1","20052006"
"Michigan Tech","38","74","149","996","7.4","1437",".896","11.0","80.1","8","9","","32.1",71.9,"191.1","20052006"
"Minnesota","41","169","105","1575","10.7","1106",".905","22.4","85.2","6","2","","31.4",71.8,"183.5","20052006"
"Minnesota-Duluth","40","97","148","1232","7.9","1149",".871","15.6","78.2","2","5","","31.8",72.2,"185.8","20052006"
"Minnesota State","39","126","121","1202","10.5","1171",".897","17.1","82.1","7","3","","32.7",72.5,"187.8","20052006"
"Nebraska-Omaha","41","146","136","1317","11.1","1168",".884","17.5","80.0","10","5","","32.11",71.4,"184.6","20052006"
"New Hampshire","40","120","102","1382","8.7","1265",".919","19.8","86.4","6","3","","31.9",71.9,"188.2","20052006"
"Niagara","36","126","121","1075","11.7","1319",".908","18.9","79.6","4","4","","32.0",71.7,"188.9","20052006"
"North Dakota","46","164","109","1383","11.9","1404",".922","21.1","83.3","11","6","","31.3",71.8,"184.0","20052006"
"Northeastern","34","67","120","818","8.2","1136",".894","12.4","81.1","4","3","","32.0",72.1,"191.7","20052006"
"Northern Michigan","40","118","104","1062","11.1","1109",".906","16.7","85.2","6","7","","32.4",72.4,"189.7","20052006"
"Notre Dame","36","89","98","888","10.0","1042",".906","16.6","81.1","2","4","","31.7",72.4,"190.4","20052006"
"Ohio State","39","97","92","1286","7.5","1001",".908","10.6","84.2","7","4","","32.0",72.1,"194.6","20052006"
"Princeton","31","81","96","881","9.2","999",".904","18.1","83.4","0","2","","32.2",71.9,"190.3","20052006"
"Providence","36","105","94","1183","8.9","1030",".909","18.2","83.2","6","4","","31.8",71.8,"186.4","20052006"
"Quinnipiac","39","130","110","1085","12.0","1052",".895","16.6","85.4","5","6","","32.2",72,"187.3","20052006"
"Rensselaer","37","105","111","1027","10.2","1043",".894","16.2","81.1","3","1","","32.1",72.1,"185.5","20052006"
"RIT","27","72","102","625","11.5","1011",".899","14.4","84.2","4","9","","32.9",71.5,"187.8","20052006"
"Robert Morris","35","94","119","988","9.5","1165",".898","18.0","82.7","3","5","","32.4",71.5,"187.1","20052006"
"Sacred Heart","34","112","81","1010","11.1","1050",".923","19.1","83.4","5","2","","32.8",71.3,"186.0","20052006"
"St. Cloud State","42","134","99","1368","9.8","1233",".920","18.5","84.5","7","5","","32.6",71.8,"186.4","20052006"
"St. Lawrence","40","130","121","1480","8.8","1045",".884","16.7","83.3","5","5","","32.2",71.8,"186.0","20052006"
"Union","38","90","103","1085","8.3","1127",".909","11.6","83.9","2","4","","32.2",71.5,"188.1","20052006"
"Vermont","38","97","82","1030","9.4","842",".903","20.1","86.4","1","2","","32.3",71.3,"188.0","20052006"
"Wayne State","35","87","140","969","9.0","1146",".878","13.4","77.7","2","5","","33.1",71.3,"187.2","20052006"
"Western Michigan","40","97","160","970","10.0","1365",".883","16.3","79.4","6","9","","31.9",71.5,"185.5","20052006"
"Wisconsin","43","145","79","1470","9.9","1093",".928","18.2","88.4","6","5","","31.8",72.2,"187.1","20052006"
"Yale","33","89","123","950","9.4","1193",".897","12.8","82.6","4","4","","31.8",72.3,"195.3","20052006"
