"Team","Conference","Season"
"Air Force","College Hockey America","20052006"
"Alabama-Huntsville","College Hockey America","20052006"
"Alaska","CCHA","20052006"
"Alaska-Anchorage","WCHA","20052006"
"American International","Atlantic Hockey","20052006"
"Army","Atlantic Hockey","20052006"
"Bemidji State","College Hockey America","20052006"
"Bentley","Atlantic Hockey","20052006"
"Boston College","Hockey East","20052006"
"Boston University","Hockey East","20052006"
"Bowling Green","CCHA","20052006"
"Brown","ECAC","20052006"
"Canisius","Atlantic Hockey","20052006"
"Clarkson","ECAC","20052006"
"Colgate","ECAC","20052006"
"Colorado College","WCHA","20052006"
"Connecticut","Atlantic Hockey","20052006"
"Cornell","ECAC","20052006"
"Dartmouth","ECAC","20052006"
"Denver","WCHA","20052006"
"Ferris State","CCHA","20052006"
"Harvard","ECAC","20052006"
"Holy Cross","Atlantic Hockey","20052006"
"Lake Superior","CCHA","20052006"
"Maine","Hockey East","20052006"
"Massachusetts","Hockey East","20052006"
"Massachusetts-Lowell","Hockey East","20052006"
"Mercyhurst","Atlantic Hockey","20052006"
"Merrimack","Hockey East","20052006"
"Miami","CCHA","20052006"
"Michigan","CCHA","20052006"
"Michigan State","CCHA","20052006"
"Michigan Tech","WCHA","20052006"
"Minnesota","WCHA","20052006"
"Minnesota-Duluth","WCHA","20052006"
"Minnesota State","WCHA","20052006"
"Nebraska-Omaha","CCHA","20052006"
"New Hampshire","Hockey East","20052006"
"Niagara","College Hockey America","20052006"
"North Dakota","WCHA","20052006"
"Northeastern","Hockey East","20052006"
"Northern Michigan","CCHA","20052006"
"Notre Dame","CCHA","20052006"
"Ohio State","CCHA","20052006"
"Princeton","ECAC","20052006"
"Providence","Hockey East","20052006"
"Quinnipiac","ECAC","20052006"
"Rensselaer","ECAC","20052006"
"RIT","Independent","20052006"
"Robert Morris","College Hockey America","20052006"
"Sacred Heart","Atlantic Hockey","20052006"
"St. Cloud State","WCHA","20052006"
"St. Lawrence","ECAC","20052006"
"Union","ECAC","20052006"
"Vermont","Hockey East","20052006"
"Wayne State","College Hockey America","20052006"
"Western Michigan","CCHA","20052006"
"Wisconsin","WCHA","20052006"
"Yale","ECAC","20052006"
