"Team","Conference","Season"
"Air Force","Atlantic Hockey","20152016"
"Alabama-Huntsville","WCHA","20152016"
"Alaska","WCHA","20152016"
"Alaska-Anchorage","WCHA","20152016"
"American International","Atlantic Hockey","20152016"
"Arizona State","Independent","20152016"
"Army","Atlantic Hockey","20152016"
"Bemidji State","WCHA","20152016"
"Bentley","Atlantic Hockey","20152016"
"Boston College","Hockey East","20152016"
"Boston University","Hockey East","20152016"
"Bowling Green","WCHA","20152016"
"Brown","ECAC","20152016"
"Canisius","Atlantic Hockey","20152016"
"Clarkson","ECAC","20152016"
"Colgate","ECAC","20152016"
"Colorado College","NCHC","20152016"
"Connecticut","Hockey East","20152016"
"Cornell","ECAC","20152016"
"Dartmouth","ECAC","20152016"
"Denver","NCHC","20152016"
"Ferris State","WCHA","20152016"
"Harvard","ECAC","20152016"
"Holy Cross","Atlantic Hockey","20152016"
"Lake Superior","WCHA","20152016"
"Maine","Hockey East","20152016"
"Massachusetts","Hockey East","20152016"
"Massachusetts-Lowell","Hockey East","20152016"
"Mercyhurst","Atlantic Hockey","20152016"
"Merrimack","Hockey East","20152016"
"Miami","NCHC","20152016"
"Michigan","Big Ten","20152016"
"Michigan State","Big Ten","20152016"
"Michigan Tech","WCHA","20152016"
"Minnesota","Big Ten","20152016"
"Minnesota-Duluth","NCHC","20152016"
"Minnesota State","WCHA","20152016"
"Nebraska-Omaha","NCHC","20152016"
"New Hampshire","Hockey East","20152016"
"Niagara","Atlantic Hockey","20152016"
"North Dakota","NCHC","20152016"
"Northeastern","Hockey East","20152016"
"Northern Michigan","WCHA","20152016"
"Notre Dame","Hockey East","20152016"
"Ohio State","Big Ten","20152016"
"Penn State","Big Ten","20152016"
"Princeton","ECAC","20152016"
"Providence","Hockey East","20152016"
"Quinnipiac","ECAC","20152016"
"Rensselaer","ECAC","20152016"
"RIT","Atlantic Hockey","20152016"
"Robert Morris","Atlantic Hockey","20152016"
"Sacred Heart","Atlantic Hockey","20152016"
"St. Cloud State","NCHC","20152016"
"St. Lawrence","ECAC","20152016"
"Union","ECAC","20152016"
"Vermont","Hockey East","20152016"
"Western Michigan","NCHC","20152016"
"Wisconsin","Big Ten","20152016"
"Yale","ECAC","20152016"
