"Team","RPI","Season"
"Air Force",0.492,"20132014"
"Alabama-Huntsville",0.396,"20132014"
"Alaska",0.504,"20132014"
"Alaska-Anchorage",0.509,"20132014"
"American International",0.418,"20132014"
"Army",0.39,"20132014"
"Bemidji State",0.468,"20132014"
"Bentley",0.487,"20132014"
"Boston College",0.58,"20132014"
"Boston University",0.467,"20132014"
"Bowling Green",0.51,"20132014"
"Brown",0.485,"20132014"
"Canisius",0.464,"20132014"
"Clarkson",0.512,"20132014"
"Colgate",0.532,"20132014"
"Colorado College",0.452,"20132014"
"Connecticut",0.477,"20132014"
"Cornell",0.533,"20132014"
"Dartmouth",0.476,"20132014"
"Denver",0.52,"20132014"
"Ferris State",0.561,"20132014"
"Harvard",0.479,"20132014"
"Holy Cross",0.445,"20132014"
"Lake Superior",0.495,"20132014"
"Maine",0.513,"20132014"
"Massachusetts",0.466,"20132014"
"Massachusetts-Lowell",0.556,"20132014"
"Mercyhurst",0.501,"20132014"
"Merrimack",0.457,"20132014"
"Miami",0.496,"20132014"
"Michigan",0.532,"20132014"
"Michigan State",0.483,"20132014"
"Michigan Tech",0.491,"20132014"
"Minnesota",0.585,"20132014"
"Minnesota-Duluth",0.514,"20132014"
"Minnesota State",0.545,"20132014"
"Nebraska-Omaha",0.503,"20132014"
"New Hampshire",0.524,"20132014"
"Niagara",0.459,"20132014"
"North Dakota",0.537,"20132014"
"Northeastern",0.529,"20132014"
"Northern Michigan",0.482,"20132014"
"Notre Dame",0.544,"20132014"
"Ohio State",0.522,"20132014"
"Penn State",0.452,"20132014"
"Princeton",0.43,"20132014"
"Providence",0.542,"20132014"
"Quinnipiac",0.55,"20132014"
"Rensselaer",0.501,"20132014"
"RIT",0.445,"20132014"
"Robert Morris",0.474,"20132014"
"Sacred Heart",0.428,"20132014"
"St. Cloud State",0.545,"20132014"
"St. Lawrence",0.495,"20132014"
"Union",0.582,"20132014"
"Vermont",0.536,"20132014"
"Western Michigan",0.516,"20132014"
"Wisconsin",0.563,"20132014"
"Yale",0.524,"20132014"
