"Team","Conference","Season"
"Air Force","Atlantic Hockey","20082009"
"Alabama-Huntsville","College Hockey America","20082009"
"Alaska","CCHA","20082009"
"Alaska-Anchorage","WCHA","20082009"
"American International","Atlantic Hockey","20082009"
"Army","Atlantic Hockey","20082009"
"Bemidji State","College Hockey America","20082009"
"Bentley","Atlantic Hockey","20082009"
"Boston College","Hockey East","20082009"
"Boston University","Hockey East","20082009"
"Bowling Green","CCHA","20082009"
"Brown","ECAC","20082009"
"Canisius","Atlantic Hockey","20082009"
"Clarkson","ECAC","20082009"
"Colgate","ECAC","20082009"
"Colorado College","WCHA","20082009"
"Connecticut","Atlantic Hockey","20082009"
"Cornell","ECAC","20082009"
"Dartmouth","ECAC","20082009"
"Denver","WCHA","20082009"
"Ferris State","CCHA","20082009"
"Harvard","ECAC","20082009"
"Holy Cross","Atlantic Hockey","20082009"
"Lake Superior","CCHA","20082009"
"Maine","Hockey East","20082009"
"Massachusetts","Hockey East","20082009"
"Massachusetts-Lowell","Hockey East","20082009"
"Mercyhurst","Atlantic Hockey","20082009"
"Merrimack","Hockey East","20082009"
"Miami","CCHA","20082009"
"Michigan","CCHA","20082009"
"Michigan State","CCHA","20082009"
"Michigan Tech","WCHA","20082009"
"Minnesota","WCHA","20082009"
"Minnesota-Duluth","WCHA","20082009"
"Minnesota State","WCHA","20082009"
"Nebraska-Omaha","CCHA","20082009"
"New Hampshire","Hockey East","20082009"
"Niagara","College Hockey America","20082009"
"North Dakota","WCHA","20082009"
"Northeastern","Hockey East","20082009"
"Northern Michigan","CCHA","20082009"
"Notre Dame","CCHA","20082009"
"Ohio State","CCHA","20082009"
"Princeton","ECAC","20082009"
"Providence","Hockey East","20082009"
"Quinnipiac","ECAC","20082009"
"Rensselaer","ECAC","20082009"
"RIT","Atlantic Hockey","20082009"
"Robert Morris","College Hockey America","20082009"
"Sacred Heart","Atlantic Hockey","20082009"
"St. Cloud State","WCHA","20082009"
"St. Lawrence","ECAC","20082009"
"Union","ECAC","20082009"
"Vermont","Hockey East","20082009"
"Western Michigan","CCHA","20082009"
"Wisconsin","WCHA","20082009"
"Yale","ECAC","20082009"
