"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","Season"
"Air Force","39","130","91","1254","10.4","950",".904","18.0","84.0","6","4","","31.8",71.1,"180.5","20072008"
"Alabama-Huntsville","31","60","117","681","8.8","1015",".885","10.2","71.9","3","0","","30.3",71.9,"188.9","20072008"
"Alaska","35","80","104","930","8.6","1204",".914","15.3","80.5","1","5","","30.4",71.5,"192.6","20072008"
"Alaska-Anchorage","36","81","112","934","8.7","927",".879","13.4","82.2","2","4","","30.2",72.8,"194.9","20072008"
"American International","36","83","135","914","9.1","1164",".884","15.6","80.7","1","6","","31.0",71.3,"185.6","20072008"
"Army","37","101","73","1231","8.2","950",".923","12.0","85.6","6","5","","31.7",71.4,"188.5","20072008"
"Bemidji State","36","102","82","1052","9.7","902",".909","20.9","86.3","3","6","","30.9",71.1,"187.8","20072008"
"Bentley","36","89","124","1026","8.7","1234",".900","14.5","80.0","4","2","","30.8",71,"185.3","20072008"
"Boston College","44","160","101","1406","11.4","1272",".921","22.1","85.0","6","4","","29.1",70.8,"186.5","20072008"
"Boston University","40","135","117","1273","10.6","960",".878","20.5","78.5","2","6","","29.9",72.2,"191.1","20072008"
"Bowling Green","39","105","120","1221","8.6","1099",".891","15.8","82.6","4","8","","30.4",71,"180.4","20072008"
"Brown","31","67","108","799","8.4","1113",".903","17.6","81.0","3","2","","30.1",72.7,"193.6","20072008"
"Canisius","37","93","121","882","10.5","1246",".903","14.1","79.3","4","5","","30.0",71.1,"187.1","20072008"
"Clarkson","39","108","93","1143","9.4","1113",".916","13.0","84.4","12","3","","29.8",72.3,"189.9","20072008"
"Colgate","42","113","104","1217","9.3","1231",".916","11.2","82.4","5","2","","30.0",72.3,"195.6","20072008"
"Colorado College","41","136","88","1176","11.6","1150",".923","19.2","88.6","10","3","","29.4",71.6,"185.1","20072008"
"Connecticut","37","79","126","918","8.6","1263",".900","9.7","85.8","3","10","","29.11",71,"183.4","20072008"
"Cornell","36","102","78","939","10.9","1026",".924","21.5","86.1","0","5","","29.9",72,"188.2","20072008"
"Dartmouth","32","98","107","940","10.4","1070",".900","20.3","77.7","3","8","","29.7",72.7,"187.2","20072008"
"Denver","41","116","94","1145","10.1","1100",".915","14.1","88.8","10","6","","29.7",71.8,"190.5","20072008"
"Ferris State","39","109","98","1308","8.3","1090",".910","19.1","85.4","7","1","","30.2",72.1,"191.6","20072008"
"Harvard","34","98","79","1052","9.3","972",".919","20.5","84.9","5","3","","29.6",71.9,"191.6","20072008"
"Holy Cross","36","88","114","962","9.1","1179",".903","22.7","74.4","4","5","","30.4",71.1,"182.6","20072008"
"Lake Superior","37","91","125","980","9.3","1152",".891","15.1","73.5","3","4","","29.10",72.6,"194.3","20072008"
"Maine","34","77","92","912","8.4","1041",".912","12.8","86.8","5","4","","30.6",72.9,"195.0","20072008"
"Massachusetts","36","98","97","1082","9.1","1052",".908","16.9","82.4","3","4","","29.9",71.8,"190.2","20072008"
"Massachusetts-Lowell","37","100","96","989","10.1","1039",".908","16.9","83.8","1","0","","29.11",71.5,"187.1","20072008"
"Mercyhurst","41","112","133","1274","8.8","1474",".910","16.7","81.2","9","10","","30.1",72.1,"193.4","20072008"
"Merrimack","34","71","93","856","8.3","1049",".911","15.0","85.1","3","1","","30.0",72,"183.6","20072008"
"Miami","42","169","78","1241","13.6","1081",".928","19.7","89.8","7","3","","29.11",72.4,"197.9","20072008"
"Michigan","43","170","89","1341","12.7","1136",".922","20.5","86.6","8","3","","28.8",71.8,"188.2","20072008"
"Michigan State","42","135","98","1296","10.4","1267",".923","20.9","87.3","5","4","","29.6",71.8,"187.1","20072008"
"Michigan Tech","39","78","99","990","7.9","1058",".906","14.1","84.3","3","3","","30.7",72.2,"191.9","20072008"
"Minnesota","45","109","109","1429","7.6","1313",".917","13.0","87.0","5","8","","29.4",72.3,"187.3","20072008"
"Minnesota-Duluth","36","74","91","956","7.7","991",".908","11.5","88.5","5","3","","29.11",72.5,"192.6","20072008"
"Minnesota State","39","106","97","1155","9.2","1130",".914","13.3","82.4","6","5","","29.11",72.3,"188.9","20072008"
"Nebraska-Omaha","40","125","142","1234","10.1","1087",".869","24.0","82.6","5","9","","30.7",71,"183.1","20072008"
"New Hampshire","38","132","94","1258","10.5","1226",".923","18.2","85.2","4","1","","29.8",71.8,"188.5","20072008"
"Niagara","37","128","98","940","13.6","1187",".917","22.9","80.2","2","6","","30.1",71.8,"190.1","20072008"
"North Dakota","43","129","80","1273","10.1","1097",".927","18.4","87.2","4","4","","29.10",71.7,"186.3","20072008"
"Northeastern","37","92","105","1073","8.6","1152",".909","11.7","83.9","3","5","","30.2",71.4,"186.4","20072008"
"Northern Michigan","44","116","120","1024","11.3","1361",".912","14.0","79.1","9","3","","30.0",72.1,"188.1","20072008"
"Notre Dame","47","136","100","1419","9.6","1109",".910","14.8","88.7","9","6","","29.8",72,"196.7","20072008"
"Ohio State","41","98","136","1228","8.0","1167",".883","13.2","81.3","3","6","","29.9",71.6,"192.2","20072008"
"Princeton","35","112","95","1053","10.6","969",".902","17.0","84.4","6","6","","30.0",71.6,"192.8","20072008"
"Providence","36","91","99","1353","6.7","984",".899","15.5","85.5","9","2","","29.7",72,"193.2","20072008"
"Quinnipiac","39","120","118","1095","11.0","1032",".886","18.7","83.8","8","7","","31.0",71.1,"181.1","20072008"
"Rensselaer","38","79","113","915","8.6","1168",".903","7.1","85.9","3","11","","29.6",72,"189.4","20072008"
"RIT","37","116","109","1330","8.7","1061",".897","22.3","83.4","5","1","","30.9",71.3,"186.3","20072008"
"Robert Morris","34","114","127","931","12.2","1038",".878","18.5","78.9","5","2","","31.3",71.8,"188.6","20072008"
"Sacred Heart","38","111","116","1198","9.3","1190",".903","23.5","84.2","8","5","","30.8",71.7,"187.8","20072008"
"St. Cloud State","40","118","94","1033","11.4","1215",".923","22.5","87.4","4","5","","30.0",71.9,"189.7","20072008"
"St. Lawrence","37","103","109","1144","9.0","1056",".897","14.0","80.8","8","5","","30.3",71,"185.1","20072008"
"Union","35","79","91","1050","7.5","972",".906","14.0","82.0","0","4","","30.1",71.9,"186.4","20072008"
"Vermont","39","88","106","972","9.1","1107",".904","12.9","86.2","2","6","","29.9",71.7,"189.6","20072008"
"Wayne State","38","90","132","905","9.9","1080",".878","17.3","76.5","2","4","","30.6",71.3,"183.8","20072008"
"Western Michigan","38","82","126","930","8.8","1288",".902","13.6","84.0","2","6","","30.3",72,"193.2","20072008"
"Wisconsin","40","114","102","1200","9.5","1110",".908","17.3","81.6","2","9","","29.1",72.5,"190.0","20072008"
"Yale","34","93","94","1065","8.7","959",".902","14.0","86.2","2","4","","29.5",72.3,"194.8","20072008"
