"Team","RPI","Season"
"Air Force",0.534,"20082009"
"Alabama-Huntsville",0.401,"20082009"
"Alaska",0.511,"20082009"
"Alaska-Anchorage",0.507,"20082009"
"American International",0.383,"20082009"
"Army",0.444,"20082009"
"Bemidji State",0.482,"20082009"
"Bentley",0.485,"20082009"
"Boston College",0.533,"20082009"
"Boston University",0.596,"20082009"
"Bowling Green",0.464,"20082009"
"Brown",0.427,"20082009"
"Canisius",0.462,"20082009"
"Clarkson",0.464,"20082009"
"Colgate",0.476,"20082009"
"Colorado College",0.524,"20082009"
"Connecticut",0.421,"20082009"
"Cornell",0.54,"20082009"
"Dartmouth",0.494,"20082009"
"Denver",0.559,"20082009"
"Ferris State",0.473,"20082009"
"Harvard",0.468,"20082009"
"Holy Cross",0.453,"20082009"
"Lake Superior",0.473,"20082009"
"Maine",0.489,"20082009"
"Massachusetts",0.502,"20082009"
"Massachusetts-Lowell",0.533,"20082009"
"Mercyhurst",0.496,"20082009"
"Merrimack",0.464,"20082009"
"Miami",0.537,"20082009"
"Michigan",0.57,"20082009"
"Michigan State",0.475,"20082009"
"Michigan Tech",0.456,"20082009"
"Minnesota",0.533,"20082009"
"Minnesota-Duluth",0.544,"20082009"
"Minnesota State",0.509,"20082009"
"Nebraska-Omaha",0.497,"20082009"
"New Hampshire",0.542,"20082009"
"Niagara",0.472,"20082009"
"North Dakota",0.544,"20082009"
"Northeastern",0.562,"20082009"
"Northern Michigan",0.516,"20082009"
"Notre Dame",0.591,"20082009"
"Ohio State",0.534,"20082009"
"Princeton",0.537,"20082009"
"Providence",0.459,"20082009"
"Quinnipiac",0.488,"20082009"
"Rensselaer",0.447,"20082009"
"RIT",0.508,"20082009"
"Robert Morris",0.432,"20082009"
"Sacred Heart",0.438,"20082009"
"St. Cloud State",0.517,"20082009"
"St. Lawrence",0.533,"20082009"
"Union",0.501,"20082009"
"Vermont",0.55,"20082009"
"Western Michigan",0.484,"20082009"
"Wisconsin",0.534,"20082009"
"Yale",0.555,"20082009"
