"Team","RPI","Season"
"Air Force",0.507,"20072008"
"Alabama-Huntsville",0.41,"20072008"
"Alaska",0.459,"20072008"
"Alaska-Anchorage",0.474,"20072008"
"American International",0.411,"20072008"
"Army",0.478,"20072008"
"Bemidji State",0.484,"20072008"
"Bentley",0.425,"20072008"
"Boston College",0.545,"20072008"
"Boston University",0.521,"20072008"
"Bowling Green",0.492,"20072008"
"Brown",0.439,"20072008"
"Canisius",0.445,"20072008"
"Clarkson",0.536,"20072008"
"Colgate",0.501,"20072008"
"Colorado College",0.585,"20072008"
"Connecticut",0.435,"20072008"
"Cornell",0.514,"20072008"
"Dartmouth",0.485,"20072008"
"Denver",0.565,"20072008"
"Ferris State",0.502,"20072008"
"Harvard",0.524,"20072008"
"Holy Cross",0.436,"20072008"
"Lake Superior",0.474,"20072008"
"Maine",0.494,"20072008"
"Massachusetts",0.507,"20072008"
"Massachusetts-Lowell",0.504,"20072008"
"Mercyhurst",0.464,"20072008"
"Merrimack",0.484,"20072008"
"Miami",0.585,"20072008"
"Michigan",0.594,"20072008"
"Michigan State",0.551,"20072008"
"Michigan Tech",0.509,"20072008"
"Minnesota",0.535,"20072008"
"Minnesota-Duluth",0.514,"20072008"
"Minnesota State",0.528,"20072008"
"Nebraska-Omaha",0.497,"20072008"
"New Hampshire",0.572,"20072008"
"Niagara",0.511,"20072008"
"North Dakota",0.579,"20072008"
"Northeastern",0.507,"20072008"
"Northern Michigan",0.506,"20072008"
"Notre Dame",0.534,"20072008"
"Ohio State",0.464,"20072008"
"Princeton",0.528,"20072008"
"Providence",0.503,"20072008"
"Quinnipiac",0.509,"20072008"
"Rensselaer",0.462,"20072008"
"RIT",0.495,"20072008"
"Robert Morris",0.473,"20072008"
"Sacred Heart",0.458,"20072008"
"St. Cloud State",0.54,"20072008"
"St. Lawrence",0.473,"20072008"
"Union",0.5,"20072008"
"Vermont",0.522,"20072008"
"Wayne State",0.429,"20072008"
"Western Michigan",0.432,"20072008"
"Wisconsin",0.523,"20072008"
"Yale",0.501,"20072008"
