"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","Season"
"Air Force","39","115","106","1259","9.1","1083",".902","15.6","81.8","3","5","","24.11",72.2,"184.1","20132014"
"Alabama-Huntsville","38","41","166","746","5.5","1574",".895","8.8","70.5","2","4","","24.9",72.5,"191.7","20132014"
"Alaska","37","126","103","1124","11.2","954",".892","19.1","85.2","4","4","","24.4",71.9,"188.5","20132014"
"Alaska-Anchorage","38","105","107","999","10.5","996",".893","16.4","80.2","1","3","","25.1",71.7,"186.8","20132014"
"American International","36","90","151","918","9.8","1398",".892","17.9","81.4","5","7","","25.0",72.2,"188.6","20132014"
"Army","34","73","146","915","8.0","1208",".879","14.2","75.5","2","9","","24.2",71.8,"189.4","20132014"
"Bemidji State","38","92","118","1016","9.1","1211",".903","14.5","85.8","2","4","","24.5",71.8,"186.3","20132014"
"Bentley","37","127","99","1270","10.0","1196",".917","26.4","83.4","6","5","","24.11",72.4,"189.8","20132014"
"Boston College","40","164","94","1282","12.8","1159",".919","24.3","89.9","7","1","","22.9",71.9,"185.8","20132014"
"Boston University","35","81","113","927","8.7","1271",".911","17.2","84.0","1","11","","23.6",72.6,"193.1","20132014"
"Bowling Green","39","119","104","1217","9.8","1074",".903","18.9","84.7","4","5","","24.11",72.4,"189.4","20132014"
"Brown","31","75","87","939","8.0","982",".911","15.1","75.8","2","1","","24.4",72.4,"186.4","20132014"
"Canisius","41","120","125","1202","10.0","1414",".912","19.9","81.6","6","4","","24.8",72.8,"193.6","20132014"
"Clarkson","42","101","102","1175","8.6","1071",".905","19.8","81.5","0","3","","24.4",71.9,"190.5","20132014"
"Colgate","39","108","104","1129","9.6","1156",".910","17.1","82.6","3","4","","24.1",71.5,"185.2","20132014"
"Colorado College","37","74","121","1038","7.1","1118",".892","12.2","78.6","2","1","","23.8",72,"186.6","20132014"
"Connecticut","36","91","86","1076","8.5","1153",".925","17.5","82.5","0","2","","24.8",72,"187.6","20132014"
"Cornell","32","77","74","823","9.4","882",".916","17.5","83.5","1","2","","23.5",72.9,"194.0","20132014"
